iucn_sid,presence,origin,distribution_code,value,species,sciname,rgn_id,rgn_name
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,120,Antigua and Barbuda
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,124,Barbados
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,108,Bermuda
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,171,Brazil
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,110,Bahamas
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,164,Belize
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,132,Colombia
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,130,Costa Rica
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,112,Cuba
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,123,Dominica
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,115,Dominican Republic
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,125,Grenada
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,169,French Guiana
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,136,Guatemala
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,167,Guyana
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,133,Honduras
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,114,Haiti
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,166,Jamaica
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,119,Saint Kitts and Nevis
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,122,Saint Lucia
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,135,Mexico
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,131,Nicaragua
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,129,Panama
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,168,Suriname
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,126,Trinidad and Tobago
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,163,United States
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,127,Saint Vincent and the Grenadines
60217,Extant,Native,Native,NA,NA,Carcharhinus perezi,139,Venezuela
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,82,Albania
13653,Extinct Post-1500,Native,Regionally Extinct,NA,NA,Monachus monachus,232,Bosnia and Herzegovina
13653,Extinct Post-1500,Native,Regionally Extinct,NA,NA,Monachus monachus,71,Bulgaria
13653,Extant,Native,Native,NA,NA,Monachus monachus,81,Cyprus
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,214,Egypt
13653,Extant,Native,Native,NA,NA,Monachus monachus,63,Western Sahara
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,182,Spain
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,179,France
13653,Extant,Native,Native,NA,NA,Monachus monachus,80,Greece
13653,Extant,Native,Native,NA,NA,Monachus monachus,187,Croatia
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,79,Israel
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,184,Italy
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,78,Lebanon
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,67,Libya
13653,Extinct Post-1500,Native,Regionally Extinct,NA,NA,Monachus monachus,186,Montenegro
13653,Extant,Native,Native,NA,NA,Monachus monachus,64,Mauritania
13653,Extant,Native,Native,NA,NA,Monachus monachus,183,Portugal
13653,Extinct Post-1500,Native,Regionally Extinct,NA,NA,Monachus monachus,72,Romania
13653,Extinct Post-1500,Native,Regionally Extinct,NA,NA,Monachus monachus,188,Slovenia
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,77,Syria
13653,Possibly Extinct,Native,Possibly Extinct,NA,NA,Monachus monachus,61,Tunisia
13653,Extant,Native,Native,NA,NA,Monachus monachus,76,Turkey
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,82,Albania
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,200,Angola
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,172,Argentina
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,16,Australia
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,71,Bulgaria
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,171,Brazil
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,110,Bahamas
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,218,Canada
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,195,Ivory Coast
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,153,Cook Islands
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,224,Chile
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,197,Cameroon
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,209,China
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,132,Colombia
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,130,Costa Rica
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,112,Cuba
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,56,Cape Verde
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,81,Cyprus
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,46,Djibouti
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,115,Dominican Republic
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,84,Algeria
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,137,Ecuador
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,214,Egypt
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,63,Western Sahara
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,182,Spain
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,179,France
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,198,Gabon
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,180,United Kingdom
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,74,Georgia
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,169,French Guiana
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,106,Ghana
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,60,Gibraltar
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,194,Guinea
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,80,Greece
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,136,Guatemala
39339,Extant,Native,Native,NA,NA,Alopias vulpinus,193,Guinea Bissau
