iucn_sid,count,code,iucn_rgn_name,presence,origin,distribution_code,sciname,rgn_id,ohi_rgn_name
6336,71,PL,Poland,Extant,Native,Native,Delphinus delphis,178,Poland
NA,NA,NA,Andaman and Nicobar,NA,NA,NA,NA,26,Andaman and Nicobar
NA,NA,NA,Azores,NA,NA,NA,NA,55,Azores
NA,NA,NA,Bassas da India,NA,NA,NA,NA,34,Bassas da India
NA,NA,NA,Canary Islands,NA,NA,NA,NA,58,Canary Islands
NA,NA,NA,Clipperton Island,NA,NA,NA,NA,107,Clipperton Island
NA,NA,NA,Estonia,NA,NA,NA,NA,70,Estonia
NA,NA,NA,Finland,NA,NA,NA,NA,174,Finland
NA,NA,NA,Glorioso Islands,NA,NA,NA,NA,30,Glorioso Islands
NA,NA,NA,Ile Europa,NA,NA,NA,NA,35,Ile Europa
NA,NA,NA,Ile Tromelin,NA,NA,NA,NA,36,Ile Tromelin
NA,NA,NA,Juan de Nova Island,NA,NA,NA,NA,33,Juan de Nova Island
NA,NA,NA,Latvia,NA,NA,NA,NA,69,Latvia
NA,NA,NA,Line Group,NA,NA,NA,NA,148,Line Group
NA,NA,NA,Lithuania,NA,NA,NA,NA,189,Lithuania
NA,NA,NA,Macquarie Island,NA,NA,NA,NA,4,Macquarie Island
NA,NA,NA,Madeira,NA,NA,NA,NA,57,Madeira
NA,NA,NA,Oecussi Ambeno,NA,NA,NA,NA,237,Oecussi Ambeno
NA,NA,NA,Phoenix Group,NA,NA,NA,NA,157,Phoenix Group
NA,NA,NA,Prince Edward Islands,NA,NA,NA,NA,90,Prince Edward Islands
