iucn_sid,year,cat,cat_txt,value,species,sciname,cat_score
2467,1965,CR,"""Very rare but believed to be stable or increasing""",NA,NA,Balaena mysticetus,0.8
2467,1986,EN,Endangered,NA,NA,Balaena mysticetus,0.6
2467,1988,EN,Endangered,NA,NA,Balaena mysticetus,0.6
2467,1990,VU,Vulnerable,NA,NA,Balaena mysticetus,0.4
2467,1994,VU,Vulnerable,NA,NA,Balaena mysticetus,0.4
2467,1996,CD,Lower Risk/conservation dependent,NA,NA,Balaena mysticetus,0.3
2467,2008,LC,Least Concern,NA,NA,Balaena mysticetus,0
2467,2012,LC,Least Concern,NA,NA,Balaena mysticetus,0
2468,1996,CD,Lower Risk/conservation dependent,NA,NA,Balaena mysticetus,0.3
2469,1996,EN,Endangered,NA,NA,Balaena mysticetus,0.6
2469,2012,EN,Endangered,NA,NA,Balaena mysticetus,0.6
2472,1996,EN,Endangered,NA,NA,Balaena mysticetus,0.6
2472,2000,CR,Critically Endangered,NA,NA,Balaena mysticetus,0.8
2472,2008,CR,Critically Endangered,NA,NA,Balaena mysticetus,0.8
2472,2012,CR,Critically Endangered,NA,NA,Balaena mysticetus,0.8
2474,1996,NT,Lower Risk/near threatened,NA,NA,Balaenoptera acutorostrata,0.2
2474,2008,LC,Least Concern,NA,NA,Balaenoptera acutorostrata,0
2475,1994,VU,Vulnerable,NA,NA,Balaenoptera borealis,0.4
2475,1996,EN,Endangered,NA,NA,Balaenoptera borealis,0.6
2475,2008,EN,Endangered,NA,NA,Balaenoptera borealis,0.6
2477,1965,CR,"""Very rare and believed to be decreasing in numbers""",NA,NA,Balaenoptera musculus,0.8
2477,1986,EN,Endangered,NA,NA,Balaenoptera musculus,0.6
2477,1988,EN,Endangered,NA,NA,Balaenoptera musculus,0.6
2477,1990,EN,Endangered,NA,NA,Balaenoptera musculus,0.6
2477,1994,EN,Endangered,NA,NA,Balaenoptera musculus,0.6
2477,1996,EN,Endangered,NA,NA,Balaenoptera musculus,0.6
2477,2008,EN,Endangered,NA,NA,Balaenoptera musculus,0.6
2478,1965,T,"""Less rare but believed to be threatened-requires watching""",NA,NA,Balaenoptera physalus,0.6
2478,1986,VU,Vulnerable,NA,NA,Balaenoptera physalus,0.4
2478,1988,VU,Vulnerable,NA,NA,Balaenoptera physalus,0.4
2478,1990,VU,Vulnerable,NA,NA,Balaenoptera physalus,0.4
2478,1994,VU,Vulnerable,NA,NA,Balaenoptera physalus,0.4
2478,1996,EN,Endangered,NA,NA,Balaenoptera physalus,0.6
2478,2008,EN,Endangered,NA,NA,Balaenoptera physalus,0.6
2478,2013,EN,Endangered,NA,NA,Balaenoptera physalus,0.6
2480,1996,CD,Lower Risk/conservation dependent,NA,NA,Balaenoptera bonaerensis,0.3
2762,1996,CD,Lower Risk/conservation dependent,NA,NA,Berardius arnuxii,0.3
3778,1996,LC,Lower Risk/least concern,NA,NA,Caperea marginata,0
3855,1996,VU,Vulnerable,NA,NA,Carcharodon carcharias,0.4
3855,2000,VU,Vulnerable,NA,NA,Carcharodon carcharias,0.4
3855,2009,VU,Vulnerable,NA,NA,Carcharodon carcharias,0.4
3897,1982,VU,Vulnerable,NA,NA,Caretta caretta,0.4
3897,1986,VU,Vulnerable,NA,NA,Caretta caretta,0.4
3897,1988,VU,Vulnerable,NA,NA,Caretta caretta,0.4
3897,1990,VU,Vulnerable,NA,NA,Caretta caretta,0.4
3897,1994,VU,Vulnerable,NA,NA,Caretta caretta,0.4
3897,1996,EN,Endangered,NA,NA,Caretta caretta,0.6
3897,2015,VU,Vulnerable,NA,NA,Caretta caretta,0.4
4162,1990,VU,Vulnerable,NA,NA,Cephalorhynchus hectori,0.4
4162,1996,VU,Vulnerable,NA,NA,Cephalorhynchus hectori,0.4
4162,2000,EN,Endangered,NA,NA,Cephalorhynchus hectori,0.6
4162,2008,EN,Endangered,NA,NA,Cephalorhynchus hectori,0.6
4162,2013,EN,Endangered,NA,NA,Cephalorhynchus hectori,0.6
4292,1996,VU,Vulnerable,NA,NA,Cetorhinus maximus,0.4
4292,2000,VU,Vulnerable,NA,NA,Cetorhinus maximus,0.4
4292,2005,VU,Vulnerable,NA,NA,Cetorhinus maximus,0.4
4592,1996,VU,Vulnerable,NA,NA,Cheilinus undulatus,0.4
4592,2004,EN,Endangered,NA,NA,Cheilinus undulatus,0.6
4615,1982,EN,Endangered,NA,NA,Chelonia mydas,0.6
4615,1986,EN,Endangered,NA,NA,Chelonia mydas,0.6
4615,1988,EN,Endangered,NA,NA,Chelonia mydas,0.6
4615,1990,EN,Endangered,NA,NA,Chelonia mydas,0.6
4615,1994,EN,Endangered,NA,NA,Chelonia mydas,0.6
4615,1996,EN,Endangered,NA,NA,Chelonia mydas,0.6
4615,2004,EN,Endangered,NA,NA,Chelonia mydas,0.6
6336,1996,LC,Lower Risk/least concern,NA,NA,Delphinus delphis,0
6336,2008,LC,Least Concern,NA,NA,Delphinus delphis,0
6494,1982,EN,Endangered,NA,NA,Dermochelys coriacea,0.6
6494,1986,EN,Endangered,NA,NA,Dermochelys coriacea,0.6
6494,1988,EN,Endangered,NA,NA,Dermochelys coriacea,0.6
6494,1990,EN,Endangered,NA,NA,Dermochelys coriacea,0.6
6494,1994,EN,Endangered,NA,NA,Dermochelys coriacea,0.6
6494,1996,EN,Endangered,NA,NA,Dermochelys coriacea,0.6
6494,2000,CR,Critically Endangered,NA,NA,Dermochelys coriacea,0.8
6494,2013,VU,Vulnerable,NA,NA,Dermochelys coriacea,0.4
8005,1982,EN,Endangered,NA,NA,Eretmochelys imbricata,0.6
8005,1986,EN,Endangered,NA,NA,Eretmochelys imbricata,0.6
8005,1988,EN,Endangered,NA,NA,Eretmochelys imbricata,0.6
8005,1990,EN,Endangered,NA,NA,Eretmochelys imbricata,0.6
8005,1994,EN,Endangered,NA,NA,Eretmochelys imbricata,0.6
8005,1996,CR,Critically Endangered,NA,NA,Eretmochelys imbricata,0.8
8005,2008,CR,Critically Endangered,NA,NA,Eretmochelys imbricata,0.8
8097,1996,CD,Lower Risk/conservation dependent,NA,NA,Eschrichtius robustus,0.3
8097,2008,LC,Least Concern,NA,NA,Eschrichtius robustus,0
8099,1996,EN,Endangered,NA,NA,Eschrichtius robustus,0.6
8099,2000,CR,Critically Endangered,NA,NA,Eschrichtius robustus,0.8
8099,2008,CR,Critically Endangered,NA,NA,Eschrichtius robustus,0.8
8153,1965,CR,"""Very rare but believed to be stable or increasing""",NA,NA,Eubalaena australis,0.8
8153,1988,VU,Vulnerable,NA,NA,Eubalaena australis,0.4
8153,1990,VU,Vulnerable,NA,NA,Eubalaena australis,0.4
8153,1994,VU,Vulnerable,NA,NA,Eubalaena australis,0.4
8153,1996,CD,Lower Risk/conservation dependent,NA,NA,Eubalaena australis,0.3
8153,2008,LC,Least Concern,NA,NA,Eubalaena australis,0
8153,2013,LC,Least Concern,NA,NA,Eubalaena australis,0
9249,1996,CD,Lower Risk/conservation dependent,NA,NA,Globicephala macrorhynchus,0.3
9250,1996,LC,Lower Risk/least concern,NA,NA,Globicephala melas,0
9281,1996,CR,Critically Endangered,NA,NA,Glyphis gangeticus,0.8
9281,2007,CR,Critically Endangered,NA,NA,Glyphis gangeticus,0.8
9461,2008,LC,Least Concern,NA,NA,Grampus griseus,0
9461,2012,LC,Least Concern,NA,NA,Grampus griseus,0
10708,1996,CD,Lower Risk/conservation dependent,NA,NA,Hyperoodon planifrons,0.3
10708,2008,LC,Least Concern,NA,NA,Hyperoodon planifrons,0
11047,1996,LC,Lower Risk/least concern,NA,NA,Kogia breviceps,0
11140,2008,LC,Least Concern,NA,NA,Lagenodelphis hosei,0
11140,2012,LC,Least Concern,NA,NA,Lagenodelphis hosei,0
11144,1996,LC,Lower Risk/least concern,NA,NA,Lagenorhynchus cruciger,0
11144,2008,LC,Least Concern,NA,NA,Lagenorhynchus cruciger,0
11200,1996,VU,Vulnerable,NA,NA,Lamna nasus,0.4
11200,2000,NT,Lower Risk/near threatened,NA,NA,Lamna nasus,0.2
11200,2006,VU,Vulnerable,NA,NA,Lamna nasus,0.4
11533,1982,EN,Endangered,NA,NA,Lepidochelys kempii,0.6
11533,1986,EN,Endangered,NA,NA,Lepidochelys kempii,0.6
11533,1988,EN,Endangered,NA,NA,Lepidochelys kempii,0.6
11533,1990,EN,Endangered,NA,NA,Lepidochelys kempii,0.6
11533,1994,EN,Endangered,NA,NA,Lepidochelys kempii,0.6
11533,1996,CR,Critically Endangered,NA,NA,Lepidochelys kempii,0.8
11534,1982,EN,Endangered,NA,NA,Lepidochelys olivacea,0.6
11534,1986,EN,Endangered,NA,NA,Lepidochelys olivacea,0.6
11534,1988,EN,Endangered,NA,NA,Lepidochelys olivacea,0.6
11534,1990,EN,Endangered,NA,NA,Lepidochelys olivacea,0.6
11534,1994,EN,Endangered,NA,NA,Lepidochelys olivacea,0.6
11534,1996,EN,Endangered,NA,NA,Lepidochelys olivacea,0.6
11534,2008,VU,Vulnerable,NA,NA,Lepidochelys olivacea,0.4
12427,1996,VU,Vulnerable,NA,NA,Lutrogale perspicillata,0.4
12427,2000,VU,Vulnerable,NA,NA,Lutrogale perspicillata,0.4
12427,2004,VU,Vulnerable,NA,NA,Lutrogale perspicillata,0.4
12427,2008,VU,Vulnerable,NA,NA,Lutrogale perspicillata,0.4
12427,2015,VU,Vulnerable,NA,NA,Lutrogale perspicillata,0.4
13006,1965,T,"""Less rare but believed to be threatened-requires watching""",NA,NA,Megaptera novaeangliae,0.6
