yr,stock_id,ct,res,min.year
1970,Notothenia rossii,399704,,1970
1971,Notothenia rossii,165194,,1970
1971,Notothenia squamifrons,24545,NA,1971
1972,Notothenia rossii,107326,,1970
1972,Notothenia squamifrons,52947,NA,1971
1973,Notothenia rossii,20361,,1970
1973,Notothenia squamifrons,3133,NA,1971
1974,Notothenia rossii,20906,,1970
1974,Notothenia squamifrons,19977,NA,1971
1975,Notothenia rossii,10248,,1970
1975,Notothenia squamifrons,12098,NA,1971
1976,Notothenia rossii,16814,,1970
1976,Notothenia squamifrons,12700,NA,1971
1976,Notothenia gibberifrons,4999,NA,1976
1977,Notothenia rossii,8816.3,,1970
1977,Notothenia squamifrons,3952,NA,1971
1977,Notothenia gibberifrons,4386,NA,1976
1977,Chaenocephalus aceratus,494,,1977
1977,Pseudochaenichthys georgianus,2785,,1977
1977,Channichthys rhinoceratus,97.7,,1977
1978,Notothenia rossii,56454.4,,1970
1978,Notothenia squamifrons,36122.7,NA,1971
1978,Notothenia gibberifrons,21790,NA,1976
1978,Chaenocephalus aceratus,2523,,1977
1978,Pseudochaenichthys georgianus,13405,,1977
1978,Channichthys rhinoceratus,128.8,,1977
1978,Pleuragramma antarcticum,307.05,,1978
1979,Notothenia rossii,6190.5,,1970
1979,Notothenia squamifrons,467,NA,1971
1979,Notothenia gibberifrons,13560,NA,1976
1979,Chaenocephalus aceratus,4377,,1977
1979,Pseudochaenichthys georgianus,1741,,1977
1979,Channichthys rhinoceratus,4,,1977
1979,Pleuragramma antarcticum,35.3,,1978
1979,Chionodraco rastrospinosus,949,,1979
1979,Patagonotothen brevicauda,15011,NA,1979
1979,Chaenodraco wilsoni,10130,,1979
1980,Notothenia rossii,46863,,1970
1980,Notothenia squamifrons,17775,NA,1971
1980,Notothenia gibberifrons,9036,NA,1976
1980,Chaenocephalus aceratus,1606,,1977
1980,Pseudochaenichthys georgianus,3749,,1977
1980,Channichthys rhinoceratus,4,,1977
1980,Pleuragramma antarcticum,30.6,,1978
1980,Chionodraco rastrospinosus,581,,1979
1980,Patagonotothen brevicauda,7381,NA,1979
1980,Chaenodraco wilsoni,4334,,1979
1981,Notothenia rossii,11951.001,,1970
