"yr","stock_id","ct","res","min.year"
1970,"Notothenia rossii",399704000,"",1970
1971,"Notothenia rossii",165194000,"",1970
1971,"Notothenia squamifrons",24545000,NA,1971
1972,"Notothenia rossii",107326000,"",1970
1972,"Notothenia squamifrons",52947000,NA,1971
1973,"Notothenia rossii",20361000,"",1970
1973,"Notothenia squamifrons",3133000,NA,1971
1974,"Notothenia rossii",20906000,"",1970
1974,"Notothenia squamifrons",19977000,NA,1971
1975,"Notothenia rossii",10248000,"",1970
1975,"Notothenia squamifrons",12098000,NA,1971
1976,"Notothenia rossii",16814000,"",1970
1976,"Notothenia squamifrons",12700000,NA,1971
1976,"Notothenia gibberifrons",4999000,NA,1976
1977,"Notothenia rossii",8816300,"",1970
1977,"Notothenia squamifrons",3952000,NA,1971
1977,"Notothenia gibberifrons",4386000,NA,1976
1977,"Chaenocephalus aceratus",494000,"",1977
1977,"Pseudochaenichthys georgianus",2785000,"",1977
1977,"Channichthys rhinoceratus",97700,"",1977
1978,"Notothenia rossii",56454400,"",1970
1978,"Notothenia squamifrons",36122700,NA,1971
1978,"Notothenia gibberifrons",21790000,NA,1976
1978,"Chaenocephalus aceratus",2523000,"",1977
1978,"Pseudochaenichthys georgianus",13405000,"",1977
1978,"Channichthys rhinoceratus",128800,"",1977
1978,"Pleuragramma antarcticum",307050,"",1978
1979,"Notothenia rossii",6190500,"",1970
1979,"Notothenia squamifrons",467000,NA,1971
1979,"Notothenia gibberifrons",13560000,NA,1976
1979,"Chaenocephalus aceratus",4377000,"",1977
1979,"Pseudochaenichthys georgianus",1741000,"",1977
1979,"Channichthys rhinoceratus",4000,"",1977
1979,"Pleuragramma antarcticum",35300,"",1978
1979,"Chionodraco rastrospinosus",949000,"",1979
1979,"Patagonotothen brevicauda",15011000,NA,1979
1979,"Chaenodraco wilsoni",10130000,"",1979
1980,"Notothenia rossii",46863000,"",1970
1980,"Notothenia squamifrons",17775000,NA,1971
1980,"Notothenia gibberifrons",9036000,NA,1976
1980,"Chaenocephalus aceratus",1606000,"",1977
1980,"Pseudochaenichthys georgianus",3749000,"",1977
1980,"Channichthys rhinoceratus",4000,"",1977
1980,"Pleuragramma antarcticum",30600,"",1978
