"stock_id","yr","ct","res"
"Notothenia rossii",1970,399704000,""
"Notothenia squamifrons",1971,24545000,NA
"Notothenia rossii",1971,165194000,""
"Notothenia squamifrons",1972,52947000,NA
"Notothenia rossii",1972,107326000,""
"Notothenia squamifrons",1973,3133000,NA
"Notothenia rossii",1973,20361000,""
"Notothenia squamifrons",1974,19977000,NA
"Notothenia rossii",1974,20906000,""
"Notothenia squamifrons",1975,12098000,NA
"Notothenia rossii",1975,10248000,""
"Notothenia squamifrons",1976,12700000,NA
"Notothenia gibberifrons",1976,4999000,NA
"Notothenia rossii",1976,16814000,""
"Chaenocephalus aceratus",1977,494000,""
"Notothenia squamifrons",1977,3952000,NA
"Notothenia gibberifrons",1977,4386000,NA
"Notothenia rossii",1977,8816300,""
"Pseudochaenichthys georgianus",1977,2785000,""
"Channichthys rhinoceratus",1977,97700,""
"Pleuragramma antarcticum",1978,307050,""
"Chaenocephalus aceratus",1978,2523000,""
"Notothenia squamifrons",1978,36122700,NA
"Notothenia gibberifrons",1978,21790000,NA
"Notothenia rossii",1978,56454400,""
"Pseudochaenichthys georgianus",1978,13405000,""
"Channichthys rhinoceratus",1978,128800,""
"Pleuragramma antarcticum",1979,35300,""
"Chaenocephalus aceratus",1979,4377000,""
"Notothenia squamifrons",1979,467000,NA
"Notothenia gibberifrons",1979,13560000,NA
"Notothenia rossii",1979,6190500,""
"Chionodraco rastrospinosus",1979,949000,""
"Patagonotothen brevicauda",1979,15011000,NA
"Pseudochaenichthys georgianus",1979,1741000,""
"Chaenodraco wilsoni",1979,10130000,""
"Channichthys rhinoceratus",1979,4000,""
"Pleuragramma antarcticum",1980,30600,""
"Chaenocephalus aceratus",1980,1606000,""
"Notothenia squamifrons",1980,17775000,NA
"Notothenia gibberifrons",1980,9036000,NA
"Notothenia rossii",1980,46863000,""
"Chionodraco rastrospinosus",1980,581000,""
"Patagonotothen brevicauda",1980,7381000,NA
"Pseudochaenichthys georgianus",1980,3749000,""
"Chaenodraco wilsoni",1980,4334000,""
"Channichthys rhinoceratus",1980,4000,""
"Pleuragramma antarcticum",1981,1517005,""
"Chaenocephalus aceratus",1981,330038,""
"Notothenia squamifrons",1981,9820006,NA
"Notothenia gibberifrons",1981,3623363,NA
"Notothenia rossii",1981,11951001,""
"Chionodraco rastrospinosus",1981,133,""
"Patagonotothen brevicauda",1981,36758000,NA
"Pseudochaenichthys georgianus",1981,518056,""
"Chaenodraco wilsoni",1981,1,""
"Channichthys rhinoceratus",1981,2000,""
"Pleuragramma antarcticum",1982,136004,""
"Chaenocephalus aceratus",1982,676221,""
"Notothenia squamifrons",1982,5377000,NA
"Notothenia gibberifrons",1982,3197671,NA
"Notothenia rossii",1982,9293019,""
"Chionodraco rastrospinosus",1982,175,""
"Patagonotothen brevicauda",1982,31351000,NA
"Pseudochaenichthys georgianus",1982,956002,""
"Chaenodraco wilsoni",1982,54,""
"Lithodes murrayi",1982,53,NA
"Nototheniops nudifrons",1982,23,NA
"Pleuragramma antarcticum",1983,511991,""
"Chaenocephalus aceratus",1983,3000,""
"Notothenia squamifrons",1983,2548000,NA
"Notothenia gibberifrons",1983,7420000,NA
"Notothenia rossii",1983,2219000,""
"Patagonotothen brevicauda",1983,5029000,NA
"Pseudochaenichthys georgianus",1983,16000,""
"Chaenodraco wilsoni",1983,73916,""
"Pleuragramma antarcticum",1984,1148585,""
"Chaenocephalus aceratus",1984,1196000,""
"Notothenia squamifrons",1984,7717000,NA
"Notothenia gibberifrons",1984,7151000,NA
"Notothenia rossii",1984,6344000,""
"Patagonotothen brevicauda",1984,16869000,NA
"Pseudochaenichthys georgianus",1984,1967000,""
"Pleuragramma antarcticum",1985,984280,""
"Chaenocephalus aceratus",1985,105000,""
"Notothenia squamifrons",1985,6848000,NA
"Notothenia gibberifrons",1985,6583500,NA
"Notothenia rossii",1985,1161800,""
"Patagonotothen brevicauda",1985,6836000,NA
"Pseudochaenichthys georgianus",1985,23600,""
"Chaenodraco wilsoni",1985,1049990,""
"Pagothenia hansoni",1985,155,NA
"Channichthys rhinoceratus",1985,19500,""
"Pleuragramma antarcticum",1986,595800,""
"Chaenocephalus aceratus",1986,412000,""
"Notothenia squamifrons",1986,13884013,NA
"Notothenia gibberifrons",1986,3243159,NA
"Notothenia rossii",1986,989400,""
"Patagonotothen brevicauda",1986,15059050,NA
"Pseudochaenichthys georgianus",1986,135000,""
"Chaenodraco wilsoni",1986,1929924,""
"Pagothenia hansoni",1986,2400,NA
"Nototheniops nudifrons",1986,1,NA
"Pleuragramma antarcticum",1987,33500,""
"Chaenocephalus aceratus",1987,491018,""
"Notothenia squamifrons",1987,5401808,NA
"Notothenia gibberifrons",1987,5069262,NA
"Notothenia rossii",1987,498457,""
"Chionodraco rastrospinosus",1987,125,""
"Patagonotothen brevicauda",1987,8816001,NA
"Pseudochaenichthys georgianus",1987,305313,""
"Chaenodraco wilsoni",1987,1099000,""
"Notothenia kempi",1987,11,NA
