iso3166,value,r0,r1,r2
AGO,0.470524591149667,1,2,17
AIA,0.599849987974833,1,19,29
ALB,0.599687249479,1,150,39
Amsterdam Island and Saint Paul Island,0.653427829886333,1,150,154
ANT,0.66803581449415,1,19,29
ARE,0.500792949334667,1,142,145
ARG,0.5766328964245,1,19,5
ASM,0.794464085297333,1,9,57
ATG,0.5083941598525,1,19,29
AUS,0.686308020683167,1,9,53
Bassas da India,0.433578643578667,1,2,14
BEL,0.459737053070333,1,150,155
BEN,0.469432118807,1,2,11
BGD,0.573339646464667,1,142,34
BGR,0.50490339907,1,150,151
BHR,0.639324094115667,1,142,145
BHS,0.609575216450167,1,19,29
BLZ,0.624969937470167,1,19,13
BMU,0.711252104377167,1,19,29
BRA,0.453573532948417,1,19,5
BRB,0.386017215808833,1,19,29
BVT,0.506709054834,1,150,154
CAN,0.5832177930095,1,19,21
CCK,0.692480860189333,1,9,53
CHL,0.696581589706583,1,19,5
CHN,0.6974201338785,1,142,30
CIV,0.397540985249333,1,2,11
CMR,0.348105058521667,1,2,17
COD,0.473085517877233,1,2,17
COG,0.4387506012505,1,2,17
COK,0.665810586018917,1,9,53
COL,0.4337626262625,1,19,5
COM,0.404844376302667,1,2,14
CPV,0.458562109187167,1,2,11
CRI,0.3473695286195,1,19,13
Crozet Islands,0.650094496553,1,150,154
CUB,0.702634780343,1,19,29
CXR,0.686061107102833,1,9,53
CYM,0.6279267877185,1,19,29
CYP,0.560576198493,1,142,145
DEU,0.550499939875,1,150,155
DJI,0.262255090588333,1,2,14
DMA,0.6077456108705,1,19,29
DNK,0.588087622254333,1,150,154
DOM,0.486923300464833,1,19,29
DZA,0.59361942841115,1,2,15
ECU,0.471382876382833,1,19,5
EGY,0.5727079324995,1,2,15
ERI,0.562158990700667,1,2,14
ESH,0.398093334135,1,2,15
ESP,0.491138401207944,1,150,39
EST,0.539088203463167,1,150,154
FIN,0.522705727914167,1,150,154
FJI,0.348608706108667,1,9,54
FLK,0.716586600128217,1,150,154
FRA,0.568126052188583,1,150,155
FRO,0.645615580407233,1,150,154
FSM,0.429956810165,1,9,57
GAB,0.569878246753167,1,2,17
Galapagos Islands,0.348345358345333,1,19,5
GBR,0.574515792849167,1,150,154
GEO,0.685106721981667,1,142,145
GGY,0.601701038159333,1,150,154
GHA,0.371237774571033,1,2,11
GIB,0.623423821548833,1,150,39
GIN,0.417668249959833,1,2,11
Glorioso Islands,0.440452942119667,1,2,14
GMB,0.548735569985667,1,2,11
GNB,0.519548160173167,1,2,11
GNQ,0.538708613916917,1,2,17
GRC,0.526381673881667,1,150,39
GRD,0.362157287157333,1,19,29
GRL,0.62101320747165,1,150,154
GTM,0.3375285594035,1,19,13
GUF,0.453047639089333,1,19,5
GUM,0.739993085618167,1,9,57
GUY,0.447960457752167,1,19,5
HMD,0.6761941839025,1,9,53
HND,0.4164747675165,1,19,13
Howland Island and Baker Island,0.816887826679483,1,9,57
HRV,0.361312329645667,1,150,39
HTI,0.45693001443,1,19,29
IDN,0.317230238896833,1,142,35
Ile Europa,0.417979797979667,1,2,14
Ile Tromelin,0.423711720378167,1,2,14
IND,0.437867664742583,1,142,34
IOT,0.500135582010667,1,142,34
IRL,0.511226250601333,1,150,154
IRN,0.578492865159667,1,142,34
IRQ,0.513039021164,1,142,145
ISL,0.568838283629983,1,150,154
ISR,0.62782657928475,1,142,145
ITA,0.4555700857785,1,150,39
JAM,0.402657026615333,1,19,29
Jarvis Island,0.809325697450667,1,9,57
JEY,0.528610610068833,1,150,154
Johnston Atoll,0.803346861471817,1,9,57
JOR,0.425807379349,1,142,145
JPN,0.377435966811,1,142,30
Juan de Nova Island,0.424854096520667,1,2,14
KEN,0.533561107102833,1,2,14
Kerguelen Islands,0.629565396023833,1,150,154
KHM,0.565085076960167,1,142,35
KIR,0.630423848271039,1,9,57
KNA,0.613130411255333,1,19,29
KOR,0.655676607343333,1,142,30
KWT,0.582178030303,1,142,145
LBN,0.524580026455,1,142,145
LBR,0.398474326599333,1,2,11
LBY,0.271490800865833,1,2,15
LCA,0.622998737373667,1,19,29
LKA,0.422225929934167,1,142,34
LTU,0.494392336059167,1,150,154
LVA,0.530707872374667,1,150,154
Macquarie Island,0.6799820626905,1,9,53
MAF,0.632898729357167,1,19,29
MAR,0.526691217733,1,2,15
MDG,0.368925665383833,1,2,14
MDV,0.432213604297,1,142,34
MEX,0.359265121452583,1,19,13
MHL,0.437701519159667,1,9,57
MLT,0.495388007054667,1,150,39
MMR,0.319735349527,1,142,35
MNP,0.7688971059805,1,9,57
MOZ,0.373749599166167,1,2,14
MRT,0.509137105178833,1,2,11
MSR,0.455123356581667,1,19,29
MUS,0.365104417187667,1,2,14
MYS,0.521953763828667,1,142,35
MYT,0.444984467692667,1,2,14
NAM,0.710119949495,1,2,18
NCL,0.5228837983005,1,9,54
NFK,0.6799820626905,1,9,53
NGA,0.418948312489833,1,2,11
NIC,0.37451849847675,1,19,13
NIU,0.5804504369087,1,9,53
NLD,0.500263748597,1,150,155
NOR,0.594475709475667,1,150,154
NRU,0.455570687029,1,9,57
NZL,0.629184102934167,1,9,53
OMN,0.362354998396667,1,142,145
PAK,0.495058822350333,1,142,34
Palmyra Atoll,0.8159530824115,1,9,57
PAN,0.414728936187167,1,19,13
PER,0.5618848204265,1,19,5
PHL,0.483654100529,1,142,35
PLW,0.2915198613115,1,9,57
PNG,0.489869227994167,1,9,54
POL,0.5563344757095,1,150,151
PRI,0.520454445246167,1,19,29
PRK,0.449499058040667,1,142,30
PRT,0.442818829832833,1,150,39
PYF,0.584059543851067,1,9,61
QAT,0.4953997314415,1,142,145
REU,0.4291967291965,1,2,14
ROU,0.5469964526215,1,150,151
RUS,0.56333273208275,1,150,151
SAU,0.388256072631,1,142,145
SCG,0.7022163099247,1,150,39
SDN,0.4807719055635,1,2,15
SEN,0.499051126342833,1,2,11
SJM,0.571423059964833,1,150,154
SLB,0.3245190997275,1,9,54
SLE,0.605119548661333,1,2,11
SLV,0.567187249479,1,19,13
SOM,0.352943021484667,1,2,14
Southern Saint-Martin,0.672031325156233,1,19,29
SPM,0.568374919833333,1,19,21
STP,0.384073973865567,1,2,17
SUR,0.489605479397167,1,19,5
SVN,0.524341029341167,1,150,39
SWE,0.351664762706333,1,150,154
SYC,0.3617399190315,1,2,14
SYR,0.613657307199033,1,142,145
TCA,0.526549122174,1,19,29
TGO,0.381720378387067,1,2,11
THA,0.616991241783,1,142,35
TKL,0.4925053110469,1,9,53
TON,0.636166325958167,1,9,61
TTO,0.482210097001667,1,19,29
TUN,0.588652898027833,1,2,15
TUR,0.579346540804833,1,142,145
TUV,0.238057459515833,1,9,61
TWN,0.511874599166333,1,142,30
TZA,0.613345258137,1,2,14
UKR,0.577103475228333,1,150,151
URY,0.559827942119667,1,19,5
USA,0.612622254289042,1,19,21
VCT,0.338957732082667,1,19,29
VEN,0.367638287638167,1,19,5
VGB,0.5469872334455,1,19,29
VIR,0.678752505210833,1,19,29
VNM,0.550080868205833,1,142,35
VUT,0.369371993746833,1,9,54
Wake Island,0.817095458553817,1,9,57
WLF,0.433207972582833,1,9,61
WSM,0.700876022126,1,9,61
YEM,0.472056176847667,1,142,145
ZAF,0.623909682138917,1,2,18
