target,CODE,SciName,area,year,catch_assmt,MSY,C_msy_assmt
krill,KRI,Euphausia superba,48.6,2008,0,15000,0
krill,KRI,Euphausia superba,48.6,2009,0,15000,0
krill,KRI,Euphausia superba,58.4.1,2007,0,440000,0
krill,KRI,Euphausia superba,58.4.1,2008,0,440000,0
krill,KRI,Euphausia superba,58.4.1,2009,0,440000,0
krill,KRI,Euphausia superba,58.4.1,2010,0,440000,0
krill,KRI,Euphausia superba,58.4.1,2011,0,440000,0
krill,KRI,Euphausia superba,58.4.2,2007,0,452000,0
krill,KRI,Euphausia superba,58.4.2,2008,0,452000,0
krill,KRI,Euphausia superba,58.4.2,2009,0,452000,0
krill,KRI,Euphausia superba,58.4.2,2010,0,452000,0
krill,KRI,Euphausia superba,58.4.2,2011,0,452000,0
krill,KRI,Euphausia superba,48.1,2007,125063,620000,0.201714516
krill,KRI,Euphausia superba,48.4,2007,125063,620000,0.201714516
krill,KRI,Euphausia superba,48.2,2007,125063,620000,0.201714516
krill,KRI,Euphausia superba,48.3,2007,125063,620000,0.201714516
krill,KRI,Euphausia superba,48.1,2008,123948,620000,0.199916129
krill,KRI,Euphausia superba,48.4,2008,123948,620000,0.199916129
krill,KRI,Euphausia superba,48.2,2008,123948,620000,0.199916129
krill,KRI,Euphausia superba,48.3,2008,123948,620000,0.199916129
krill,KRI,Euphausia superba,48.1,2009,196390,620000,0.316758065
krill,KRI,Euphausia superba,48.2,2009,196390,620000,0.316758065
krill,KRI,Euphausia superba,48.3,2009,196390,620000,0.316758065
krill,KRI,Euphausia superba,48.4,2009,196390,620000,0.316758065
krill,KRI,Euphausia superba,48.1,2010,179131,620000,0.288920968
krill,KRI,Euphausia superba,48.2,2010,179131,620000,0.288920968
krill,KRI,Euphausia superba,48.4,2010,179131,620000,0.288920968
krill,KRI,Euphausia superba,48.3,2010,179131,620000,0.288920968
krill,KRI,Euphausia superba,48.1,2011,157119,620000,0.253417742
krill,KRI,Euphausia superba,48.2,2011,157119,620000,0.253417742
krill,KRI,Euphausia superba,48.4,2011,157119,620000,0.253417742
krill,KRI,Euphausia superba,48.3,2011,157119,620000,0.253417742
krill,KRI,Euphausia superba,48.6,2007,0,15000,0
krill,KRI,Euphausia superba,48.6,2010,0,15000,0
krill,KRI,Euphausia superba,48.6,2011,0,15000,0
krill,KRI,Euphausia superba,88.1,2007,0,,0
krill,KRI,Euphausia superba,88.1,2008,0,,0
krill,KRI,Euphausia superba,88.1,2009,0,,0
krill,KRI,Euphausia superba,88.1,2010,0,,0
krill,KRI,Euphausia superba,88.1,2011,0,,0
krill,KRI,Euphausia superba,88.3,2007,0,,0
krill,KRI,Euphausia superba,88.3,2008,0,,0
krill,KRI,Euphausia superba,88.3,2009,0,,0
krill,KRI,Euphausia superba,88.3,2010,0,,0
krill,KRI,Euphausia superba,88.3,2011,0,,0
