"id","trend_yrs"
5,"5_yr"
6,"4_yr"
7,"5_yr"
8,"5_yr"
9,"5_yr"
10,"5_yr"
13,"5_yr"
14,"4_yr"
15,"5_yr"
16,"5_yr"
17,"5_yr"
18,"5_yr"
19,"5_yr"
20,"5_yr"
21,"5_yr"
24,"5_yr"
25,"4_yr"
29,"5_yr"
31,"5_yr"
32,"5_yr"
37,"5_yr"
40,"4_yr"
41,"5_yr"
42,"5_yr"
43,"5_yr"
45,"5_yr"
47,"4_yr"
48,"5_yr"
50,"5_yr"
51,"4_yr"
52,"5_yr"
53,"5_yr"
54,"5_yr"
61,"5_yr"
62,"5_yr"
65,"5_yr"
66,"5_yr"
67,"5_yr"
68,"5_yr"
70,"5_yr"
71,"5_yr"
73,"5_yr"
75,"4_yr"
76,"5_yr"
78,"5_yr"
79,"4_yr"
80,"4_yr"
81,"4_yr"
82,"5_yr"
84,"5_yr"
95,"5_yr"
101,"5_yr"
102,"5_yr"
110,"5_yr"
111,"5_yr"
112,"5_yr"
115,"5_yr"
116,"5_yr"
129,"5_yr"
130,"5_yr"
131,"5_yr"
132,"5_yr"
133,"5_yr"
134,"5_yr"
135,"4_yr"
136,"5_yr"
137,"5_yr"
138,"5_yr"
139,"4_yr"
140,"4_yr"
141,"5_yr"
143,"5_yr"
147,"5_yr"
152,"5_yr"
153,"5_yr"
155,"4_yr"
162,"5_yr"
163,"5_yr"
164,"5_yr"
166,"5_yr"
167,"5_yr"
168,"5_yr"
171,"5_yr"
172,"5_yr"
173,"5_yr"
174,"5_yr"
175,"4_yr"
176,"5_yr"
177,"5_yr"
179,"5_yr"
180,"4_yr"
181,"5_yr"
182,"4_yr"
183,"4_yr"
184,"5_yr"
186,"5_yr"
187,"4_yr"
188,"5_yr"
190,"5_yr"
191,"5_yr"
196,"5_yr"
202,"5_yr"
203,"5_yr"
204,"5_yr"
205,"5_yr"
206,"5_yr"
207,"5_yr"
208,"4_yr"
209,"5_yr"
210,"5_yr"
212,"5_yr"
214,"5_yr"
216,"4_yr"
218,"5_yr"
222,"5_yr"
223,"5_yr"
224,"5_yr"
231,"5_yr"
232,"5_yr"
244,"5_yr"
245,"5_yr"
247,"5_yr"
250,"5_yr"
