"species_code","species"
602,"Blue shrimp"
603,"Pacific cupped oyster"
1051,"Blue shrimp"
1052,"Whiteleg shrimp"
779,"Giant tiger prawn"
631,"Bear paw clam"
632,"Crocus giant clam"
633,"Elongate giant clam"
634,"Fluted giant clam"
635,"Giant clam"
636,"Milkfish"
637,"Smooth giant clam"
566,"Clams, etc. nei"
567,"Milkfish"
595,"Milkfish"
324,"Banana prawn"
325,"Milkfish"
326,"Mullets nei"
327,"Whiteleg shrimp"
612,"Whiteleg shrimp"
878,"Abalones nei"
879,"Abalones nei"
880,"Amberjacks nei"
881,"Amberjacks nei"
882,"Barramundi"
883,"Barramundi"
884,"Blackhead seabream"
885,"Blackhead seabream"
886,"Blood cockle"
887,"Clams, etc. nei"
888,"Clams, etc. nei"
889,"Cobia"
890,"Cobia"
891,"Croakers, drums nei"
892,"Flathead grey mullet"
893,"Flathead grey mullet"
894,"Fourfinger threadfin"
895,"Giant tiger prawn"
896,"Greasyback shrimp"
897,"Greater amberjack"
898,"Groupers nei"
899,"Groupers nei"
900,"Indo-Pacific swamp crab"
901,"Japanese carpet shell"
902,"Japanese carpet shell"
903,"Japanese eel"
904,"Japanese hard clam"
905,"Japanese hard clam"
906,"Japanese spiny lobster"
907,"Japanese spiny lobster"
908,"Kuruma prawn"
909,"Kuruma prawn"
910,"Laver (Nori)"
911,"Marine crabs nei"
912,"Marine crabs nei"
913,"Marine fishes nei"
914,"Marine fishes nei"
915,"Marine molluscs nei"
916,"Marine molluscs nei"
917,"Milkfish"
918,"Natantian decapods nei"
919,"Pacific cupped oyster"
920,"Porgies, seabreams nei"
921,"Porgies, seabreams nei"
922,"Redtail prawn"
923,"Snappers, jobfishes nei"
924,"Snappers, jobfishes nei"
925,"Trumpet emperor"
926,"Warty gracilaria"
927,"Warty gracilaria"
928,"Whiteleg shrimp"
649,"Banana prawn"
650,"Barramundi"
651,"Caulerpa seaweeds"
652,"Flathead lobster"
653,"Giant tiger prawn"
654,"Giant tiger prawn"
655,"Green mussel"
656,"Groupers, seabasses nei"
657,"Groupers, seabasses nei"
658,"Indo-Pacific swamp crab"
659,"Indo-Pacific swamp crab"
660,"Jacks, crevalles nei"
661,"Marine fishes nei"
662,"Marine fishes nei"
663,"Metapenaeus shrimps nei"
664,"Metapenaeus shrimps nei"
665,"Milkfish"
666,"Milkfish"
667,"Scats"
668,"Slipper cupped oyster"
669,"Snappers nei"
670,"Tropical spiny lobsters nei"
671,"Whiteleg shrimp"
17,"Abalones nei"
18,"Aquatic invertebrates nei"
19,"Atlantic salmon"
20,"Australian mussel"
21,"Barramundi"
22,"Brine shrimp"
23,"Brown tiger prawn"
24,"Brown tiger prawn"
25,"Chinook(=Spring=King)salmon"
26,"Cupped oysters nei"
27,"Cupped oysters nei"
28,"Eastern king prawn"
29,"Eastern king prawn"
30,"Eastern school shrimp"
31,"Flat and cupped oysters nei"
32,"Giant tiger prawn"
33,"Giant tiger prawn"
34,"Indo-Pacific swamp crab"
35,"Kuruma prawn"
36,"Marine fishes nei"
37,"Marine fishes nei"
38,"Pacific cupped oyster"
39,"Pacific cupped oyster"
40,"Penaeus shrimps nei"
41,"Rainbow trout"
42,"Southern Australia scallop"
43,"Southern bluefin tuna"
44,"Sydney cupped oyster"
45,"Sydney cupped oyster"
641,"Giant tiger prawn"
642,"Mangrove cupped oyster"
643,"Pearl oyster shells nei"
243,"Anadara clams nei"
244,"Flathead grey mullet"
245,"Giant tiger prawn"
246,"Green mussel"
247,"Metapenaeus shrimps nei"
248,"Pearl oyster shells nei"
989,"Milkfish"
459,"Abalones nei"
460,"Aquatic invertebrates nei"
461,"Bastard halibut"
