"fao_saup_id","taxon_name_key","year","catch"
"481_0","Notothenia rossii_6",1986,0
"481_0","Notothenia squamifrons_6",1986,0
"481_0","Nototheniidae_4",1986,0
"481_0","Nototheniops nudifrons_6",1986,0
"481_0","Osteichthyes_2",1986,0
"481_0","Pleuragramma antarcticum_6",1986,0
"481_0","Pseudochaenichthys georgianus_6",1986,0
"481_0","Rajiformes_3",1986,0
"481_0","Trematomus spp_5",1986,0
"481_0","Cephalopoda_2",1987,0
"481_0","Chaenocephalus aceratus_6",1987,1.774
"481_0","Chaenodraco wilsoni_6",1987,0
"481_0","Champsocephalus gunnari_6",1987,15.44
"481_0","Channichthyidae_4",1987,0
"481_0","Channichthys rhinoceratus_6",1987,0
"481_0","Chionodraco rastrospinosus_6",1987,0.125
"481_0","Dissostichus eleginoides_6",1987,0
"481_0","Dissostichus mawsoni_6",1987,0.033
"481_0","Euphausia superba_6",1987,70269
"481_0","Lithodes murrayi_6",1987,0
"481_0","Loliginidae, Ommastrephidae_3",1987,0
"481_0","Myctophidae_4",1987,0
"481_0","Notothenia gibberifrons_6",1987,7.978
"481_0","Notothenia kempi_6",1987,0.011
"481_0","Notothenia neglecta_6",1987,1.286
"481_0","Notothenia rossii_6",1987,0.047
"481_0","Notothenia squamifrons_6",1987,0
"481_0","Nototheniidae_4",1987,1
"481_0","Nototheniops nudifrons_6",1987,0.001
"481_0","Osteichthyes_2",1987,1.094
"481_0","Pleuragramma antarcticum_6",1987,4
"481_0","Pseudochaenichthys georgianus_6",1987,0.027
"481_0","Rajiformes_3",1987,0.293
"481_0","Trematomus spp_5",1987,0
"481_0","Cephalopoda_2",1988,0
"481_0","Chaenocephalus aceratus_6",1988,2.316
"481_0","Chaenodraco wilsoni_6",1988,0
"481_0","Champsocephalus gunnari_6",1988,0.499
"481_0","Channichthyidae_4",1988,0
"481_0","Channichthys rhinoceratus_6",1988,0
"481_0","Chionodraco rastrospinosus_6",1988,0.098
"481_0","Dissostichus eleginoides_6",1988,0
"481_0","Dissostichus mawsoni_6",1988,0.021
"481_0","Euphausia superba_6",1988,78918
"481_0","Lithodes murrayi_6",1988,0
"481_0","Loliginidae, Ommastrephidae_3",1988,0
"481_0","Myctophidae_4",1988,0
"481_0","Notothenia gibberifrons_6",1988,4.443
"481_0","Notothenia kempi_6",1988,0.052
"481_0","Notothenia neglecta_6",1988,1.309
"481_0","Notothenia rossii_6",1988,0.947
