"rgn_id","region_id_2012","extent","condition","trend_gaps","gap_fill_1","habitat","km2","health","trend","variable","gap_fill"
1,1,"actuals","adjacent",0,"disagg2012_gap_fill","coral",102.17,1,0.0681151579033718,"trend","disagg2012_gap_fill"
2,1,"actuals","adjacent",0,"disagg2012_gap_fill","coral",1.7465,1,0.0681151579033718,"trend","disagg2012_gap_fill"
3,1,"actuals","adjacent",0,"disagg2012_gap_fill","coral",NA,NA,NA,"trend",NA
4,2,NA,NA,NA,"disagg2012_gap_fill","coral",NA,NA,NA,"trend",NA
5,3,"actuals","adjacent",0,NA,"coral",4381.1,0.730957557997747,-0.0786428796215429,"trend","0"
6,4,"actuals","georegion",NA,NA,"coral",459.33,0.964113890082612,NA,"trend","mean of other habitats"
7,5,"actuals","adjacent",0,NA,"coral",2197.97,0.730957557997747,0.208180059523813,"trend","0"
8,6,"actuals","adjacent",0,NA,"coral",496.006,1,-0.0445193452381374,"trend","0"
9,7,"actuals","georegion",0,NA,"coral",3060.74,0.964113890082612,-0.0252867870223818,"trend","0"
10,8,"actuals","georegion",NA,NA,"coral",3.493,0.964113890082612,NA,"trend","mean of other habitats"
11,9,"actuals","georegion",NA,NA,"coral",1789.29,0.964113890082612,NA,"trend","mean of other habitats"
12,114,"actuals","georegion",NA,"disagg2012_gap_fill","coral",7.85926,0.743013670160413,NA,"trend","mean of other habitats"
13,111,"actuals","adjacent",0,"disagg2012_gap_fill","coral",169.411,1,-0.0245904234417265,"trend","disagg2012_gap_fill"
14,10,"actuals","adjacent",0,NA,"coral",330.962,1,-0.0139744103773616,"trend","0"
15,11,"actuals","prediction",0,NA,"coral",9668.63,1,0.00811643101027029,"trend","0"
16,12,"actuals","prediction",0,NA,"coral",31682.4,0.730957557997747,-0.0190278366425452,"trend","0"
17,13,"actuals","adjacent",0,NA,"coral",6471.66,0.953679013210641,-0.158933368978923,"trend","0"
18,14,"actuals","adjacent",0,NA,"coral",3011.84,1,0.0546468300233814,"trend","0"
19,15,"actuals","adjacent",0,NA,"coral",889.843,1,0.0550549450549175,"trend","0"
20,16,NA,NA,NA,NA,"coral",NA,NA,NA,"trend",NA
21,17,NA,NA,NA,NA,"coral",NA,NA,NA,"trend",NA
24,18,"actuals","adjacent",0,NA,"coral",29.6905,1,-0.212525000000005,"trend","0"
25,19,"actuals","prediction",0,NA,"coral",155.439,1,0.0134611882146353,"trend","0"
26,153,"actuals","adjacent",0,"disagg2012_gap_fill","coral",645.332,1,0.178472979597135,"trend","disagg2012_gap_fill"
28,20,"actuals","georegion",NA,NA,"coral",160.678,0.755307777337641,NA,"trend","mean of other habitats"
29,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",280.314,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
30,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",165.918,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
31,22,"actuals","adjacent",0,NA,"coral",1428.64,0.855746556788467,-0.163570313720881,"trend","0"
32,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",9.60576,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
33,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",50.6485,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
34,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",31.437,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
35,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",6.11276,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
36,21,"actuals","adjacent",0,"disagg2012_gap_fill","coral",6.11276,0.855746556788467,0.0923117094017261,"trend","disagg2012_gap_fill"
37,23,"actuals","prediction",0,NA,"coral",654.065,0.855746556788467,-0.0146613433666986,"trend","0"
38,24,"actuals","georegion",NA,NA,"coral",1767.46,1,NA,"trend","mean of other habitats"
39,25,"actuals","georegion",0,NA,"coral",2634.6,1,0.0257243055555461,"trend","0"
40,26,"actuals","georegion",0,NA,"coral",96.0576,1,0.834249999998065,"trend","0"
41,27,"actuals","georegion",0,NA,"coral",1496.75,0.755307777337641,-0.196947089947181,"trend","0"
42,28,"actuals","georegion",0,NA,"coral",2066.98,0.755307777337641,0.357142857142641,"trend","0"
43,29,"actuals","prediction",0,NA,"coral",385.977,0.580673354488477,-0.0235814793334537,"trend","0"
44,30,"actuals","adjacent",NA,NA,"coral",341.441,0.580673354488477,NA,"trend","mean of other habitats"
45,31,"actuals","georegion",NA,NA,"coral",1323.85,0.984538344672957,NA,"trend","mean of other habitats"
46,32,"actuals","georegion",NA,NA,"coral",126.621,0.984538344672957,NA,"trend","mean of other habitats"
47,33,"actuals","georegion",0,NA,"coral",574.599,0.984538344672957,0.328166666666776,"trend","0"
48,34,"actuals","georegion",NA,NA,"coral",227.045,0.984538344672957,NA,"trend","mean of other habitats"
49,35,"actuals","adjacent",NA,NA,"coral",602.543,0.984538344672957,NA,"trend","mean of other habitats"
