"country","year","VA.EST","PV.EST","GE.EST","RQ.EST","RL.EST","CC.EST","score_wgi_scale","score","NAcount"
"Anguilla",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Anguilla",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Anguilla",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Anguilla",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Anguilla",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Cook Islands",2013,NA,NA,NA,NA,NA,NA,0,0.5,6
"Cook Islands",2012,NA,NA,NA,NA,NA,NA,0,0.5,6
"Cook Islands",2011,-0.393607208415887,NA,-0.975290393156907,-1.17432418442049,-0.911620682568601,-0.207976081895592,-0.610469758409579,0.377906048318084,1
"Cook Islands",2008,NA,NA,NA,NA,NA,NA,0,0.5,6
"Cook Islands",2007,NA,NA,0.537423859452698,0.0937168924842141,0.605655191796223,1.06043425847043,0.382871700367261,0.576574340073452,2
"Cook Islands",2006,NA,NA,0.432117775438826,0.589295974916372,1.04914666924918,0.639238459476529,0.451633146513484,0.590326629302697,2
"Cook Islands",2005,NA,NA,0.797637549302712,0.592167428515222,1.18611396415375,0.601616082048608,0.529589170670049,0.60591783413401,2
"Cook Islands",2004,NA,NA,-0.484252250222181,0.207808323029843,0.637442305175315,0.0723852986209979,0.0722306127673291,0.514446122553466,2
"Cook Islands",2003,NA,NA,-0.281321660939049,0.25690840685117,0.636818856453336,-0.228136440201821,0.064044860360606,0.512808972072121,2
"Cook Islands",2002,NA,NA,-0.0673240386946151,0.344141396497176,0.631290783257063,-0.209499235318128,0.116434817623583,0.523286963524716,2
"Cook Islands",2000,NA,NA,0.0659808726810066,0.359632788326196,0.660649350511478,-0.274885845943693,0.135229527595831,0.527045905519166,2
"Cook Islands",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Cook Islands",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2013,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2012,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2011,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2010,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2009,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2008,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2007,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2006,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2005,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2004,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Jersey, Channel Islands",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Nauru",2006,1.08028366800615,1.07602664766915,NA,NA,0.984069123588998,NA,0.523396573210716,0.604679314642143,3
"Nauru",2005,1.0488731418882,1.08345827050275,NA,NA,0.765801955445858,NA,0.483022227972801,0.59660444559456,3
"Nauru",2004,1.05052246887267,1.1450489505743,NA,NA,0.814888949785773,NA,0.501743394872124,0.600348678974425,3
"Nauru",2003,1.10202575185471,1.20476048839746,NA,NA,0.808236337108863,NA,0.519170429560172,0.603834085912034,3
"Nauru",2002,0.928556672704557,NA,NA,NA,0.83439319079768,NA,0.293824977250373,0.558764995450075,4
"Nauru",2000,0.926924354966938,NA,NA,NA,0.856149926171571,NA,0.297179046856418,0.559435809371284,4
"Nauru",1998,0.991343205417798,NA,NA,NA,0.895983432217758,NA,0.314554439605926,0.562910887921185,4
"Nauru",1996,0.982918835543892,NA,NA,NA,0.774536468668756,NA,0.292909217368775,0.558581843473755,4
"Netherlands Antilles",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Netherlands Antilles",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Netherlands Antilles",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Netherlands Antilles",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Netherlands Antilles",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2013,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2012,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2011,-0.393607208415887,NA,-0.975290393156907,-0.941219755878976,-0.76351547044268,-0.41121620186144,-0.580808171625982,0.383838365674804,1
"Niue",2008,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2007,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2006,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2005,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2004,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Niue",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Reunion",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Reunion",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Reunion",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Reunion",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Reunion",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"American Samoa",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"American Samoa",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"American Samoa",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"American Samoa",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"American Samoa",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Aruba",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Aruba",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Aruba",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Aruba",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Aruba",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Cape Verde",1996,0.911774701079108,0.944107830936114,NA,-0.57992152915192,0.774557430667089,NA,0.341753072255065,0.568350614451013,2
"Greenland",2008,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2007,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2006,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2005,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2004,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Greenland",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Guam",2003,NA,NA,NA,NA,NA,NA,0,0.5,6
"Guam",2002,NA,NA,NA,NA,NA,NA,0,0.5,6
"Guam",2000,NA,NA,NA,NA,NA,NA,0,0.5,6
"Guam",1998,NA,NA,NA,NA,NA,NA,0,0.5,6
"Guam",1996,NA,NA,NA,NA,NA,NA,0,0.5,6
"Kiribati",2002,1.07603051950537,NA,-0.253885335403689,-1.02498404092959,0.654628413311295,-0.0966021708808875,0.0591978976004164,0.511839579520083,1
"Kiribati",2000,1.12656572211451,NA,-0.197733201082942,-0.995928800935774,0.606221186616908,-0.375487897613612,0.0272728348498483,0.50545456696997,1
"Kiribati",1998,1.16397114016429,NA,-0.577555591920409,-1.01597153665757,0.151835678152649,-0.581803113727289,-0.143253903998055,0.471349219200389,1
