"","rgn_id_2013","rgn_nam_2013"
"1",1,"Cocos Islands"
"2",2,"Christmas Island"
"3",3,"Norfolk Island"
"4",94,"Heard and McDonald Islands"
"5",4,"Macquarie Island"
"6",10,"Nauru"
"7",14,"Taiwan"
"8",34,"Bassas da India"
"9",35,"Ile Europa"
"10",30,"Glorioso Islands"
"11",33,"Juan de Nova Island"
"12",32,"R_union"
"13",36,"Ile Tromelin"
"14",29,"Mayotte"
"15",38,"British Indian Ocean Territory"
"16",60,"Gibraltar"
"17",63,"Western Sahara"
"18",92,"Amsterdam Island and Saint Paul Island"
"19",91,"Crozet Islands"
"20",93,"Kerguelen Islands"
"21",85,"Ascension"
"22",95,"Falkland Islands"
"23",89,"South Georgia and the South Sandwich Islands"
"24",86,"Saint Helena"
"25",88,"Tristan da Cunha"
"26",90,"Prince Edward Islands"
"27",107,"Clipperton Island"
"28",118,"Anguilla"
"29",121,"Montserrat"
"30",117,"British Virgin Islands"
"31",245,"Bonaire"
"32",249,"Sint Eustatius"
"33",248,"Saba"
"34",140,"Guadeloupe and Martinique"
"35",146,"Pitcairn"
"36",161,"Wallis and Futuna"
"37",149,"Jarvis Island"
"38",158,"Howland Island and Baker Island"
"39",159,"Johnston Atoll"
"40",150,"Palmyra Atoll"
"41",12,"Wake Island"
"42",153,"Cook Islands"
"43",154,"Niue"
"44",156,"Tokelau"
"45",169,"French Guiana"
"46",228,"Guernsey"
"47",227,"Jersey"
"48",58,"Canary Islands"
"49",55,"Azores"
"50",57,"Madeira"
"51",26,"Andaman and Nicobar"
"52",148,"Line Group"
"53",157,"Phoenix Group"
"54",213,"Antarctica"
"55",219,"Saint Pierre and Miquelon"
"56",105,"Bouvet Island"
"57",144,"Jan Mayen"
"58",237,"Oecussi Ambeno"
