"season.year","ASD","ASD2","ScientificName","SpeciesCode","EnglishName","Class","Tax_Lev","totC_old","corr.Catch","corr.Catch2"
1970,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,399704000,399564850.02,399564.85002
1970,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,5000,4982.01,4.98201
1971,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,10701000,10697341.47,10697.34147
1971,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,101558000,101456694.42,101456.69442
1971,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,1454000,1454000,1454
1971,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,63636000,63636000,63636
1971,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,24545000,24545000,24545
1971,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,679000,679000,679
1971,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,17958000,17928131.01,17928.13101
1972,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,551000,550811.63,550.81163
1972,"483","48","Notothenia rossii","NOR","Marbled rockcod","F",6,2738000,2735268.81,2735.26881
1972,"483","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,35000,35000,35
1972,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,27000,27000,27
1972,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,104588000,104588000,104588
1972,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,52912000,52912000,52912
1972,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,8195000,8195000,8195
1972,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,18031000,18023626.4,18023.6264
1972,"5852","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,5860000,5854596.62,5854.59662
1973,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,1830000,1829374.35,1829.37435
1973,"483","48","Notothenia squamifrons","NOS","Grey rockcod","F",6,765000,765000,765
1973,"484","48","Euphausia superba","KRI","Antarctic Krill","C",6,19000,19000,19
1973,"486","48","Euphausia superba","KRI","Antarctic Krill","C",6,40000,39999.72,39.99972
1973,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,20361000,20361000,20361
1973,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,2368000,2368000,2368
1973,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,3444000,3444000,3444
1973,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,4000,4000,4
1974,"48","48","Euphausia superba","KRI","Antarctic Krill","C",6,19139000,19139000,19139
1974,"483","48","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,254000,253751.18,253.75118
1974,"483","48","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,493000,493000,493
1974,"486","48","Euphausia superba","KRI","Antarctic Krill","C",6,2e+05,199961.34,199.96134
1974,"58","58","Notothenia rossii","NOR","Marbled rockcod","F",6,20906000,20906000,20906
1974,"58","58","Notothenia squamifrons","NOS","Grey rockcod","F",6,19977000,19977000,19977
1974,"58","58","Osteichthyes","MZZ","Unidentified saltwater bony fish","F",2,1759000,1759000,1759
1974,"5842","58","Euphausia superba","KRI","Antarctic Krill","C",6,283000,283000,283
1974,"5844","58","Euphausia superba","KRI","Antarctic Krill","C",6,166000,166000,166
1974,"5851","58","Champsocephalus gunnari","ANI","Mackerel icefish","F",6,816000,813515.24,813.51524
