"","region_id","region_name","score_2012","score_2013","dif_abs"
"1",45,"Eritrea",96.1,0.25,95.85
"2",40,"Sri Lanka",100,61.19,38.81
"3",69,"Latvia",50.83,72.93,22.1
"4",216,"Indonesia",61.94,40.4,21.54
"5",139,"Venezuela",41.09,61.94,20.85
"6",143,"Iceland",100,80.22,19.78
"7",227,"Jersey",91.55,75.58,15.97
"8",228,"Guernsey",91.55,75.58,15.97
"9",85,"Ascension",89.53,73.7,15.83
"10",86,"Saint Helena",89.53,73.7,15.83
"11",88,"Tristan da Cunha",89.53,73.71,15.82
"12",126,"Trinidad and Tobago",100,84.21,15.79
"13",180,"United Kingdom",91.55,76,15.55
"14",95,"Falkland Islands",89.53,74.06,15.47
"15",25,"Thailand",47.08,61.54,14.46
"16",206,"Malaysia",100,85.65,14.35
"17",73,"Russia",71.83,86.11,14.28
"18",247,"Brunei",100,86.23,13.77
"19",223,"Norway",75.45,88.01,12.56
"20",144,"Jan Mayen",75.53,88.01,12.48
"21",209,"China",73.16,84.92,11.76
"22",189,"Lithuania",46.85,58.54,11.69
"23",59,"Belgium",54.16,65.6,11.44
"24",49,"Sudan",49.61,60.73,11.12
"25",106,"Ghana",100,89.36,10.64
"26",174,"Finland",63.78,74.15,10.37
