"","iso3166","region_id","region_name","score","n_sector"
"1","AIA",118,"Anguilla",0.0885923751443124,3
"2","BMU",108,"Bermuda",0.0205165769630328,1
"3","EGY",214,"Egypt",0.0590154071335935,3
"4","ERI",45,"Eritrea",0.00254652499315511,3
"5","GHA",106,"Ghana",0.0193665420043314,5
"6","IDN",216,"Indonesia",0.0451140943815059,5
"7","ISL",143,"Iceland",0.335028970256547,1
"8","KNA",119,"Saint Kitts and Nevis",0.145247605799234,1
"9","LKA",40,"Sri Lanka",0.0415438557616168,1
"10","MYS",247,"Brunei",0.303788019620709,1
"11","MYS",206,"Malaysia",0.303788019620709,1
"12","TTO",126,"Trinidad and Tobago",0.252094116454152,5
"13","TWN",14,"Taiwan",0.349513875787488,1
