Country,Sp.,Native,Fish meal,Intensity,Hatchery,Habitat,Waste water,Ecological,MSI,Genetic escapees,Maric_sustainability
Greece,Kuruma prawn,1,3,5,5,5,5,4,4.6,0.10,0.43
Guatemala,Penaeus shrimps nei,5,1,3,3,1,1,2.3,3,0.50,0.17
Honduras,Penaeus shrimps nei,5,1,5,5,1,2,3.2,3.6,0.50,0.27
Iceland,Abalones nei,3,7,7,7,7,5,6,6.4,0.30,0.63
Iceland,Arctic char,10,3,5,8,6,5,6.2,6.9,1.00,0.53
Iceland,Atlantic cod,10,4,5,8,6,5,6.3,7,1.00,0.57
Iceland,Atlantic halibut,10,3,5,8,7,5,6.3,7,1.00,0.53
Iceland,Atlantic salmon (br),1,5,5,8,6,5,5,6.1,0.10,0.60
Iceland,Atlantic salmon,1,5,5,8,6,5,5,6.1,0.10,0.60
Iceland,Atlantic wolffish,10,3,5,8,7,5,6.3,6.7,1.00,0.53
Iceland,Blue mussel,7,10,7,8,8,10,8.3,8,0.70,0.93
Iceland,European seabass,5,,5,8,7,5,5,6.2,0.50,0.65
Iceland,Haddock,10,3,5,8,7,5,6.3,6.9,1.00,0.53
Iceland,Rainbow trout,10,5,5,8,6,5,6.5,7,1.00,0.60
Iceland,Spotted wolffish,10,3,6,8,7,5,6.5,6.9,1.00,0.53
Iceland,Turbot,10,3,6,8,7,5,6.5,6.9,1.00,0.53
India,Giant tiger prawn,10,1,1,3,1,1,2.8,3.9,1.00,0.17
India,Giant tiger prawn,10,1,1,3,1,1,2.8,3.9,1.00,0.17
Indonesia,Banana prawn (India),10,4,4,3,3,3,4.5,4.5,1.00,0.33
Indonesia,Banana prawn,10,4,4,1,3,3,4.2,4.4,1.00,0.27
Indonesia,Barramundi (br),10,3,1,1,3,1,3.2,3.6,1.00,0.17
Indonesia,Barramundi,10,3,1,1,3,1,3.2,3.6,1.00,0.17
Indonesia,Giant tiger prawn (India),10,1,1,3,1,1,2.8,3.8,1.00,0.17
Indonesia,Giant tiger prawn,10,1,1,3,1,1,2.8,3.8,1.00,0.17
Indonesia,Groupers nei,9,1,5,5,3,4,4.5,5,0.90,0.33
Indonesia,Milkfish,10,7,10,3,3,3,6,5.9,1.00,0.43
Iran,Indian white prawn,1,3,6,2,6,4,3.7,4.5,0.10,0.30
Ireland,Atlantic salmon,10,3,3,5,5,5,5.2,5.4,1.00,0.43
Ireland,Blue mussel,10,10,9,8,8,10,9.2,8.2,1.00,0.93
Ireland,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
Ireland,Pacific cupped oyster,1,10,7,5,7,10,6.7,6.8,0.10,0.83
Italy,Cupped oysters nei (br),5,10,10,10,9,10,9,7.6,0.50,1.00
Italy,Cupped oysters nei,5,10,10,10,9,10,9,7.6,0.50,1.00
Italy,European eel (br),10,3,3,3,6,7,5.3,5.9,1.00,0.43
Italy,European eel,10,3,3,3,6,7,5.3,5.9,1.00,0.43
Italy,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
Italy,European seabass (br),10,3,5,5,5,5,5.5,5.5,1.00,0.43
Italy,European seabass,10,3,5,5,5,5,5.5,5.5,1.00,0.43
Italy,Flathead grey mullet (br),10,3,5,5,5,5,5.5,5.8,1.00,0.43
Italy,Flathead grey mullet,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Italy,Giant tiger prawn,1,1,3,5,5,3,3,4.6,0.10,0.30
Italy,Gilthead seabream (br),10,1,5,5,3,1,4.2,4.9,1.00,0.23
Italy,Gilthead seabream,10,1,3,5,3,1,3.8,4.7,1.00,0.23
Italy,Gracilaria seaweeds,10,10,10,7,7,10,9,8.2,1.00,0.90
Italy,Kuruma prawn (br),1,3,5,5,5,7,4.3,4.8,0.10,0.50
Italy,Kuruma prawn,1,3,5,5,5,7,4.3,4.8,0.10,0.50
Japan,Coho(=Silver)salmon,10,1,1,5,3,5,4.2,4.4,1.00,0.37
Japan,Flathead grey mullet,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Japan,Kuruma prawn,10,3,5,5,4,7,5.7,5.5,1.00,0.50
Japan,Laver (Nori),10,10,7,5,7,7,7.7,7,1.00,0.73
Japan,Pacific cupped oyster,10,10,7,3,5,10,7.5,7.1,1.00,0.77
Kiribati,Milkfish,10,7,5,1,3,3,4.8,5.5,1.00,0.37
"Korea, Dem.",Gracilaria seaweeds,5,10,10,5,7,10,7.8,7.4,0.50,0.83
"Korea, Dem.",Laver (Nori),10,10,7,5,7,5,7.3,6.8,1.00,0.67
Korea,Abalones nei,10,5,3,7,5,5,5.8,5,1.00,0.57
Korea,Blood cockle,10,10,7,3,5,7,7,7,1.00,0.67
Korea,Flathead grey mullet,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Korea,Groupers nei,9,1,5,5,5,4,4.8,5.2,0.90,0.33
Korea,Kuruma prawn,10,3,5,5,4,7,5.7,5.5,1.00,0.50
Korea,Laver (Nori),10,10,7,5,7,7,7.7,7,1.00,0.73
Korea,Pacific cupped oyster,1,10,7,5,7,10,6.7,6.5,0.10,0.83
Madagascar,Giant tiger prawn,10,1,3,5,1,1,3.5,4,1.00,0.23
Malaysia,Banana prawn,10,4,3,3,3,2,4.2,4.4,1.00,0.30
Malaysia,Banana prawn,10,4,3,3,3,2,4.2,4.4,1.00,0.30
Malaysia,Barramundi (India),10,1,1,1,3,3,3.2,3.6,1.00,0.17
Malaysia,Barramundi,10,1,1,1,3,3,3.2,3.6,1.00,0.17
Malaysia,Blood cockle (India),10,10,7,3,5,7,7,7,1.00,0.67
Malaysia,Blood cockle,10,10,7,3,5,7,7,7,1.00,0.67
Malaysia,Cupped oysters nei (India),5,10,7,5,6,10,7.2,6.7,0.50,0.83
Malaysia,Cupped oysters nei,5,10,7,5,6,10,7.2,6.7,0.50,0.83
Malaysia,Giant tiger prawn (India),10,1,1,3,1,1,2.8,3.6,1.00,0.17
Malaysia,Giant tiger prawn,10,1,1,3,1,1,2.8,3.6,1.00,0.17
Mexico,Abalones nei,5,10,1,7,5,3,5.2,4.6,0.50,0.67
Mexico,Atlantic bluefin tuna,10,5,3,1,3,1,3.8,4.6,1.00,0.23
Mexico,Flathead grey mullet,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Mexico,Pacific cupped oyster (Atl),1,10,10,3,7,10,6.8,6.6,0.10,0.77
Mexico,Pacific cupped oyster,1,10,10,3,7,10,6.8,6.6,0.10,0.77
Mexico,Whiteleg shrimp (br),10,3,3,5,3,5,4.8,5,1.00,0.43
Mexico,Whiteleg shrimp,10,3,3,5,3,5,4.8,5,1.00,0.43
Mexico,Yellowfin tuna,10,1,1,1,3,1,2.8,4.1,1.00,0.10
Morocco,"Clams, etc nei",5,10,8,3,7,10,7.2,6.5,0.50,0.77
Morocco,European eel,10,3,6,5,4,5,5.5,5.7,1.00,0.43
Morocco,European flat oyster,10,10,7,3,7,10,7.8,6.9,1.00,0.77
Morocco,European seabass,10,3,4,5,4,5,5.2,5.4,1.00,0.43
Morocco,Gilthead seabream,10,3,4,5,4,5,5.2,5.5,1.00,0.43
Morocco,Marine fishes nei,5,4,5,5,4,5,4.7,5.3,0.50,0.47
Morocco,Mediterranean mussel,Ê10,10,7,5,6,10,6.3,6.4,#VALUE!,0.83
Morocco,Pacific cupped oyster,1,10,7,5,7,10,6.7,6.3,0.10,0.83
Morocco,Pacific cupped oyster (Med),1,10,7,5,7,10,6.7,6.3,0.10,0.83
Morocco,Penaeus shrimps nei,5,3,3,5,4,5,4.2,4.9,0.50,0.43
Morocco,Yesso scallop,1,10,7,7,6,9,6.7,6.5,0.10,0.87
Myanmar,Giant tiger prawn,10,1,1,3,1,1,2.8,3.7,1.00,0.17
Namibia,Blue mussel,1,10,8,4,7,9,6.5,5.8,0.10,0.77
Namibia,Gracilaria seaweeds,10,10,7,4,9,10,8.3,6.7,1.00,0.80
Namibia,Pacific cupped oyster,1,10,7,4,7,9,6.3,5.5,0.10,0.77
Netherlands,Blue mussel,10,10,9,8,7,10,9,8.1,1.00,0.93
Netherlands,Cupped oysters nei,5,10,7,7,9,10,8,7.1,0.50,0.90
Netherlands,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
New Zealand,Abalones nei,5,5,1,5,5,5,4.3,4.2,0.50,0.50
New Zealand,Pacific cupped oyster,1,10,10,3,7,10,6.8,6.7,0.10,0.77
Nicaragua,Whiteleg shrimp,10,3,1,5,3,3,4.2,4.8,1.00,0.37
Nigeria,Bagrid catfish,10,9,3,3,4,3,5.3,5.5,1.00,0.50
Nigeria,Freshwater fishes nei,5,5,5,3,5,3,4.3,5,0.50,0.37
Nigeria,Mullets nei,5,7,3,3,4,3,4.2,4.8,0.50,0.43
Nigeria,Snappers nei,5,7,3,3,4,3,4.2,4.9,0.50,0.43
Nigeria,Tilapias nei,5,5,3,3,4,3,3.8,4.8,0.50,0.37
Nigeria,Torpedo catfishes nei,5,5,3,3,4,3,3.8,4.6,0.50,0.37
Norway,Atlantic cod,10,1,3,3,3,1,3.5,4.6,1.00,0.17
Norway,Atlantic salmon,10,1,1,5,3,1,3.5,4,1.00,0.23
Norway,Blue mussel,10,10,9,8,7,10,9,8.1,1.00,0.93
Norway,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
Norway,Pacific cupped oyster,1,10,7,2,7,10,6.2,6.6,0.10,0.73
Pakistan,Marine crustaceans nei,4,3,5,3,5,3,3.8,4.3,0.40,0.30
Panama,Whiteleg shrimp,10,3,1,5,5,5,4.8,5.3,1.00,0.43
Peru,False abalone,10,10,7,7,7,5,7.7,7.2,1.00,0.73
Peru,Gracilaria seaweeds,10,10,10,5,10,10,9.2,8.2,1.00,0.83
Peru,Pacific cupped oyster,1,10,10,5,7,10,7.2,6.5,0.10,0.83
Peru,Whiteleg shrimp,10,3,1,5,3,3,4.2,4.5,1.00,0.37
Philippines,Banana prawn (br),10,4,5,3,3,1,4.3,4.5,1.00,0.27
Philippines,Banana prawn,10,4,5,1,3,1,4,4.3,1.00,0.20
Philippines,Barramundi,10,1,1,3,3,3,3.5,3.9,1.00,0.23
Philippines,Giant tiger prawn (br),10,1,1,1,1,1,2.5,3.5,1.00,0.10
Philippines,Giant tiger prawn,10,1,1,1,1,1,2.5,3.5,1.00,0.10
Philippines,Gracilaria seaweeds,10,10,10,5,7,10,8.7,7.8,1.00,0.83
Philippines,"Groupers, seabasses nei (br)",9,1,5,5,6,4,5,5.2,0.90,0.33
Philippines,"Groupers, seabasses nei",9,1,5,5,6,4,5,5.2,0.90,0.33
Philippines,Milkfish (br),10,7,7,1,3,3,5.2,5.7,1.00,0.37
Philippines,Milkfish,10,7,7,1,3,3,5.2,5.7,1.00,0.37
Philippines,Penaeus shrimps nei,5,3,5,3,1,1,3,3.9,0.50,0.23
Poland,Freshwater fishes nei,5,5,5,6,5,5,5.2,5.4,0.50,0.53
Portugal,Atlantic salmon,1,3,3,6,4,3,3.3,4.5,0.10,0.40
Portugal,Brill,10,5,3,6,4,6,5.7,5.7,1.00,0.57
Portugal,Common cuttlefish,10,5,5,6,7,7,6.7,6.5,1.00,0.60
Portugal,Common edible cockle,10,10,7,6,9,6,8,6.9,1.00,0.73
Portugal,Common sole,10,5,3,6,4,5,5.5,5.8,1.00,0.53
Portugal,European eel,10,5,3,6,4,5,5.5,5.8,1.00,0.53
Portugal,European flat oyster,10,10,7,6,8,6,7.8,6.9,1.00,0.73
Portugal,European seabass (br),10,3,3,6,4,4,5,5.2,1.00,0.43
Portugal,European seabass,10,3,3,6,4,4,5,5.4,1.00,0.43
Portugal,Flat and cupped oysters nei,10,10,7,6,7,9,8.2,7,1.00,0.83
Portugal,Freshwater fishes nei,5,5,5,5,5,5,5,5.4,0.50,0.50
Portugal,Gilthead seabream (br),10,3,3,6,4,3,4.8,5.1,1.00,0.40
Portugal,Gilthead seabream,10,3,3,6,4,3,4.8,5.3,1.00,0.40
Portugal,Grooved carpet shell (br),10,10,7,7,8,9,8.5,7.2,1.00,0.87
Portugal,Grooved carpet shell,10,10,7,7,8,9,8.5,7.3,1.00,0.87
Portugal,Kuruma prawn,1,3,3,6,4,3,3.3,4.6,0.10,0.40
Portugal,Marine fishes nei,5,5,5,6,4,5,5,5.4,0.50,0.53
Portugal,Marine molluscs nei,5,5,5,6,4,5,5,5.3,0.50,0.53
Portugal,Mullets nei,5,5,5,6,4,5,5,5.4,0.50,0.53
Portugal,Octopuses nei,5,5,5,6,8,5,5.7,5.7,0.50,0.53
Portugal,Pacific cupped oyster,1,10,7,6,8,9,6.8,6.3,0.10,0.83
Portugal,Pullet carpet shell,10,10,7,6,8,9,8.3,7,1.00,0.83
Portugal,Razor clams nei,5,10,7,6,8,9,7.5,6.5,0.50,0.83
Portugal,Sargo breams nei,6,3,3,6,4,3,4.2,4.8,0.60,0.40
Portugal,Sea mussels nei,5,10,7,6,7,8,7.2,6.5,0.50,0.80
Portugal,Turbot,10,3,3,6,4,5,5.2,5.3,1.00,0.47
Russian Fed.,Atlantic salmon,1,3,3,6,3,4,3.3,4.1,0.10,0.43
Russian Fed.,Brown seaweeds,10,10,10,8,8,10,9.3,7.4,1.00,0.93
Russian Fed.,Brown seaweeds (Pac),10,10,10,8,8,10,9.3,7.3,1.00,0.93
Russian Fed.,Flatfishes nei,5,3,4,5,4,5,4.3,4.6,0.50,0.43
Russian Fed.,Marine fishes nei,5,3,4,5,4,5,4.3,4.7,0.50,0.43
Russian Fed.,Mediterranean mussel,10,10,7,6,7,8,8,6.5,1.00,0.80
Russian Fed.,Mullets nei,5,5,5,5,4,5,4.8,4.9,0.50,0.50
Russian Fed.,Sea mussels nei,5,10,7,5,7,8,7,6.5,0.50,0.77
Russian Fed.,Sea mussels nei (Pac),5,10,7,5,7,8,7,6.4,0.50,0.77
Russian Fed.,Sea trout,10,3,3,6,3,5,5,5.2,1.00,0.47
Russian Fed.,Sea trout (Med),10,3,3,6,3,5,5,5.3,1.00,0.47
Russian Fed.,Sea urchins nei,5,5,7,5,7,5,5.7,5.7,0.50,0.50
Russian Fed.,Silver carp,10,5,3,6,4,5,5.5,5.5,1.00,0.53
Russian Fed.,Sturgeons nei,5,5,6,6,4,5,5.2,5.2,0.50,0.53
Russian Fed.,Yesso scallop,10,10,7,7,7,7,8,6.9,1.00,0.80
Saudi Arabia,Barramundi,5,1,1,3,3,1,2.3,3.5,0.50,0.17
Saudi Arabia,Flathead grey mullet,10,3,5,5,5,5,5.5,5.7,1.00,0.43
Saudi Arabia,Giant tiger prawn,10,1,1,3,5,1,3.5,4.2,1.00,0.17
Saudi Arabia,Groupers nei,9,1,5,5,5,4,4.8,5.2,0.90,0.33
Senegal,Blackchin tilapia,10,5,3,7,5,5,5.8,5.9,1.00,0.57
Senegal,Cupped oysters nei,Ê5,10,7,4,7,8,6,5.7,#VALUE!,0.73
Senegal,Gasar cupped oyster,10,10,7,4,7,8,7.7,6.5,1.00,0.73
Senegal,Giant river prawn,1,3,3,4,4,4,3.2,4,0.10,0.37
Senegal,Nile tilapia,1,5,6,4,5,6,4.5,4.8,0.10,0.50
Senegal,Pacific cupped oyster,1,10,7,4,7,8,6.2,5.8,0.10,0.73
South Africa,Aquatic plants nei,7,10,7,6,8,10,8,6.9,0.70,0.87
South Africa,Carpet shells nei,7,10,7,6,7,8,7.5,6.5,0.70,0.80
South Africa,European flat oyster,1,10,7,7,7,8,6.7,6.1,0.10,0.83
South Africa,Giant tiger prawn,1,3,3,7,5,5,4,4.7,0.10,0.50
South Africa,Gracilaria seaweeds,10,10,7,6,8,10,8.5,7.3,1.00,0.87
South Africa,Indian white prawn,1,3,3,7,5,5,4,4.6,0.10,0.50
South Africa,Kuruma prawn,1,3,3,7,5,5,4,4.7,0.10,0.50
South Africa,Mediterranean mussel,1,10,7,7,7,9,6.8,6.2,0.10,0.87
South Africa,Mullets nei,5,5,4,6,5,6,5.2,5.4,0.50,0.57
South Africa,Pacific cupped oyster,1,10,7,7,7,9,6.8,6.1,0.10,0.87
South Africa,Perlemoen abalone,10,5,7,6,7,8,7.2,6.7,1.00,0.63
South Africa,Red bait,1,5,4,7,5,6,4.7,5,0.10,0.60
South Africa,Sea mussels nei,5,10,7,7,7,8,7.3,6.5,0.50,0.83
South Africa,Smooth mactra,10,10,7,6,7,7,7.8,6.7,1.00,0.77
Spain,Atlantic salmon,10,1,2,3,3,1,3.3,3.5,1.00,0.17
Spain,Blue mussel,10,10,9,8,7,10,9,8.1,1.00,0.93
Spain,Cupped oysters nei,5,10,10,7,8,10,8.3,7.2,0.50,0.90
Spain,European eel,10,3,3,3,6,7,5.3,5.9,1.00,0.43
Spain,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
Spain,European seabass,10,3,5,5,5,5,5.5,5.7,1.00,0.43
Spain,Flathead grey mullet,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Spain,Gilthead seabream,10,1,1,3,3,1,3.2,4.2,1.00,0.17
Spain,Kuruma prawn,1,3,5,5,5,7,4.3,4.8,0.10,0.50
Spain,Pacific cupped oyster,1,10,7,5,7,10,6.7,6.4,0.10,0.83
Spain,Tuna-like fishes nei,10,1,3,1,5,1,3.5,4.5,1.00,0.10
Sri Lanka,Giant tiger prawn,10,1,1,1,1,1,2.5,3.8,1.00,0.10
Sweden,Atlantic salmon,10,3,3,8,5,5,5.7,6,1.00,0.53
Sweden,Blue mussel,7,10,7,7,7,6,7.3,6.7,0.70,0.77
Sweden,European flat oyster,Ê10,10,7,8,7,8,6.7,6.3,#VALUE!,0.87
Sweden,Rainbow trout,1,3,3,8,5,5,4.2,5.2,0.10,0.53
Taiwan,Abalones nei (br),5,5,1,5,5,3,4,3.9,0.50,0.43
Taiwan,Abalones nei,5,5,1,5,5,3,4,3.9,0.50,0.43
Taiwan,Barramundi (br),10,1,1,3,3,1,3.2,3.6,1.00,0.17
Taiwan,Barramundi,10,1,1,3,3,3,3.5,3.9,1.00,0.23
Taiwan,Blood cockle,10,10,7,3,5,7,7,7,1.00,0.67
Taiwan,Flathead grey mullet (br),10,3,5,5,5,3,5.2,5.5,1.00,0.37
