Country,Sp.,Native,Fish meal,Intensity,Hatchery,Habitat,Waste water,Ecological,MSI,Genetic escapees,Maric_sustainability
Ukraine,Mediterranean mussel,10,10,7,6,7,8,8,6.9,1.00,0.80
Ukraine,Mullets nei (br),5,10,5,5,5,5,5.8,5.6,0.50,0.67
Ukraine,Mullets nei,5,10,5,5,5,5,5.8,5.6,0.50,0.67
Ukraine,Silversides nei,10,5,5,6,5,6,6.2,6,1.00,0.57
Ukraine,So-iuy mullet,1,5,5,8,5,6,5,5.3,0.10,0.63
Ukraine,Sturgeons nei,5,5,5,6,5,7,5.5,5.6,0.50,0.60
United Kingdom,Atlantic cod,10,1,3,3,3,1,3.5,4.6,1.00,0.17
United Kingdom,Atlantic salmon,10,1,2,3,3,5,4,4.3,1.00,0.30
United Kingdom,Blue mussel,10,10,9,8,8,10,9.2,8.2,1.00,0.93
United Kingdom,Cupped oysters nei,5,10,7,6,8,10,7.7,6.9,0.50,0.87
United Kingdom,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
United Kingdom,European seabass,10,3,5,7,5,5,5.8,6,1.00,0.50
United Kingdom,Pacific cupped oyster,1,10,7,5,7,10,6.7,6.7,0.10,0.83
U.S. of America,Abalones nei,10,5,1,5,5,5,5.2,5.6,1.00,0.50
U.S. of America,Atlantic salmon,10,1,1,5,3,5,4.2,4.5,1.00,0.37
U.S. of America,Blue mussel,10,10,8,8,7,10,8.8,7.9,1.00,0.93
U.S. of America,Coho(=Silver)salmon,10,1,1,5,3,5,4.2,4.4,1.00,0.37
U.S. of America,Cupped oysters nei,5,10,7,10,8,10,8.3,7.2,0.50,1.00
U.S. of America,European flat oyster,1,10,7,5,7,10,6.7,6.5,0.10,0.83
U.S. of America,Flat oysters nei,5,10,7,7,7,9,7.5,7.4,0.50,0.87
U.S. of America,Pacific cupped oyster,1,10,7,7,7,10,7,7,0.10,0.90
U.S. of America,Whiteleg shrimp,1,3,1,5,5,5,3.3,4.7,0.10,0.43
Venezuela,Whiteleg shrimp,1,3,3,7,3,5,3.7,4.7,0.10,0.50
Viet Nam,Banana prawn,10,4,3,3,3,3,4.3,4.5,1.00,0.33
Viet Nam,Giant tiger prawn,10,1,1,1,1,1,2.5,3.5,1.00,0.10
Viet Nam,Gracilaria seaweeds,10,10,10,5,7,10,8.7,7.9,1.00,0.83
Viet Nam,Whiteleg shrimp,1,1,7,3,1,3,2.7,3.8,0.10,0.23
