FAO spp,Taxon_code,Added_2013
Bright green nori,AL,0
Japanese isinglass,AL,0
Red seaweeds,AL,0
Fragile codium,AL,0
Fusiform sargassum,AL,0
Green laver,AL,0
Sea belt,AL,0
Gelidium seaweeds,AL,0
Nori nei,AL,0
Seaweeds nei,AL,0
Caulerpa seaweeds,AL,0
Elkhorn sea moss,AL,0
[Spirulina maxima],AL,0
Harpoon seaweeds,AL,0
Wakame nei,AL,0
Zanzibar weed,AL,0
Aquatic plants nei,AL,0
Brown seaweeds,AL,0
Eucheuma seaweeds nei,AL,0
Gracilaria seaweeds,AL,0
Japanese kelp,AL,0
Laver (Nori),AL,0
Spiny eucheuma,AL,0
Wakame,AL,0
Warty gracilaria,AL,0
Elongate giant clam,BI,0
Gastropods nei,BI,0
Giant clam,BI,0
Northern quahog(=Hard clam),BI,0
Anadara clams nei,BI,0
Australian mussel,BI,0
Banded carpet shell,BI,0
Bear paw clam,BI,0
Blacklip abalone,BI,0
Blacklip pearl oyster,BI,0
Chilean mussel,BI,0
Cholga mussel,BI,0
Choro mussel,BI,0
Globose clam,BI,0
Golden carpet shell,BI,0
Horned turban,BI,0
Pacific horse clam,BI,0
Pacific lion's paw,BI,0
Pacific littleneck clam,BI,0
Penguin wing oyster,BI,0
Butter clam,BI,0
Chilean flat oyster,BI,0
"Clams, etc. nei",BI,0
Constricted tagelus,BI,0
Crocus giant clam,BI,0
Donax clams,BI,0
Great Atlantic scallop,BI,0
Hooded oyster,BI,0
Indian backwater oyster,BI,0
Inflated ark,BI,0
Japanese carpet shell,BI,0
Japanese hard clam,BI,0
Mangrove cupped oyster,BI,0
Olympia oyster,BI,0
Pacific geoduck,BI,0
Pearl oyster shells nei,BI,0
Pen shells nei,BI,0
Red abalone,BI,0
Rooster venus,BI,0
Sand gaper,BI,0
Slipper cupped oyster,BI,0
Smooth giant clam,BI,0
Solen razor clams nei,BI,0
Marine shells nei,BI,0
Queen scallop,BI,0
Sea snails,BI,0
Cockles nei,BI,0
Cortez oyster,BI,0
Fluted giant clam,BI,0
Horse mussels nei,BI,0
Japanese abalone,BI,0
Pacific calico scallop,BI,0
Peppery furrow,BI,0
Periwinkles nei,BI,0
South American rock mussel,BI,0
Southern Australia scallop,BI,0
Striped venus,BI,0
Stromboid conchs nei,BI,0
Sydney cupped oyster,BI,0
Tuberculate abalone,BI,0
Variegated scallop,BI,0
Venus clams nei,BI,0
Warty venus,BI,0
Yesso scallop,BI,0
Abalones nei,BI,0
American cupped oyster,BI,0
