Row Labels,Total,Matches to old spp table,notes,Alias,Action
[Boleophthalmus pectinirostris],62,1,Mudskipper (used in Chinese medicine),EXCLUDE,EXCLUDE
[Solea spp],62,0,Soles nei,Soles nei,RENAME
Barramundi(=Giant seaperch),1426,0,Barramundi,Barramundi,RENAME
Big-scale sand smelt,62,0,Atherina boyeri,Silversides(=Sand smelts) nei,RENAME
Black ark,62,0,blood cockle,blood cockle,USE VALUE FROM (alias)
Chinook(=Spring=King) salmon,310,0,Chinook(=Spring=King)salmon,Chinook(=Spring=King)salmon,RENAME
Chum(=Keta=Dog) salmon,62,0,Chum(=Keta=Dog)salmon,Chum(=Keta=Dog)salmon,RENAME
Coho(=Silver) salmon,310,0,Coho(=Silver)salmon,Coho(=Silver)salmon,RENAME
Diphos sanguin,124,0,Diphos sanguin,"Clams, etc. nei",USE VALUE FROM (alias)
Grand ark,62,0,Anadara grandis,Anadara clams nei,USE VALUE FROM (alias)
Japanese seabream,186,0,Pagrus major (Red seabream),Blackspot(=red) seabream,RENAME
Longfin yellowtail,62,0,"Pacific Yellowtail, or long-fin amberjack",Amberjacks nei,USE VALUE FROM (alias)
Mi-iuy (brown) croaker,62,0,"Croakers, drums nei","Croakers, drums nei",USE VALUE FROM (alias)
Nile perch,62,0,Lates niloticus,Snooks(=Robalos) nei,USE VALUE FROM (alias)
Orbicular batfish,62,1,Platax orbicularis (aquarium),EXCLUDE,EXCLUDE
Pod razor shell,62,0,Ensis siliqua,"Clams, etc. nei",USE VALUE FROM (alias)
Pompano,62,0,Florida pompano,Florida pompano,RENAME
Sand fish,124,0,Holothuria scabra,Sea cucumbers nei,USE VALUE FROM (alias)
Sockeye(=Red) salmon,62,0,Sockeye(=Red)salmon,Sockeye(=Red)salmon,RENAME
Speckled shrimp,62,0,Metapenaeus monoceros,Metapenaeus shrimps nei,USE VALUE FROM (alias)
Tiger pufferfish,124,0,,Puffers nei,USE VALUE FROM (alias)
