Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,Cyprinids nei,Asia - Inland waters,Freshwater,225,225,225,225,225,225,600,600,600,600,600,600,600,750,750,750,750,1000,1000,1000,1000,1014.6,1201.82,2702.07,2687.41,2688.99,2908.02,2876.06,2642.6
Afghanistan,Rainbow trout,Asia - Inland waters,Freshwater,60,60,60,60,60,60,...,...,...,...,...,...,...,...,...,...,...,200,200,200,200,211.38,250.38,750.58,746.5,746.94,807.78,798.9,734.05
Albania,Common carp,Europe - Inland waters,Freshwater,25,50,120,105,88.26,146.16,91.2,34.5,20.8,20.8,23.1,51,67.5,8,10.76,4.36,4.18,6.27,8.56,15.8,23.35,19.22,30.6,38.8,354.65,25.3,21.97,27.77,615.82
Albania,Crucian carp,Europe - Inland waters,Freshwater,25,25,30,12.5,1.78,9.1,7,3.2,1.7,3.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,European seabass,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,443.7,512.14,1105.87,996.03,910.49,1180.22,1178.93
Albania,Freshwater fishes nei,Europe - Inland waters,Freshwater,2.5,15,75,50,11.74,0.9,1,1.1,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Gilthead seabream,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.76,570.82,823,1556.72,1001.3,1509.6,2005.34,2260.27,2339.88,2699.68,2417.47,3184.5
Albania,Grass carp(=White amur),Europe - Inland waters,Freshwater,...,...,...,...,...,9.17,8.4,3,1.6,1.6,1.6,0,0,0,0,2.18,2.09,4.18,4.28,7.65,17.51,9.31,18.36,19.4,335.48,295.12,268.62,20.83,63.8
Albania,Kuruma prawn,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,133,71.7,58.88,16.71,117.08,...,...,...,...,...,30,70,80,80,...,...
Albania,Mediterranean mussel,Mediterranean and Black Sea,Brackishwater,588.9,586.3,1138.8,1175.2,1935.01,938.4,2221.5,397.2,182.65,191.8,190.45,195,175,72,80,145.38,139.28,73.17,149.84,707.78,544.85,861.12,971.04,1507.61,796.76,1054,1086.81,902.52,562.19
Albania,Mullets nei,Europe - Inland waters,Freshwater,...,...,4,4,4.27,1.16,2.4,1.3,1.35,1.35,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Rainbow trout,Europe - Inland waters,Freshwater,60,60,66,660,653.93,588.6,446.6,85.1,48,49,48,...,...,8,24.96,327.1,313.38,47.04,1123.79,1440.25,1532.4,1752.28,996.03,1102.44,1521.63,1581,1240.97,922.36,933.9
Albania,Roaches nei,Europe - Inland waters,Freshwater,...,...,...,...,...,5,3,2.2,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Silver carp,Europe - Inland waters,Freshwater,625,625,750,680,322.43,311.4,221,141.9,89.7,87.4,75.6,5.4,33.6,1.7,7.17,2.18,2.09,2.09,4.28,4.94,7.3,6.01,10.71,11.17,575.1,375.22,433.57,23.8,228.85
Albania,Wuchang bream,Europe - Inland waters,Freshwater,...,...,...,...,...,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Caramote prawn,Mediterranean and Black Sea,Brackishwater,0,12.94,14.47,28.89,25.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.8,...,...
Algeria,Common sole,Mediterranean and Black Sea,Brackishwater,0,0,0,0,0,0,4,4.11,0,4.2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.8,...,...
Algeria,Cyprinids nei,Africa - Inland waters,Freshwater,18,70.2,102.7,26,26.03,59.4,33.15,0,0,0,3.8,5.7,5.7,5.7,1.9,1.9,2,4,4,14,12,12,...,0,3780.53,1072.73,621.31,1210,2046.48
Algeria,European eel,Africa - Inland waters,Brackishwater,154,119,287,241.5,252,190.8,169.28,137.06,6.5,0,132,130,110.5,110.5,143,97.5,138,192,198,96,96,90,42,90,23.46,25.7,7.98,0,0.72
Algeria,European seabass,Mediterranean and Black Sea,Brackishwater,14.05,31.84,47.87,61.92,59.72,36.31,13.58,14.36,11.1,22.2,20,40,40,40,0,0,0,0,0,12,12,12,0,5,10.72,125.92,423.08,716.6,128.18
Algeria,Freshwater fishes nei,Africa - Inland waters,Brackishwater,0,0,0,14,0,0,32.5,5.52,0,37.5,5.6,8.1,8.1,8.1,0,0,0,0,0,2,2,2,80,46,648.16,578.67,473.93,402,412.37
Algeria,Gilthead seabream,Mediterranean and Black Sea,Brackishwater,7.03,0,0,0,0,0,8,4.14,0,4.2,4.5,0,0,0,33.6,75.6,104,128,136,4,4,4,0,0,24.43,226.27,570.33,960.96,1122.34
Algeria,Grass carp(=White amur),Africa - Inland waters,Freshwater,4.82,33.44,125.09,377.69,708.12,630,618.2,101.2,258.92,385.67,556,580.5,517,517,479.6,404.8,548.25,696.6,735.3,793.35,1178.2,711.65,432,632,800,800,600,800,800
Algeria,Grooved carpet shell,Mediterranean and Black Sea,Brackishwater,...,...,...,...,...,...,18.1,95,14.4,48,76.8,81.6,72,72,101.2,19.6,38.4,72,63,9,...,...,0,0,0,0,0,0,0
Algeria,Mediterranean mussel,Mediterranean and Black Sea,Brackishwater,24.09,23.88,34.04,36.12,14.33,7.5,51.47,88.25,46.74,69.42,26,32.5,26,26,0,26,32.5,41.6,44.2,44.2,20,20,32,88,16.04,16.4,12.55,20.06,12.82
Algeria,Mediterranean mussel,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,3.96,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Algeria,Mullets nei,Africa - Inland waters,Brackishwater,79.49,99.51,146.79,193.18,152.89,92.44,85.97,44.68,20,137.5,125,84,72.8,72.8,34.8,52.2,75,96,102,3,3,3,27,18,103.42,58.88,7.12,8.8,18.22
Algeria,Pacific cupped oyster,Mediterranean and Black Sea,Brackishwater,40.14,39.8,45.74,55.73,5.12,3.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.1,0.27,0,0
Algeria,Pike-perch,Africa - Inland waters,Freshwater,...,0,5.32,5.16,8.53,10,10,10.48,5.2,13,5.4,8.1,8.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Tilapias nei,Africa - Inland waters,Brackishwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1187.17,863.3,516.28,63.22,34.34
Angola,Tilapias nei,Africa - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12.5,25,125,175,225,300,375,450,450,625,750,1000,1100
Angola,Torpedo-shaped catfishes nei,Africa - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,3,6,6,18,18,30,30,30,30,30,30
Argentina,[Leporinus obtusidens],"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.55,6.82
Argentina,American bull frog,"America, South - Inland waters",Freshwater,0,0,0,0,0,0,0,0,0,1250,1250,1250,920,660,420,240,1200,540,130,50,16,195,182,143,169,139.26,262.5,321.2,208.06
Argentina,Beluga,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,61.81
Argentina,Blue mussel,"Atlantic, Southwest",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12,24.9,18.9,35,8.4,9.1,52.7,42.5,388,543.33,206.63
Argentina,Cyprinids nei,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,91.2,836.2,334.8,317.75,403.56,404.08,171.59
Argentina,Danube sturgeon(=Osetr),"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,73.03,248.35
Argentina,Dorado,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,9.1,3.6,6.03
Argentina,Freshwater fishes nei,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.41,5.04,...,...
Argentina,Giant river prawn,"America, South - Inland waters",Freshwater,0,0,0,0,0,0,0,0,24,84,143,204,200,220,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0
Argentina,Grass carp(=White amur),"America, South - Inland waters",Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,44,4.4,44.5,50,50,...,...,...,162.37,170.8
Argentina,Pacific cupped oyster,"Atlantic, Southwest",Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,45,102,50,84.24,228,220,240,146,93.45,25,233.69,44.15
Argentina,Pacu,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1365,3850,1350,1215,810,877.5,1935,3500,4592,4350,4437.5,4382,5973.75,7424.49
Argentina,Rainbow trout,"America, South - Inland waters",Freshwater,150,250,250,385,525,450,750,1400,1868,3250,3500,7766,7452,7452,6000,4686,4760,5747.5,6030,6155,8897.6,8840,12496,10619.1,7152,5667.54,9293.44,6644.15,8903.61
Argentina,Red claw crayfish,"America, South - Inland waters",Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,100,100,240,465,480,450,180,10,5.3,90,92,161,138,7.29,...,...,...
Argentina,River Plata mussel,"Atlantic, Southwest",Marine,...,10,10,1.65,1.8,0,0,0,0,0,0,0,0,0,0,6,40,30,...,...,28.98,46,20,21,85,64.6,399.64,543.33,51.66
Argentina,Siberian sturgeon,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.91,66.23
Argentina,Sorubims nei,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,198.89,8.13,287.05
Argentina,South American catfish,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,9,6.04,4.21
Argentina,Streaked prochilod,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,20.48,5.4,9.57
Argentina,Tilapias nei,"America, South - Inland waters",Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,65,65,...,...,30,...,6,8.5,17.6,48,70,70.5,48.1,56.4,83.38,136.73,149.64
Armenia,Common carp,Asia - Inland waters,Freshwater,...,...,...,...,7955.2,8005.8,8756,4732.8,4850,3877.5,2470,1347.5,782.6,754,272.7,850,930,1277.5,762.5,640,540,500,750,1075,1875,1625,1700,2850,5010
Armenia,Crucian carp,Asia - Inland waters,Freshwater,...,...,...,...,...,...,...,...,12.5,92.5,195,120,7.8,41.6,13.5,117,80.6,111.8,106.6,122.2,117,104,137.8,130,130,130,130,130,36.4
Armenia,Cyprinids nei,Asia - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,500,500,500,500,500,500
Armenia,Freshwater crustaceans nei,Asia - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,60,9,9,9,36,63,60,60,60,90
Armenia,Freshwater fishes nei,Asia - Inland waters,Freshwater,...,...,...,...,...,...,...,...,13,28.6,108,93.75,5.2,26,5.2,0,0,0,0,0,0,0,0,482.5,632.5,400,250,525,700
Armenia,Silver carp,Asia - Inland waters,Freshwater,...,...,...,...,1556.1,1238.6,1460.8,650.4,675,725,572,270,119.6,101.4,51.3,153.4,132.6,780,817.5,955,572.5,500,750,1150,750,750,750,750,750
Armenia,Sturgeons nei,Asia - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1200,2760,3300,4980,9816
Armenia,Trouts nei,Asia - Inland waters,Freshwater,...,...,...,...,674.8,1085.4,1115.1,1142.6,1020,1050,822.5,1260,1080.4,1113.25,1124.2,1557.5,1536.5,1581,1179.8,1220.6,1088,1006.4,1360,7837,11308.4,11560,10540,15200,19200
Aruba,Tilapias nei,"Atlantic, Western Central",Brackishwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,...
Australia,Aquatic invertebrates nei,"Indian Ocean, Eastern",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22205.46,37321.07,26804.67,19780.17,34776.28,24062.33
Australia,Atlantic salmon,Oceania - Inland waters,Freshwater,...,...,...,104.08,0,0,0,28.05,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Atlantic salmon,"Pacific, Southwest",Marine,...,...,134.17,612.9,2634.98,19416.98,19141.6,24775.38,29106,33320,35136,41350.18,53888.41,43535.21,40043.06,46162.9,49415.82,51331.85,60982.27,75939.64,102062.86,110484.57,172712.81,241989.34,257362.73,256816.27,338177.44,419850.44,528583.4
Australia,Australian mussel,"Indian Ocean, Eastern",Marine,55.41,172.68,299.88,322.75,1115.16,1196.09,1253.03,904.92,1232.37,1114.18,1988.04,1909.17,2130.54,2137.29,2574.45,3583.12,3065.68,3166.35,3853.02,4906.39,5226.48,5825.81,6702.79,7263.28,7399.85,7009.35,9294.29,9596,9620.03
Australia,Barramundi(=Giant seaperch),Oceania - Inland waters,Freshwater,...,...,10.73,5.61,68.7,82.42,182.82,437.95,363.82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Barramundi(=Giant seaperch),"Pacific, Western Central",Brackishwater,...,...,...,...,183.19,103.03,152.35,437.95,808.5,1489.2,2238.16,1971.79,4666.68,3779.59,4324.6,5046.08,4882.62,4365.89,5397.94,10483.86,9888.92,11876.95,14028.67,20062.46,29085.82,25054.3,29449.71,36882.57,42530.44
Australia,Blacklip abalone,"Indian Ocean, Eastern",Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,552.35,1164.69,1504.71,1389.11,2795.24,6148.6,10048.09,13265.59,14652.77,14470.18,18244.31,14197.17,16916.82,19878.72
Australia,Brine shrimp,"Pacific, Southwest",Brackishwater,...,...,...,...,...,...,...,257.1,294,272,261.47,265.04,319.46,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...
