Taxon group,Taxon_code,Avg Truj scores
fish,F,0.444010417
shrimp & prawn,SH,0.366666667
bivalve & gastropod,BI,0.811764706
algae,AL,0.873333333
Cephalopod,CEPH,0.566666667
Crustaceans,CRUST,0.416666667
Molluscs,MOLL,0.533333333
tunicate,TUN,0.6
Urchin,URCH,0.5
Inverts,INV,0.542156863
Non-shrimp invert,NS-INV,0.571405229
All others,OTHER,0.568049088
