country,species_fao,fao_area,environment,species_Truj,taxon,match_type,gapfill,label_fao,label_Trujillo,Maric_sustainability,Genetic escapees,used to be
Indonesia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Indonesia_Giant tiger prawn,Indonesia_Giant tiger prawn,0.17,1,"Indian Ocean, Eastern"
Morocco,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Morocco_Pacific cupped oyster,Morocco_Pacific cupped oyster,0.83,0.1,Mediterranean and Black Sea
Taiwan Province of China,Groupers nei,,Brackishwater,Groupers nei,,c_sp,actuals,Taiwan Province of China_Groupers nei,Taiwan Province of China_Groupers nei,0.33,0.9,Brackishwater
Argentina,Blue mussel,,,Blue mussel,,c_sp,actuals,Argentina_Blue mussel,Argentina_Blue mussel,0.83,1,
Argentina,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Argentina_Pacific cupped oyster,Argentina_Pacific cupped oyster,0.9,0.3,
Argentina,River Plata mussel,,,River Plata mussel,,c_sp,actuals,Argentina_River Plata mussel,Argentina_River Plata mussel,0.83,0.7,
Australia,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Australia_Atlantic salmon,Australia_Atlantic salmon,0.23,0.1,
Australia,Barramundi,,,Barramundi,,c_sp,actuals,Australia_Barramundi,Australia_Barramundi,0.3,0.5,
Australia,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,Australia_Cupped oysters nei,Australia_Cupped oysters nei,0.9,0.5,
Australia,Flat oysters nei,,,Flat oysters nei,,c_sp,actuals,Australia_Flat oysters nei,Australia_Flat oysters nei,0.87,0.5,
Australia,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,Australia_Giant tiger prawn,Australia_Giant tiger prawn,0.23,1,
Australia,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,Australia_Kuruma prawn,Australia_Kuruma prawn,0.33,1,
Australia,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Australia_Pacific cupped oyster,Australia_Pacific cupped oyster,1,0.1,
Australia,Southern bluefin tuna,,,Southern bluefin tuna,,c_sp,actuals,Australia_Southern bluefin tuna,Australia_Southern bluefin tuna,0.1,1,
Bangladesh,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Bangladesh_Penaeus shrimps nei,Bangladesh_Penaeus shrimps nei,0.23,0.5,
Belize,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Belize_Whiteleg shrimp,Belize_Whiteleg shrimp,0.37,0.1,
Brazil,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,Brazil_Cupped oysters nei,Brazil_Cupped oysters nei,0.9,0.7,
Brazil,Groupers nei,,,Groupers nei,,c_sp,actuals,Brazil_Groupers nei,Brazil_Groupers nei,0.33,0.9,
Brazil,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Brazil_Whiteleg shrimp,Brazil_Whiteleg shrimp,0.3,0.1,
Cambodia,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Cambodia_Penaeus shrimps nei,Cambodia_Penaeus shrimps nei,0.23,0.5,
Canada,Atlantic bluefin tuna,,,Atlantic bluefin tuna,,c_sp,actuals,Canada_Atlantic bluefin tuna,Canada_Atlantic bluefin tuna,0.4,1,
Canada,Atlantic cod,,,Atlantic cod,,c_sp,actuals,Canada_Atlantic cod,Canada_Atlantic cod,0.23,1,
Canada,Blue mussel,,,Blue mussel,,c_sp,actuals,Canada_Blue mussel,Canada_Blue mussel,0.93,1,
Canada,Coho(=Silver)salmon,,,Coho(=Silver)salmon,,c_sp,actuals,Canada_Coho(=Silver)salmon,Canada_Coho(=Silver)salmon,0.33,1,
Canada,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Canada_Pacific cupped oyster,Canada_Pacific cupped oyster,0.83,0.1,
Chile,Abalones nei,,,Abalones nei,,c_sp,actuals,Chile_Abalones nei,Chile_Abalones nei,0.67,0.1,
Chile,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Chile_Atlantic salmon,Chile_Atlantic salmon,0.13,0.1,
Chile,Coho(=Silver)salmon,,,Coho(=Silver)salmon,,c_sp,actuals,Chile_Coho(=Silver)salmon,Chile_Coho(=Silver)salmon,0.27,0.1,
Chile,Gracilaria seaweeds,,,Gracilaria seaweeds,,c_sp,actuals,Chile_Gracilaria seaweeds,Chile_Gracilaria seaweeds,0.9,1,
Chile,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Chile_Pacific cupped oyster,Chile_Pacific cupped oyster,0.53,0.1,
China,Blood cockle,,,Blood cockle,,c_sp,actuals,China_Blood cockle,China_Blood cockle,0.67,1,
China,Groupers nei,,,Groupers nei,,c_sp,actuals,China_Groupers nei,China_Groupers nei,0.33,0.9,
China,Laver (Nori),,,Laver (Nori),,c_sp,actuals,China_Laver (Nori),China_Laver (Nori),0.67,1,
China,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,China_Pacific cupped oyster,China_Pacific cupped oyster,0.53,0.1,
China,Red drum,,,Red drum,,c_sp,actuals,China_Red drum,China_Red drum,0.37,0.1,
China,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,China_Whiteleg shrimp,China_Whiteleg shrimp,0.37,0.1,
Colombia,Cupped oysters nei,,,Cupped oysters nei,,c_sp,actuals,Colombia_Cupped oysters nei,Colombia_Cupped oysters nei,0.9,0.5,
Costa Rica,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Costa Rica_Whiteleg shrimp,Costa Rica_Whiteleg shrimp,0.43,1,
Denmark,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Denmark_Atlantic salmon,Denmark_Atlantic salmon,0.5,1,
Denmark,Blue mussel,,,Blue mussel,,c_sp,actuals,Denmark_Blue mussel,Denmark_Blue mussel,0.93,1,
Denmark,European eel,,,European eel,,c_sp,actuals,Denmark_European eel,Denmark_European eel,0.43,1,
Ecuador,Red drum,,,Red drum,,c_sp,actuals,Ecuador_Red drum,Ecuador_Red drum,0.37,0.1,
Ecuador,Whiteleg shrimp,,,Whiteleg shrimp,,c_sp,actuals,Ecuador_Whiteleg shrimp,Ecuador_Whiteleg shrimp,0.37,1,
Egypt,European seabass,,,European seabass,,c_sp,actuals,Egypt_European seabass,Egypt_European seabass,0.43,1,
Egypt,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,Egypt_Flathead grey mullet,Egypt_Flathead grey mullet,0.43,1,
Egypt,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,Egypt_Gilthead seabream,Egypt_Gilthead seabream,0.23,0.1,
Egypt,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Egypt_Penaeus shrimps nei,Egypt_Penaeus shrimps nei,0.3,0.5,
Faroe Islands,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Faroe Islands_Atlantic salmon,Faroe Islands_Atlantic salmon,0.43,1,
Finland,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Finland_Atlantic salmon,Finland_Atlantic salmon,0.5,1,
France,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,France_Atlantic salmon,France_Atlantic salmon,0.37,1,
France,Blue mussel,,,Blue mussel,,c_sp,actuals,France_Blue mussel,France_Blue mussel,0.93,1,
France,Coho(=Silver)salmon,,,Coho(=Silver)salmon,,c_sp,actuals,France_Coho(=Silver)salmon,France_Coho(=Silver)salmon,0.37,0.1,
France,European eel,,,European eel,,c_sp,actuals,France_European eel,France_European eel,0.43,1,
France,European flat oyster,,,European flat oyster,,c_sp,actuals,France_European flat oyster,France_European flat oyster,0.83,1,
France,European seabass,,,European seabass,,c_sp,actuals,France_European seabass,France_European seabass,0.5,1,
France,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,France_Gilthead seabream,France_Gilthead seabream,0.23,1,
France,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,France_Kuruma prawn,France_Kuruma prawn,0.43,0.1,
France,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,France_Pacific cupped oyster,France_Pacific cupped oyster,0.53,0.1,
Germany,Blue mussel,,,Blue mussel,,c_sp,actuals,Germany_Blue mussel,Germany_Blue mussel,0.93,1,
Germany,European seabass,,,European seabass,,c_sp,actuals,Germany_European seabass,Germany_European seabass,0.57,1,
Germany,Pacific cupped oyster,,,Pacific cupped oyster,,c_sp,actuals,Germany_Pacific cupped oyster,Germany_Pacific cupped oyster,0.53,0.1,
Greece,European eel,,,European eel,,c_sp,actuals,Greece_European eel,Greece_European eel,0.43,1,
Greece,European flat oyster,,,European flat oyster,,c_sp,actuals,Greece_European flat oyster,Greece_European flat oyster,0.83,1,
Greece,European seabass,,,European seabass,,c_sp,actuals,Greece_European seabass,Greece_European seabass,0.3,1,
Greece,Flathead grey mullet,,,Flathead grey mullet,,c_sp,actuals,Greece_Flathead grey mullet,Greece_Flathead grey mullet,0.37,1,
Greece,Gilthead seabream,,,Gilthead seabream,,c_sp,actuals,Greece_Gilthead seabream,Greece_Gilthead seabream,0.17,1,
Greece,Kuruma prawn,,,Kuruma prawn,,c_sp,actuals,Greece_Kuruma prawn,Greece_Kuruma prawn,0.43,0.1,
Guatemala,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Guatemala_Penaeus shrimps nei,Guatemala_Penaeus shrimps nei,0.17,0.5,
Honduras,Penaeus shrimps nei,,,Penaeus shrimps nei,,c_sp,actuals,Honduras_Penaeus shrimps nei,Honduras_Penaeus shrimps nei,0.27,0.5,
Iceland,Abalones nei,,,Abalones nei,,c_sp,actuals,Iceland_Abalones nei,Iceland_Abalones nei,0.63,0.3,
Iceland,Arctic char,,,Arctic char,,c_sp,actuals,Iceland_Arctic char,Iceland_Arctic char,0.53,1,
Iceland,Atlantic cod,,,Atlantic cod,,c_sp,actuals,Iceland_Atlantic cod,Iceland_Atlantic cod,0.57,1,
Iceland,Atlantic halibut,,,Atlantic halibut,,c_sp,actuals,Iceland_Atlantic halibut,Iceland_Atlantic halibut,0.53,1,
Iceland,Atlantic salmon,,,Atlantic salmon,,c_sp,actuals,Iceland_Atlantic salmon,Iceland_Atlantic salmon,0.6,0.1,
Iceland,Atlantic wolffish,,,Atlantic wolffish,,c_sp,actuals,Iceland_Atlantic wolffish,Iceland_Atlantic wolffish,0.53,1,
Iceland,Blue mussel,,,Blue mussel,,c_sp,actuals,Iceland_Blue mussel,Iceland_Blue mussel,0.93,0.7,
Iceland,European seabass,,,European seabass,,c_sp,actuals,Iceland_European seabass,Iceland_European seabass,0.65,0.5,
Iceland,Haddock,,,Haddock,,c_sp,actuals,Iceland_Haddock,Iceland_Haddock,0.53,1,
Iceland,Rainbow trout,,,Trouts nei,,c_sp,actuals,Iceland_Rainbow trout,Iceland_Rainbow trout,0.6,1,
Iceland,Spotted wolffish,,,Spotted wolffish,,c_sp,actuals,Iceland_Spotted wolffish,Iceland_Spotted wolffish,0.53,1,
Iceland,Turbot,,,Turbot,,c_sp,actuals,Iceland_Turbot,Iceland_Turbot,0.53,1,
India,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,India_Giant tiger prawn,India_Giant tiger prawn,0.17,1,
India,Giant tiger prawn,,,Giant tiger prawn,,c_sp,actuals,India_Giant tiger prawn,India_Giant tiger prawn,0.17,1,
