PlumeData,quantile_9999_ln
global_plumes_fert_2007_raw.tif,5.541709819
global_plumes_fert_2008_raw.tif,5.502859766
global_plumes_fert_2009_raw.tif,5.429028998
global_plumes_fert_2010_raw.tif,5.548017922
global_plumes_fert_2011_raw.tif,5.594088355
global_plumes_fert_2012_raw.tif,5.554659619
global_plumes_pest_2007_raw.tif,1.83509139
global_plumes_pest_2008_raw.tif,1.841525947
global_plumes_pest_2009_raw.tif,1.810658217
global_plumes_pest_2010_raw.tif,1.795095705
global_plumes_pest_2011_raw.tif,1.818398699
global_plumes_pest_2012_raw.tif,1.917887007
