"ID","Region"
1,"Indo-pacific"
2,"S. Australia"
3,"Indo-pacific"
4,"Indo-pacific"
5,"Indo-pacific"
6,"Indo-pacific"
7,"Indo-pacific"
8,"Indo-pacific"
9,"Indo-pacific"
10,"W. Pacific"
11,"Indo-pacific"
12,"S. Australia"
13,"Indo-pacific"
14,"Indo-pacific"
15,"Indo-pacific"
16,"W. Pacific"
17,"W. Pacific"
18,"W. Pacific"
19,"Indo-pacific"
20,"Indo-pacific"
21,"Indo-pacific"
22,"Indo-pacific"
23,"Indo-pacific"
24,"Indo-pacific"
25,"Indo-pacific"
26,"Indo-pacific"
27,"S. Atlantic"
28,"Indo-pacific"
29,"Indo-pacific"
30,"Indo-pacific"
31,"Indo-pacific"
32,"Indo-pacific"
33,"Indo-pacific"
34,"Indo-pacific"
35,"Indo-pacific"
36,"Indo-pacific"
37,"Indo-pacific"
38,"Indo-pacific"
39,"Indo-pacific"
40,"Indo-pacific"
41,"N. Atlantic"
42,"N. Atlantic"
43,"Mediterranean"
44,"Mediterranean"
45,"N. Atlantic"
46,"N. Atlantic"
47,"N. Atlantic"
48,"N. Atlantic"
49,"N. Atlantic"
50,"Mediterranean"
51,"Mediterranean"
52,"N. Atlantic"
53,"N. Atlantic"
54,"Mediterranean"
55,"Mediterranean"
56,"W. Pacific"
57,"Mediterranean"
58,"Mediterranean"
59,"Mediterranean"
60,"Mediterranean"
61,"Mediterranean"
62,"Mediterranean"
63,"Mediterranean"
64,"Mediterranean"
65,"Mediterranean"
66,"Mediterranean"
69,"N. Atlantic"
70,"N. Atlantic"
71,"S. Atlantic"
72,"S. Atlantic"
73,"S. Atlantic"
74,"S. Atlantic"
75,"S. Atlantic"
76,"S. Atlantic"
77,"S. Atlantic"
78,"S. Atlantic"
79,"E. Pacific"
80,"Caribbean"
81,"Caribbean"
82,"Caribbean"
83,"Caribbean"
84,"Caribbean"
85,"Caribbean"
86,"Caribbean"
87,"Caribbean"
88,"Caribbean"
89,"Caribbean"
90,"Caribbean"
91,"Caribbean"
92,"Caribbean"
93,"Caribbean"
94,"Caribbean"
95,"Caribbean"
96,"Caribbean"
97,"Caribbean"
98,"Caribbean"
99,"Caribbean"
100,"Caribbean"
101,"E. Pacific"
102,"Caribbean"
103,"E. Pacific"
104,"E. Pacific"
105,"Caribbean"
106,"Caribbean"
107,"N. Atlantic"
108,"Indo-pacific"
109,"Indo-pacific"
110,"Indo-pacific"
111,"Indo-pacific"
112,"Indo-pacific"
113,"Indo-pacific"
114,"Indo-pacific"
115,"New Zealand"
116,"E. Pacific"
116,"Caribbean"
116,"N. Atlantic"
117,"Caribbean"
118,"Caribbean"
119,"Caribbean"
120,"Caribbean"
121,"Caribbean"
122,"S. Atlantic"
123,"S. Atlantic"
124,"S. Atlantic"
125,"N. Atlantic"
126,"N. Atlantic"
127,"N. Atlantic"
128,"N. Atlantic"
129,"N. Atlantic"
130,"N. Atlantic"
130,"Mediterranean"
131,"N. Atlantic"
132,"N. Atlantic"
133,"Mediterranean"
134,"N. Atlantic"
135,"Mediterranean"
136,"Mediterranean"
137,"Mediterranean"
138,"Mediterranean"
139,"Mediterranean"
140,"N. Atlantic"
141,"Indo-pacific"
142,"Indo-pacific"
143,"Indo-pacific"
144,"N. Atlantic"
145,"N. Atlantic"
146,"S. Atlantic"
147,"S. Atlantic"
148,"S. Atlantic"
149,"S. Atlantic"
150,"S. Atlantic"
151,"S. Atlantic"
152,"Indo-pacific"
153,"Indo-pacific"
154,"Indo-pacific"
155,"Indo-pacific"
156,"Indo-pacific"
157,"W. Pacific"
158,"Indo-pacific"
159,"W. Pacific"
160,"W. Pacific"
161,"Indo-pacific"
163,"Mediterranean"
164,"Indo-pacific"
165,"Indo-pacific"
166,"E. Pacific"
167,"N. Atlantic"
168,"N. Atlantic"
169,"N. Atlantic"
170,"E. Pacific"
171,"Indo-pacific"
172,"Mediterranean"
174,"W. Pacific"
176,"N. Atlantic"
179,"Indo-pacific"
180,"W. Pacific"
182,"S. Australia"
