"rgn_id","rgn_nam","tonnes","year"
5,"New Caledonia",3870,2002
5,"New Caledonia",7820,2003
5,"New Caledonia",3388,2004
5,"New Caledonia",4181,2005
5,"New Caledonia",3607,2006
5,"New Caledonia",4088,2007
5,"New Caledonia",2352,2008
5,"New Caledonia",2158,2009
5,"New Caledonia",2782,2010
5,"New Caledonia",0,2011
11,"Marshall Islands",4,2002
11,"Marshall Islands",4,2003
11,"Marshall Islands",5,2004
11,"Marshall Islands",5,2005
11,"Marshall Islands",0,2006
11,"Marshall Islands",0,2007
11,"Marshall Islands",0,2008
11,"Marshall Islands",0,2009
11,"Marshall Islands",0,2010
11,"Marshall Islands",0,2011
14,"China, Taiwan Province of",0,2002
14,"China, Taiwan Province of",0,2003
14,"China, Taiwan Province of",0,2004
14,"China, Taiwan Province of",0,2005
14,"China, Taiwan Province of",460563,2006
14,"China, Taiwan Province of",455714,2007
14,"China, Taiwan Province of",378745,2008
14,"China, Taiwan Province of",379068,2009
14,"China, Taiwan Province of",1171021,2010
14,"China, Taiwan Province of",0,2011
15,"Philippines",946571,2002
15,"Philippines",1545357,2003
15,"Philippines",2269167,2004
15,"Philippines",2377571,2005
15,"Philippines",1582118,2006
15,"Philippines",1929225,2007
15,"Philippines",1526573,2008
15,"Philippines",1623160,2009
15,"Philippines",1952415,2010
15,"Philippines",0,2011
16,"Australia",3150982,2002
16,"Australia",3349354,2003
16,"Australia",4133043,2004
16,"Australia",3646021,2005
16,"Australia",0,2006
16,"Australia",0,2007
16,"Australia",0,2008
16,"Australia",465894,2009
16,"Australia",2817107,2010
16,"Australia",0,2011
17,"Papua New Guinea",16748,2002
17,"Papua New Guinea",22497,2003
17,"Papua New Guinea",49590,2004
17,"Papua New Guinea",42956,2005
17,"Papua New Guinea",36988,2006
17,"Papua New Guinea",10996,2007
17,"Papua New Guinea",10628,2008
17,"Papua New Guinea",2624,2009
17,"Papua New Guinea",10982,2010
17,"Papua New Guinea",0,2011
18,"Fiji",40544,2002
18,"Fiji",14106,2003
18,"Fiji",34874,2004
18,"Fiji",19428,2005
18,"Fiji",19198,2006
18,"Fiji",49,2007
18,"Fiji",31569,2008
18,"Fiji",3157,2009
18,"Fiji",10673,2010
18,"Fiji",0,2011
20,"Republic of Korea",0,2002
20,"Republic of Korea",1742780,2003
20,"Republic of Korea",1948613,2004
20,"Republic of Korea",2365257,2005
20,"Republic of Korea",1717272,2006
20,"Republic of Korea",1823672,2007
20,"Republic of Korea",1662718,2008
20,"Republic of Korea",212331,2009
20,"Republic of Korea",185600,2010
20,"Republic of Korea",0,2011
24,"Cambodia",41435,2002
24,"Cambodia",28540,2003
24,"Cambodia",39806,2004
24,"Cambodia",153575,2005
24,"Cambodia",167837,2006
24,"Cambodia",54979,2007
24,"Cambodia",0,2008
24,"Cambodia",72100,2009
24,"Cambodia",88330,2010
24,"Cambodia",0,2011
25,"Thailand",0,2002
25,"Thailand",4581016,2003
25,"Thailand",3770147,2004
25,"Thailand",3210688,2005
25,"Thailand",3171510,2006
25,"Thailand",3569054,2007
25,"Thailand",3855564,2008
25,"Thailand",3740912,2009
25,"Thailand",5213994,2010
25,"Thailand",0,2011
31,"Seychelles",0,2002
31,"Seychelles",0,2003
31,"Seychelles",24,2004
31,"Seychelles",80,2005
31,"Seychelles",35,2006
31,"Seychelles",120,2007
31,"Seychelles",40,2008
31,"Seychelles",120,2009
31,"Seychelles",62,2010
31,"Seychelles",0,2011
37,"Mauritius",0,2002
37,"Mauritius",0,2003
37,"Mauritius",266,2004
37,"Mauritius",100,2005
