ccamlr_id2,ccamlr_id,sp_id,sp_name,inland_1km2
48.1,481,248100,CCAMLR 48.1,7570.493636
48.2,482,248200,CCAMLR 48.2,165.5117963
48.3,483,248300,CCAMLR 48.3,0
48.4,484,248400,CCAMLR 48.4,0
48.5,485,248500,CCAMLR 48.5,8952.705865
48.6,486,248600,CCAMLR 48.6,3921.359651
58.4.1,5841,258410,CCAMLR 58.4.1,5331.531678
58.4.2,5842,258420,CCAMLR 58.4.2,5046.263257
58.4.3.a,58431,258431,CCAMLR 58.4.3.a,0
58.4.3.b,58432,258432,CCAMLR 58.4.3.b,0
58.4.4.a,58441,258441,CCAMLR 58.4.4.a,0
58.4.4.b,58442,258442,CCAMLR 58.4.4.b,0
58.5.1,5851,258510,CCAMLR 58.5.1,0
58.5.2,5852,258520,CCAMLR 58.5.2,0
58.6,586,258600,CCAMLR 58.6,0
58.7,587,258700,CCAMLR 58.7,0
88.1,881,288100,CCAMLR 88.1,5404.42623
88.2,882,288200,CCAMLR 88.2,7276.040772
88.3,883,288300,CCAMLR 88.3,7154.049705
