"rgn_name","rgn_id","habitat","trend"
"Saint Kitts and Nevis",119,"mangrove",-0.142857
"Myanmar",205,"mangrove",-0.05243
"Malaysia",206,"mangrove",-0.030909
"Guatemala",136,"mangrove",-0.03028
"Curacao",244,"mangrove",-0.029412
"Cambodia",24,"mangrove",-0.027651
"Grenada",125,"mangrove",-0.013514
"Trinidad and Tobago",126,"mangrove",-0.013498
"Angola",200,"mangrove",-0.012708
"Honduras",133,"mangrove",-0.012617
"Taiwan",14,"mangrove",-0.012195
"Thailand",25,"mangrove",-0.012164
"Indonesia",216,"mangrove",-0.01179
"Ghana",106,"mangrove",-0.011555
"China",209,"mangrove",-0.011137
"United States",163,"mangrove",-0.009556
"Ivory Coast",195,"mangrove",-0.009413
"Democratic Republic of the Congo",199,"mangrove",-0.009317
"India",203,"mangrove",-0.008249
"Republique du Congo",100,"mangrove",-0.008234
"Mayotte",29,"mangrove",-0.008004
"Guadeloupe and Martinique",140,"mangrove",-0.008004
"French Guiana",169,"mangrove",-0.008004
"Eritrea",45,"mangrove",-0.007813
"Suriname",168,"mangrove",-0.007789
"Philippines",15,"mangrove",-0.006564
"Micronesia",9,"mangrove",-0.006475
"Sri Lanka",40,"mangrove",-0.006177
"New Zealand",162,"mangrove",-0.005651
"Vietnam",207,"mangrove",-0.005642
"Belize",164,"mangrove",-0.005591
"East Timor",231,"mangrove",-0.005294
"Cameroon",197,"mangrove",-0.004465
"Mexico",135,"mangrove",-0.004436
"Brunei",247,"mangrove",-0.004145
"Equatorial Guinea",104,"mangrove",-0.004013
"Jamaica",166,"mangrove",-0.003741
"Cayman Islands",113,"mangrove",-0.003439
"Cuba",112,"mangrove",-0.003205
"South Africa",102,"mangrove",-0.002821
"Solomon Islands",7,"mangrove",-0.002514
"Brazil",171,"mangrove",-0.002321
"Liberia",97,"mangrove",-0.00223
"Benin",99,"mangrove",-0.002149
"Tanzania",202,"mangrove",-0.002117
"New Caledonia",5,"mangrove",-0.002037
"Gabon",198,"mangrove",-0.001998
"Papua New Guinea",17,"mangrove",-0.001991
"El Salvador",134,"mangrove",-0.001987
"Costa Rica",130,"mangrove",-0.001981
"Japan",210,"mangrove",-0.001906
"Australia",16,"mangrove",-0.001796
"Peru",138,"mangrove",-0.001742
"Nicaragua",131,"mangrove",-0.001741
"Guyana",167,"mangrove",-0.001676
"Venezuela",139,"mangrove",-0.001589
"Dominican Republic",115,"mangrove",-0.001536
"Madagascar",42,"mangrove",-0.001428
"Haiti",114,"mangrove",-0.001298
"Mozambique",41,"mangrove",-0.001294
"Panama",129,"mangrove",-0.001143
"Fiji",18,"mangrove",-0.000935
"Ecuador",137,"mangrove",-0.000918
"Colombia",132,"mangrove",-0.000867
"Bahamas",110,"mangrove",-0.000678
"Palau",8,"mangrove",-0.000626
"Kenya",43,"mangrove",-0.000586
"Nigeria",196,"mangrove",-0.000548
"Guinea",194,"mangrove",-0.000524
"Puerto Rico and Virgin Islands of the United States",116,"mangrove",-0.000318
"Guinea Bissau",193,"mangrove",-0.000295
"Sierra Leone",96,"mangrove",-0.000267
"Senegal",66,"mangrove",-0.000161
"Bangladesh",204,"mangrove",-0.000118
"Vanuatu",6,"mangrove",0
"Comoro Islands",28,"mangrove",0
"Seychelles",31,"mangrove",0
"Maldives",39,"mangrove",0
"Somalia",44,"mangrove",0
"Djibouti",46,"mangrove",0
"Yemen",47,"mangrove",0
"Oman",48,"mangrove",0
"Sudan",49,"mangrove",0
"Saudi Arabia",50,"mangrove",0
"Pakistan",53,"mangrove",0
"United Arab Emirates",54,"mangrove",0
"Morocco",62,"mangrove",0
"Mauritania",64,"mangrove",0
"Gambia",65,"mangrove",0
"Togo",98,"mangrove",0
"Bermuda",108,"mangrove",0
"Turks and Caicos Islands",111,"mangrove",0
"British Virgin Islands",117,"mangrove",0
"Anguilla",118,"mangrove",0
"Antigua and Barbuda",120,"mangrove",0
"Saint Lucia",122,"mangrove",0
"Barbados",124,"mangrove",0
"Saint Vincent and the Grenadines",127,"mangrove",0
"Qatar",190,"mangrove",0
"Iran",191,"mangrove",0
"Singapore",208,"mangrove",0
"Egypt",214,"mangrove",0
"Northern Saint-Martin",221,"mangrove",0
"Bonaire",245,"mangrove",0
"Aruba",250,"mangrove",0
