"rgn_id","rgn_nam","y_s"
5,"New Caledonia",1999
6,"Vanuatu",1989
7,"Solomon Islands",2007
8,"Palau",2004
15,"Philippines",1981
16,"Australia",1976
17,"Papua New Guinea",1975
18,"Fiji",1997
20,"Republic of Korea",1993
24,"Cambodia",1997
25,"Thailand",1983
28,"Comoros",1994
31,"Seychelles",1977
37,"Mauritius",1975
39,"Maldives",2012
40,"Sri Lanka",1979
41,"Mozambique",1981
42,"Madagascar",1975
43,"Kenya",1978
44,"Somalia",1985
45,"Eritrea",1994
46,"Djibouti",1992
47,"Yemen",1997
48,"Oman",2008
49,"Sudan",1982
50,"Saudi Arabia",1996
51,"Kuwait",2002
52,"Bahrain",2012
53,"Pakistan",1976
54,"United Arab Emirates",1990
56,"Cabo Verde",2005
59,"Belgium",1983
61,"Tunisia",1974
62,"Morocco",1975
64,"Mauritania",1998
65,"Gambia",1977
66,"Senegal",1977
67,"Libya",2003
68,"Malta",1989
69,"Latvia",1997
70,"Estonia",1992
71,"Bulgaria",1991
72,"Romania",1994
73,"Russian Federation",1992
74,"Georgia",1996
75,"Ukraine",1999
76,"Turkey",1996
77,"Syrian Arab Republic",2003
78,"Lebanon",2013
79,"Israel",1979
80,"Greece",1992
81,"Cyprus",1974
82,"Albania",2003
84,"Algeria",1983
96,"Sierra Leone",1994
97,"Liberia",1981
98,"Togo",1978
99,"Benin",1984
100,"Congo",1983
101,"Namibia",1990
102,"South Africa",1975
103,"Sao Tome and Principe",2001
104,"Equatorial Guinea",1992
106,"Ghana",1975
108,"Bermuda",1999
110,"Bahamas",1979
112,"Cuba",1990
115,"Dominican Republic",1986
119,"Saint Kitts and Nevis",1994
120,"Antigua and Barbuda",1997
122,"Saint Lucia",1982
123,"Dominica",1995
124,"Barbados",1992
125,"Grenada",1999
126,"Trinidad and Tobago",1984
127,"Saint Vincent and the Grenadines",1988
129,"Panama",1978
130,"Costa Rica",1975
131,"Nicaragua",1977
132,"Colombia",1981
133,"Honduras",1985
134,"El Salvador",1987
135,"Mexico",1991
136,"Guatemala",1979
137,"Ecuador",1975
138,"Peru",1975
139,"Venezuela (Bolivarian Republic of)",1977
143,"Iceland",2000
152,"Samoa",2004
162,"New Zealand",1989
163,"United States of America",1974
164,"Belize",1986
166,"Jamaica",1997
167,"Guyana",1977
168,"Suriname",1980
171,"Brazil",1975
172,"Argentina",1981
173,"Uruguay",1975
174,"Finland",1976
175,"Denmark",1977
176,"Germany",1976
177,"Netherlands",1984
178,"Poland",1989
179,"France",1978
180,"United Kingdom of Great Britain and Northern Ireland",1976
181,"Ireland",2002
182,"Spain",1986
183,"Portugal",1980
184,"Italy",1979
185,"Monaco",1978
186,"Montenegro",2007
187,"Croatia",2000
188,"Slovenia",2000
189,"Lithuania",2001
190,"Qatar",2001
191,"Iran (Islamic Republic of)",1976
192,"Iraq",2014
193,"Guinea-Bissau",1990
194,"Guinea",1981
195,"Ivory Coast",1994
196,"Nigeria",1974
197,"Cameroon",1981
198,"Gabon",1989
199,"Democratic Republic of the Congo",1976
200,"Angola",2013
202,"United Republic of Tanzania",1979
203,"India",1976
204,"Bangladesh",1981
205,"Myanmar",1997
206,"Malaysia",1977
207,"Viet Nam",1994
208,"Singapore",1986
209,"China",1981
210,"Japan",1980
214,"Egypt",1978
215,"Jordan",1978
216,"Indonesia",1978
218,"Canada",1975
220,"Sint Maarten",1999
222,"Sweden",1974
223,"Norway",1976
224,"Chile",1975
232,"Bosnia and Herzegovina",2009
244,"Curacao",1999
247,"Brunei Darussalam",1990
