"Site_name","latitude_dd","longitude_dd"
"Admiralty Bay",-62.1666666666667,-58.4166666666667
"Aitcho - Barrientos Island",-62.4,-59.7833333333333
"Aitcho - Other",-62.4,-59.7833333333333
"Alexander Island",-71,-70
"Almirante Brown",-64.8953666666667,-62.87045
"Andresen Island",-66.8833333333333,-66.6666666666667
"Andvord Bay",-64.8333333333333,-62.65
"Antarctic Sound",-63.3333333333333,-56.75
"Arctowski Station",-62.1597666666667,-58.4733166666667
"Ardley Island",-62.2166666666667,-58.9333333333333
"Argentine Islands Other",-65.25,-64.2666666666667
"Argentine Islands/Wordie Hut",-65.25,-64.2666666666667
"Armstrong Reefs",-65.9,-66.3
"Arturo Prat Station",-62.4793333333333,-59.6635166666667
"Astrolabe Island",-63.2833333333333,-58.6666666666667
"Avian Island",-67.7666666666667,-68.9
"Baily Head",-62.9666666666667,-60.5
"Barcroft Islands",-66.45,-67.1666666666667
"Bellingshausen Sea",-71,-85
"Bellingshausen Station",-65.3333333333333,-64.15
"Berthelot Islands",-65.3333333333333,-64.15
"Bismarck Strait",-64.85,-64
"Bongrain Point",-67.7166666666667,-67.8
"Booth Island",-65.0833333333333,-64
"Borgeois Fjord",-67.6666666666667,-67.0833333333333
"Bransfield Strait",-63,-59
"Brown Bluff",-63.5333333333333,-56.9166666666667
"Bruce Island",-64.9,-63.1333333333333
"Cape Adare",-71.2833333333333,170.233333333333
"Cape Bird",-77.1666666666667,166.683333333333
"Cape Evans",-77.6333333333333,166.4
"Cape Evensen",-66.15,-65.7333333333333
"Cape Hallett",-72.3166666666667,170.266666666667
"Cape Lookout",-61.2666666666667,-55.2
"Cape Perez",-65.4,-64.1
"Cape Renard",-65.0166666666667,-63.7833333333333
"Cape Royds",-77.55,166.15
"Cape Shirreff",-62.45,-60.7833333333333
"Cape Tuxen",-65.2666666666667,-64.1333333333333
"Charlotte Bay",-64.55,-61.65
"Christiania Islands",-63.95,-61.45
"Cierva Cove",-64.15,-60.8833333333333
"Commonwealth Bay",-66.9,142.666666666667
"Coulman Island",-73.4666666666667,169.75
"Crystal Sound",-66.3833333333333,-66.5
"Curtiss Bay",-64.0333333333333,-60.7833333333333
"Cuverville Island",-64.6833333333333,-62.6333333333333
"Dallmann Bay",-64.3333333333333,-62.9166666666667
"Damoy Point/Dorian Bay",-64.8166666666667,-63.5333333333333
"Danco Island",-64.7333333333333,-62.6166666666667
