Truj_species,fao_species,country,notes
Silversides nei,,Ukraine,missing
Com.2-banded seabream,Common two-banded seabream,Turkey,replacement
Trouts nei,Rainbow trout,Turkey,replacement
Tuna-like fishes nei,,Ukraine,missing
Aquatic plants nei,,Ukraine|South Africa,missing
Nile tilapia,,Senegal,missing
Giant river prawn,,Senegal,missing
Blackchin tilapia,,Senegal,missing
Sturgeons nei,,Ukraine|Russian Federation,missing
Silver carp,,Russian Federation,missing
Brown seaweeds,,,missing
Razor clams nei,,Portugal,missing
Brill,,Portugal,missing
Torpedo catfishes nei,,Nigeria,missing
Tilapias nei,,Nigeria,missing
Freshwater fishes ne,,Poland|Portugal,missing
Bagrid catfish,,Nigeria,missing
"Clams, etc nei","Clams, etc. nei",Morocco,replacement
Spotted wolffish,,Iceland,missing
Atlantic wolffish,,Iceland,missing
Pacific cupped oyster,Pacific cupped oyster,Ireland,replacement
Gracilaria seaweeds,,,excluded species
River Plata mussel,,Argentina,missing
