"rgn_id","year","lbs_per_mi","rgn_name"
132,2012,893.153846153846,"Colombia"
132,2013,13842.431372549,"Colombia"
133,2011,28.5,"Honduras"
135,2010,1382.63966480447,"Mexico"
135,2011,5041.09425531915,"Mexico"
135,2012,948.534974093264,"Mexico"
135,2013,1481.66924066924,"Mexico"
137,2010,1179.98781973203,"Ecuador"
137,2011,4063.76743589744,"Ecuador"
137,2012,1379.34701492537,"Ecuador"
137,2013,643.178206583428,"Ecuador"
138,2010,1250,"Peru"
138,2011,5246.51506493506,"Peru"
138,2012,1889.98549403512,"Peru"
138,2013,7066.59233791749,"Peru"
139,2010,17652.7586206897,"Venezuela"
139,2011,7337.51553571429,"Venezuela"
139,2012,8814.86372007366,"Venezuela"
139,2013,2877.96173800259,"Venezuela"
151,2010,734.666666666667,"American Samoa"
152,2011,18.3716666666667,"Samoa"
153,2010,1285.83333333333,"Cook Islands"
153,2011,15.0930769230769,"Cook Islands"
162,2010,464,"New Zealand"
162,2011,20.555,"New Zealand"
162,2012,307.208695652174,"New Zealand"
163,2010,507.565131578947,"United States"
163,2011,42907.0015555556,"United States"
163,2012,342.934729974795,"United States"
163,2013,397.648710677465,"United States"
164,2010,424.333333333333,"Belize"
164,2011,323.708333333333,"Belize"
164,2012,374.185248713551,"Belize"
164,2013,338.649635036496,"Belize"
166,2010,649.665924276169,"Jamaica"
166,2011,409.639534883721,"Jamaica"
166,2012,1204.7021601571,"Jamaica"
166,2013,1077.50588235294,"Jamaica"
167,2010,306.363636363636,"Guyana"
171,2010,93.5970300731799,"Brazil"
171,2011,6752.44555555556,"Brazil"
171,2012,914.62317552989,"Brazil"
171,2013,812.491879350348,"Brazil"
172,2010,1592.6,"Argentina"
172,2011,253.932386363636,"Argentina"
172,2012,1860,"Argentina"
172,2013,4220.1052631579,"Argentina"
173,2010,827.264150943396,"Uruguay"
173,2011,163.536865671642,"Uruguay"
173,2012,878.168157423971,"Uruguay"
173,2013,940.731707317073,"Uruguay"
174,2010,7518,"Finland"
174,2012,462.258064516129,"Finland"
176,2010,551.212938005391,"Germany"
176,2011,12.5537142857143,"Germany"
176,2012,223.689024390244,"Germany"
176,2013,373.555555555556,"Germany"
177,2010,450.208333333333,"Netherlands"
177,2011,9.59666666666667,"Netherlands"
178,2010,1396.79245283019,"Poland"
178,2011,20.2965079365079,"Poland"
179,2010,541.071428571429,"France"
179,2011,6.13470588235294,"France"
179,2012,24.8230563002681,"France"
180,2010,1062.7446300716,"United Kingdom"
180,2011,221.241967213115,"United Kingdom"
180,2012,572.645766201318,"United Kingdom"
180,2013,75.9489361702128,"United Kingdom"
181,2010,137.5,"Ireland"
181,2011,185.890416666667,"Ireland"
181,2012,196.40755040755,"Ireland"
181,2013,259.735395189003,"Ireland"
182,2010,321.235294117647,"Spain"
182,2011,559.306060606061,"Spain"
182,2012,1100.4516608825,"Spain"
182,2013,1094.91758241758,"Spain"
183,2011,273.372857142857,"Portugal"
184,2010,313.43023255814,"Italy"
184,2011,223.284,"Italy"
187,2010,361.428571428571,"Croatia"
187,2011,83.3194444444444,"Croatia"
187,2012,8711.04938271605,"Croatia"
188,2011,10,"Slovenia"
188,2013,106.285714285714,"Slovenia"
190,2013,25.576,"Qatar"
196,2011,300.166666666667,"Nigeria"
196,2012,95.8294448913918,"Nigeria"
196,2013,86.5,"Nigeria"
202,2010,5938,"Tanzania"
202,2011,11.0228571428571,"Tanzania"
202,2012,653.783908045977,"Tanzania"
203,2010,451.322544642857,"India"
203,2011,2987.72684210526,"India"
203,2012,534.807727223211,"India"
203,2013,1338.95816618911,"India"
204,2010,95.5147058823529,"Bangladesh"
204,2011,71.7809523809524,"Bangladesh"
204,2012,15.3795483061481,"Bangladesh"
204,2013,14.4746399499061,"Bangladesh"
206,2010,718.073394495413,"Malaysia"
206,2011,38.4206944444444,"Malaysia"
206,2012,629.892857142857,"Malaysia"
206,2013,1986.04878048781,"Malaysia"
207,2010,1736.53846153846,"Vietnam"
207,2011,2419.463,"Vietnam"
208,2010,98.4924437891633,"Singapore"
208,2011,2104.83888888889,"Singapore"
208,2012,61.4106877713966,"Singapore"
208,2013,5494.65517241379,"Singapore"
209,2010,1452.43191489362,"China"
209,2011,1514.78650246305,"China"
209,2012,2868.25243535779,"China"
209,2013,21289.5610420419,"China"
210,2010,2137.07692307692,"Japan"
210,2011,488.23024691358,"Japan"
210,2012,1578.87732864675,"Japan"
210,2013,4383.57046979866,"Japan"
214,2010,1598.97260273973,"Egypt"
214,2011,24.2075757575758,"Egypt"
214,2012,31.2569477154969,"Egypt"
216,2010,803.568773234201,"Indonesia"
216,2011,73.1464285714286,"Indonesia"
216,2012,441.587096774194,"Indonesia"
218,2010,252.151143879432,"Canada"
218,2011,28832.3890909091,"Canada"
218,2012,161.549502885744,"Canada"
