"type","sp_id","year","score","ccamlr_area"
"cp",248500,1990,1,9740.31647734
"cp",248500,1987,1,9740.31647734
"cp",248500,2007,1,9740.31647734
"cp",248500,2004,1,9740.31647734
"cp",248500,1978,1,9740.31647734
"cp",248500,2000,1,9740.31647734
"cp",248500,1979,1,9740.31647734
"cp",248500,1998,1,9740.31647734
"cp",248500,1986,1,9740.31647734
"cp",248500,1984,1,9740.31647734
"cp",248500,2012,1,9740.31647734
"cp",248500,2001,1,9740.31647734
"cp",248500,2011,1,9740.31647734
"cp",248500,2009,1,9740.31647734
"cp",248500,2005,1,9740.31647734
"cp",248500,1980,1,9740.31647734
"cp",248500,1985,1,9740.31647734
"cp",248500,2002,1,9740.31647734
"cp",248500,2003,1,9740.31647734
"cp",248500,2006,1,9740.31647734
"cp",248600,2000,1,6346.41610631
"cp",248600,1990,1,6346.41610631
"cp",248600,1992,1,6346.41610631
"cp",248600,1988,1,6346.41610631
"cp",248600,1993,1,6346.41610631
"cp",248600,1981,1,6346.41610631
"cp",248600,1994,1,6346.41610631
"cp",248600,2011,1,6346.41610631
"cp",248600,2001,1,6346.41610631
"cp",248600,1989,1,6346.41610631
"cp",248600,2002,1,6346.41610631
"cp",248600,2007,1,6346.41610631
"cp",248600,1995,1,6346.41610631
"cp",248600,2009,1,6346.41610631
"cp",248600,2005,1,6346.41610631
"cp",248600,1991,1,6346.41610631
"cp",248600,2003,1,6346.41610631
"cp",248600,2012,1,6346.41610631
"cp",248600,1996,1,6346.41610631
"cp",248600,1982,1,6346.41610631
"cp",248600,2006,1,6346.41610631
"cp",248600,2008,1,6346.41610631
"cp",248600,2004,1,6346.41610631
"cp",248600,1987,1,6346.41610631
"cp",248600,1997,1,6346.41610631
"cp",248600,1983,1,6346.41610631
"cp",248600,1978,1,6346.41610631
"cp",248600,1976,1,6346.41610631
"cp",248600,2010,1,6346.41610631
"cp",248600,1977,1,6346.41610631
"cp",248600,1998,1,6346.41610631
"cp",248600,1984,1,6346.41610631
"cp",248600,1979,1,6346.41610631
"cp",248600,1985,1,6346.41610631
"cp",248600,1975,1,6346.41610631
"cp",248600,1999,1,6346.41610631
"cp",248600,1980,1,6346.41610631
"cp",248600,1986,1,6346.41610631
"cp",258410,1992,1,7937.65663524
"cp",258410,1998,1,7937.65663524
"cp",258410,2000,1,7937.65663524
"cp",258410,2005,1,7937.65663524
"cp",258410,1993,1,7937.65663524
"cp",258410,1990,1,7937.65663524
"cp",258410,2001,1,7937.65663524
"cp",258410,1996,1,7937.65663524
"cp",258410,1984,1,7937.65663524
"cp",258410,2011,1,7937.65663524
"cp",258410,1999,1,7937.65663524
"cp",258410,2009,1,7937.65663524
"cp",258410,2002,1,7937.65663524
"cp",258410,2007,1,7937.65663524
"cp",258410,1985,1,7937.65663524
"cp",258410,2012,1,7937.65663524
"cp",258410,1978,1,7937.65663524
"cp",258410,2010,1,7937.65663524
"cp",258410,1981,1,7937.65663524
"cp",258410,2008,1,7937.65663524
"cp",258410,1991,1,7937.65663524
"cp",258410,1975,1,7937.65663524
"cp",258410,2006,1,7937.65663524
"cp",258410,1977,1,7937.65663524
"cp",258410,2004,1,7937.65663524
"cp",258410,1983,1,7937.65663524
"cp",258410,1997,1,7937.65663524
"cp",258410,2003,1,7937.65663524
"cp",258410,1980,1,7937.65663524
"cp",258410,1986,1,7937.65663524
"cp",258410,1988,1,7937.65663524
"cp",258410,1979,1,7937.65663524
"cp",258410,1994,1,7937.65663524
"cp",258410,1982,1,7937.65663524
