"rgn_id","HDI"
1,0.938
2,0.938
3,0.938
4,0.938
5,0.893
6,0.626
7,0.53
8,0.791
9,0.645
10,
11,
12,0.937
13,0.937
14,
15,0.654
16,0.938
17,0.466
18,0.702
19,
20,0.909
21,
24,0.543
25,0.69
26,0.554
28,0.429
29,0.893
30,0.893
31,0.806
32,0.893
33,0.893
34,0.893
35,0.893
36,0.893
37,0.737
38,0.875
39,0.688
40,0.715
41,0.327
42,0.483
43,0.519
44,
45,0.351
46,0.445
47,0.458
48,0.731
49,0.414
50,0.782
51,0.79
52,0.796
53,0.515
54,0.818
55,0.816
56,0.586
57,0.816
58,0.885
59,0.897
60,0.875
61,0.712
62,0.591
63,0.591
64,0.467
65,0.439
66,0.47
67,0.769
68,0.847
69,0.814
70,0.846
71,0.782
72,0.786
73,0.788
74,0.745
75,0.74
76,0.722
77,0.648
78,0.745
79,0.9
80,0.86
81,0.848
82,0.749
84,0.713
85,0.875
86,0.875
88,0.875
89,0.875
90,0.629
91,0.893
92,0.893
93,0.893
94,0.938
95,0.875
96,0.359
97,0.388
98,0.459
99,0.436
100,0.534
101,0.608
102,0.629
103,0.525
104,0.554
105,0.955
106,0.558
107,0.893
108,0.875
110,0.794
111,0.875
112,0.78
113,0.875
114,0.456
115,0.702
116,0.937
117,0.875
118,0.875
119,0.745
120,0.76
121,0.875
122,0.725
123,0.745
124,0.825
125,0.77
126,0.76
127,0.733
129,0.78
130,0.773
131,0.599
132,0.719
133,0.632
134,0.68
135,0.775
136,0.581
137,0.724
138,0.741
139,0.748
140,0.893
141,0.901
143,0.906
144,0.955
145,0.901
146,0.875
147,0.893
148,0.629
149,0.937
150,0.937
151,0.937
152,0.702
153,0.919
154,0.919
155,0.71
156,0.919
157,0.629
158,0.937
159,0.937
161,0.893
162,0.919
163,0.937
164,0.702
166,0.73
167,0.636
168,0.684
169,0.893
171,0.73
172,0.811
173,0.792
174,0.892
175,0.901
176,0.92
177,0.921
178,0.821
179,0.893
180,0.875
181,0.916
182,0.885
183,0.816
184,0.881
185,
186,0.791
187,0.805
188,0.892
189,0.818
190,0.834
191,0.742
192,0.59
193,0.364
194,0.355
195,0.432
196,0.471
197,0.495
198,0.683
199,
200,0.508
202,0.476
203,0.554
204,0.515
205,0.498
206,0.769
207,0.617
208,0.895
209,0.7
210,0.912
212,0.629
213,
214,0.662
215,0.7
216,0.629
218,0.911
219,0.893
220,0.921
221,0.893
222,0.916
223,0.955
224,0.819
227,0.875
228,0.875
231,0.576
232,0.735
237,0.576
244,0.921
245,0.921
247,0.855
248,0.921
249,0.921
250,0.921
