"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","catch_dem_nd_hb_gcs"
1,"eez","Australia","AUS","eez",16,"Australia","AUS","AUS",12,"Australia",811.713459093,642.178840464,6931124.04234,27.7248725799505
2,"eez","Cocos Islands","CCK","eez",1,"Cocos Islands","CCK","CCK",1,"Australian Tropical Territories",23.0057340792,38.8078252105,467246.244448,0.17096530017734
3,"eez","Christmas Island","CXR","eez",2,"Christmas Island","CXR","CXR",1,"Australian Tropical Territories",19.8882802861,27.1615810107,327999.950118,0.195128100212314
4,"eez","Norfolk Island","NFK","eez",3,"Norfolk Island","NFK","NFK",1,"Australian Tropical Territories",23.1373179943,39.9740076901,431137.891422,0.861444807674852
5,"eez","Macquarie Island","AUS","eez",4,"Macquarie Island","AUS","Macquarie Island",2,"Australian Southern Ocean Territories",31.7338133463,66.6985867596,476361.337803,0.000475599987985333
6,"eez","New Caledonia","NCL","eez",5,"New Caledonia","NCL","NCL",3,"New Caledonia",85.8778284557,119.364649599,1369630.95356,0.217092699975474
7,"eez","Vanuatu","VUT","eez",6,"Vanuatu","VUT","VUT",4,"Vanuatu",59.1003581761,52.4250204064,618645.279671,0.315541800466381
8,"eez","Solomon Islands","SLB","eez",7,"Solomon Islands","SLB","SLB",5,"Solomon Islands",144.930931184,131.955479964,1598288.42879,1.5231309099411
9,"eez","Palau","PLW","eez",8,"Palau","PLW","PLW",6,"Palau",33.3962107125,49.4282329138,604246.416399,0.84594070156847
10,"eez","Micronesia","FSM","eez",9,"Micronesia","FSM","FSM",7,"Micronesia",92.4272097081,245.115749968,2992384.37229,2.02987660178813
11,"eez","Nauru","NRU","eez",10,"Nauru","NRU","NRU",8,"Nauru",19.0413004349,25.0748866192,308506.735698,0.598424496132648
12,"eez","Marshall Islands","MHL","eez",11,"Marshall Islands","MHL","MHL",9,"Marshall Islands",74.4187955355,164.636681565,1992076.81824,1.12290520846764
13,"eez","Wake Island","UMI","eez",12,"Wake Island","UMI","Wake Island",114,"USA Pacific Uninhabited Territories",21.6624513695,35.0531189455,407243.294149,0.665998001080006
14,"eez","Northern Mariana Islands and Guam","MNP","eez",13,"Northern Mariana Islands and Guam","MNP","MNP|GUM",111,"USA Pacific Inhabited Territories",40.8302575027,82.5764853588,970764.316808,1.06554750023744
15,"eez","Taiwan","TWN","eez",14,"Taiwan","TWN","TWN",10,"Taiwan",49.387261456,29.783953152,341307.69489,56.9853980425984
16,"eez","Philippines","PHL","eez",15,"Philippines","PHL","PHL",11,"Philippines",372.718334378,152.118713492,1823938.333,149.200171856104
17,"eez","Papua New Guinea","PNG","eez",17,"Papua New Guinea","PNG","PNG",13,"Papua New Guinea",258.134529632,195.850284566,2392629.59258,4.13017071289709
18,"eez","Fiji","FJI","eez",18,"Fiji","FJI","FJI",14,"Fiji",109.005543949,109.522557911,1281199.39388,2.19468950474082
19,"eez","Tuvalu","TUV","eez",19,"Tuvalu","TUV","TUV",15,"Tuvalu",51.2169031445,61.7014342544,752093.99491,0.400113701631926
20,"eez","South Korea","KOR","eez",20,"South Korea","KOR","KOR",16,"South Korea",160.433444093,32.2164586743,324396.358511,272.295077262037
