RAM_species,SAUP_species
Carcharhinus acronotus,NA
Carcharhinus isodon,NA
Centroberyx gerrardi,NA
Cervimunida Johni,Cervimunida johni
Chionoecetes bairdi,NA
Chrysophrys auratus,Pagrus auratus
Dissostichus mawsoni,NA
Epinephelus flavolimbatus,Hyporthodus flavolimbatus
Epinephelus niveatus,Hyporthodus niveatus
Haliotis iris,NA
Hexagrammos decagrammus,NA
Lepidopsetta polyxystra,NA
Loligo pealeii,Doryteuthis pealeii
Merluccius gayi,Merluccius gayi gayi
Merluccius paradoxus,Merluccius capensis
Neoplatycephalus richardsoni,NA
Platycephalus conatus,NA
Raja rhina,NA
Reinhardtius stomias,Atheresthes stomias
Sardinella spp,NA
Sardinops melanostictus,Sardinops sagax
Scorpaena guttata,NA
Scomber australacius,Scomber australasicus
Sebastes aleutianus,NA
Sebastes carnatus,NA
Sebastes chlorostictus,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes fasciatus,NA
Sebastes levis,NA
Sebastes melanostomus,NA
Sebastes mystinus,NA
Sebastes polyspinis,NA
Sebastes ruberrimus,NA
Sebastes spp,NA
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Sillago flindersi,NA
Solea vulgaris,Solea solea
Sprattus fuengensis,Sprattus fuegensis
Squalus suckleyi,NA
Tetrapturus albidus,Kajikia albida
