saup_rgn,ohi_rgn,percent_saup,complication
8,82,1,NA
12,84,1,NA
16,151,1,NA
24,200,1,NA
28,120,1,NA
32,172,1,NA
36,16,1,combine SAUP catch per OHI region
37,4,1,NA
38,16,1,combine SAUP catch per OHI region
44,110,1,NA
48,52,1,NA
50,204,1,NA
52,124,1,NA
56,59,1,NA
60,108,1,NA
70,232,1,NA
74,105,1,NA
76,171,1,combine SAUP catch per OHI region
77,171,1,combine SAUP catch per OHI region
84,164,1,NA
86,38,1,NA
90,7,1,NA
92,117,1,NA
96,247,1,NA
100,71,1,NA
104,205,1,NA
111,45,1,NA
116,24,1,NA
120,197,1,NA
132,56,1,NA
136,113,1,NA
144,40,1,NA
152,224,1,combine SAUP catch per OHI region
153,224,1,combine SAUP catch per OHI region
154,224,1,combine SAUP catch per OHI region
155,224,1,combine SAUP catch per OHI region
157,14,1,NA
162,2,1,NA
166,1,1,NA
174,28,1,NA
175,29,1,NA
178,100,1,NA
180,199,1,NA
184,153,1,NA
191,187,1,NA
192,112,1,NA
197,81,1,combine SAUP catch per OHI region
198,81,1,combine SAUP catch per OHI region
204,99,1,NA
212,123,1,NA
214,115,1,NA
218,137,1,combine SAUP catch per OHI region
219,137,1,combine SAUP catch per OHI region
222,134,1,NA
226,104,1,NA
233,70,1,NA
234,141,1,NA
238,95,1,NA
239,89,1,NA
242,18,1,NA
246,174,1,NA
251,33,0.20107907,split SAUP catch among OHI regions
251,34,0.3938209,split SAUP catch among OHI regions
251,35,0.404710413,split SAUP catch among OHI regions
252,36,1,NA
254,169,1,NA
258,147,1,NA
262,46,1,NA
266,198,1,NA
268,74,1,NA
270,65,1,NA
274,79,1,combine SAUP catch per OHI region
277,176,1,combine SAUP catch per OHI region
278,176,1,combine SAUP catch per OHI region
288,106,1,NA
300,80,1,combine SAUP catch per OHI region
304,145,1,NA
308,125,1,NA
312,140,1,combine SAUP catch per OHI region
316,13,1,combine SAUP catch per OHI region
324,194,1,NA
328,167,1,NA
332,114,1,NA
334,94,1,NA
344,209,1,NA
352,143,1,NA
356,203,1,NA
357,26,1,NA
361,216,1,combine SAUP catch per OHI region
368,192,1,NA
372,181,1,NA
380,184,1,combine SAUP catch per OHI region
384,195,1,NA
388,166,1,NA
390,210,1,combine SAUP catch per OHI region
393,210,1,combine SAUP catch per OHI region
396,159,1,NA
400,215,1,NA
404,43,1,NA
408,21,1,NA
410,20,1,NA
414,51,1,NA
422,78,1,NA
428,69,1,NA
430,97,1,NA
434,67,1,NA
440,189,1,NA
450,42,1,NA
459,206,1,combine SAUP catch per OHI region
460,206,1,combine SAUP catch per OHI region
461,206,1,combine SAUP catch per OHI region
462,39,1,NA
463,206,1,combine SAUP catch per OHI region
470,68,1,NA
474,140,1,combine SAUP catch per OHI region
478,64,1,NA
480,37,1,NA
488,163,1,combine SAUP catch per OHI region
500,121,1,NA
508,41,1,NA
512,48,1,combine SAUP catch per OHI region
516,101,1,NA
520,10,1,NA
528,177,1,NA
540,5,1,NA
548,6,1,NA
554,162,1,combine SAUP catch per OHI region
555,162,1,combine SAUP catch per OHI region
566,196,1,NA
570,154,1,NA
574,3,1,NA
578,223,1,combine SAUP catch per OHI region
579,144,1,NA
580,13,1,combine SAUP catch per OHI region
583,9,1,NA
584,11,1,NA
585,8,1,NA
586,53,1,NA
598,17,1,NA
604,138,1,NA
608,15,1,NA
612,146,1,NA
616,178,1,NA
620,183,1,NA
621,57,1,NA
622,55,1,NA
624,193,1,NA
626,231,0.942583435,split SAUP catch among OHI regions
626,237,0.057416565,split SAUP catch among OHI regions
630,116,1,combine SAUP catch per OHI region
634,190,1,NA
638,32,1,NA
642,72,1,NA
645,73,1,combine SAUP catch per OHI region
647,73,1,combine SAUP catch per OHI region
648,73,1,combine SAUP catch per OHI region
649,73,1,combine SAUP catch per OHI region
654,86,1,NA
659,119,1,NA
660,118,1,NA
662,122,1,NA
666,219,1,NA
670,127,1,NA
678,103,1,NA
683,50,1,combine SAUP catch per OHI region
684,50,1,combine SAUP catch per OHI region
686,66,1,NA
690,31,1,NA
694,96,1,NA
702,208,1,NA
704,207,1,NA
705,188,1,NA
706,44,1,NA
711,90,1,NA
723,58,1,NA
736,49,1,NA
740,168,1,NA
744,223,1,combine SAUP catch per OHI region
760,77,1,NA
