"TaxonKey","species"
600972,"Ablennes hians"
611820,"Abudefduf luridus"
605689,"Abudefduf sordidus"
606630,"Abudefduf vaigiensis"
600351,"Acanthistius brasilianus"
690752,"Acanthocardia tuberculata"
600089,"Acanthocybium solandri"
605526,"Acanthopagrus berda"
604543,"Acanthopagrus bifasciatus"
606356,"Acanthopagrus latus"
606531,"Acanthopagrus schlegelii"
600942,"Acanthurus bahianus"
604750,"Acanthurus blochii"
601256,"Acanthurus dussumieri"
601258,"Acanthurus lineatus"
601800,"Acanthurus monroviae"
604747,"Acanthurus nigricauda"
604739,"Acanthurus nigrofuscus"
604744,"Acanthurus olivaceus"
604740,"Acanthurus sohal"
601260,"Acanthurus triostegus"
601261,"Acanthurus xanthopterus"
690005,"Acetes japonicus"
604712,"Acipenser gueldenstaedtii"
602065,"Acipenser stellatus"
690314,"Aequipecten opercularis"
606441,"Aethaloperca rogaa"
601250,"Aetobatus narinari"
600228,"Albula vulpes"
601888,"Alectis alexandrina"
600988,"Alectis ciliaris"
601889,"Alepes djedaba"
600099,"Alepisaurus ferox"
600230,"Alepocephalus bairdii"
605071,"Alepocephalus rostratus"
612962,"Allocyttus niger"
600091,"Allothunnus fallai"
602534,"Alopias superciliosus"
602535,"Alopias vulpinus"
601574,"Alosa aestivalis"
600101,"Alosa alosa"
605355,"Alosa fallax"
600105,"Alosa immaculata"
601582,"Alosa mediocris"
601583,"Alosa pseudoharengus"
601584,"Alosa sapidissima"
609256,"Amblyraja hyperborea"
600487,"Ammodytes personatus"
600954,"Amphiarius phrygiatus"
690649,"Anadara ovalis"
603810,"Anarhichas denticulatus"
602501,"Anarhichas lupus"
603811,"Anarhichas minor"
601684,"Anchoa choerostoma"
601133,"Anchoa hepsetus"
600545,"Anchoa mitchilli"
601163,"Anchoa nasus"
600538,"Anchoa spinifer"
600035,"Anguilla anguilla"
600296,"Anguilla rostrata"
601619,"Anodontostoma chacunda"
607184,"Anomalops katoptron"
600512,"Anoplopoma fimbria"
605402,"Antennatus coccineus"
601692,"Anthias anthias"
602005,"Antimora rostrata"
600646,"Aphanopus carbo"
608540,"Aphanopus intermedius"
600081,"Aphareus furca"
600083,"Aphareus rutilans"
600039,"Aphia minuta"
612909,"Aplodactylus punctatus"
690201,"Apostichopus japonicus"
600084,"Aprion virescens"
600086,"Apsilus fuscus"
600441,"Archosargus probatocephalus"
601219,"Archosargus rhomboidalis"
690275,"Arctica islandica"
600463,"Arctoscopus japonicus"
602700,"Argentina silus"
600020,"Argentina sphyraena"
690065,"Argopecten gibbus"
690030,"Argopecten irradians"
690303,"Argopecten purpuratus"
690282,"Argopecten ventricosus"
600442,"Argyrops spinifer"
600419,"Argyrosomus hololepidotus"
600418,"Argyrosomus regius"
600443,"Argyrozona argyrozona"
601300,"Ariomma indicum"
690683,"Aristaeomorpha foliacea"
690051,"Aristeus antennatus"
690403,"Aristeus varidens"
600041,"Arnoglossus laterna"
605425,"Arothron hispidus"
600392,"Arripis georgianus"
605048,"Arripis trutta"
690024,"Artemesia longinaris"
600956,"Aspistor quadriscutis"
690324,"Asterias rubens"
600518,"Atheresthes evermanni"
600517,"Atheresthes stomias"
601696,"Atherina boyeri"
600045,"Atherina presbyter"
614143,"Atlantoraja castelnaui"
607609,"Atlantoraja cyclophora"
600420,"Atractoscion aequidens"
603578,"Atractoscion nobilis"
600941,"Atrobucca nibe"
601893,"Atule mate"
690081,"Aulacomya ater"
601309,"Aulostomus chinensis"
600527,"Austroglossus microlepis"
600528,"Austroglossus pectoralis"
600093,"Auxis rochei"
600094,"Auxis thazard"
600958,"Bagre bagre"
601165,"Bairdiella chrysoura"
601166,"Bairdiella ronchus"
607327,"Balistes capriscus"
651184,"Bathyraja brachyurops"
606948,"Bathyraja eatonii"
657505,"Bathyraja irrasa"
606950,"Bathyraja maccaini"
652474,"Bathyraja macloviana"
606952,"Bathyraja murrayi"
604014,"Bellator militaris"
600047,"Belone belone"
601319,"Beryx decadactylus"
601320,"Beryx splendens"
690819,"Bohadschia marmorata"
605537,"Bolbometopon muricatum"
690689,"Bolinus brandaris"
608273,"Bollmannia chlamydes"
600203,"Boops boops"
600319,"Boreogadus saida"
605098,"Borostomias antarcticus"
607641,"Bothus mancus"
601321,"Bothus pantherinus"
