saup_id,saup_name,fao_rgn,prop_area
8,Albania,37,1
12,Algeria,37,1
16,American Samoa,77,1
24,Angola,47,0.981253814
24,Angola,34,0.018746186
28,Antigua & Barbuda,31,1
32,Argentina,41,1
36,Australia,71,0.308424619
36,Australia,81,0.116650313
36,Australia,57,0.574925068
37,Macquarie Isl. (Australia),81,1
38,Lord Howe Isl. (Australia),81,1
44,Bahamas,31,1
48,Bahrain,51,1
50,Bangladesh,57,1
52,Barbados,31,1
56,Belgium,27,1
60,Bermuda (UK),31,0.943778016
60,Bermuda (UK),21,0.056221984
70,Bosnia & Herzegovina,37,1
74,Bouvet Isl. (Norway),48,1
76,Brazil (mainland),41,0.983235029
76,Brazil (mainland),31,0.016764971
77,Trindade & Martim Vaz Isl. (Brazil),41,1
84,Belize,31,1
86,Chagos Archipelago (UK),51,1
90,Solomon Isl.,71,1
92,British Virgin Isl. (UK),31,1
96,Brunei Darussalam,71,1
100,Bulgaria,37,1
104,Myanmar,57,1
111,Eritrea,51,1
116,Cambodia,71,1
120,Cameroon,34,1
132,Cape Verde,34,1
136,Cayman Isl. (UK),31,1
144,Sri Lanka,57,1
152,Chile (mainland),87,1
153,Easter Isl. (Chile),87,1
154,Desventuradas Isl. (Chile),87,1
155,Juan Fernandez Islands (Chile),87,1
156,China,71,0.473938883
156,China,61,0.526061117
157,Taiwan,71,0.510099681
157,Taiwan,61,0.489900319
162,Christmas Isl. (Australia),57,1
166,Cocos (Keeling) Isl. (Australia),57,1
174,Comoros Isl.,51,1
175,Mayotte (France),51,1
178,"Congo, R. of",47,0.22152779
178,"Congo, R. of",34,0.77847221
180,Congo (ex-Zaire),47,0.886335771
180,Congo (ex-Zaire),34,0.113664229
184,Cook Islands,77,1
191,Croatia,37,1
192,Cuba,31,1
197,Cyprus (North),37,1
198,Cyprus (South),37,1
204,Benin,34,1
212,Dominica,31,1
214,Dominican Republic,31,1
218,Ecuador (mainland),87,1
219,Galapagos Isl. (Ecuador),87,1
222,El Salvador,77,1
226,Equatorial Guinea,34,1
233,Estonia,27,1
234,Faeroe Isl. (Denmark),27,1
238,Falkland Isl. (UK),41,1
239,South Georgia & Sandwich Isl. (UK),48,1
242,Fiji,71,1
246,Finland,27,1
251,Mozambique Channel Isl. (France),51,1
252,Tromelin Isl. (France),51,1
254,French Guiana,41,0.031271903
254,French Guiana,31,0.968728097
258,French Polynesia,81,0.153617153
258,French Polynesia,77,0.846382847
262,Djibouti,51,1
266,Gabon,34,1
268,Georgia,37,1
270,Gambia,34,1
274,Gaza Strip,37,1
277,Germany (North Sea),27,1
278,Germany (Baltic Sea),27,1
288,Ghana,34,1
300,Greece (without Crete),37,1
304,Greenland (Denmark),18,0.119305887
304,Greenland (Denmark),27,0.633743487
304,Greenland (Denmark),21,0.246950625
308,Grenada,31,1
312,Guadeloupe  (France),31,1
316,Guam (USA),71,1
324,Guinea,37,1
328,Guyana,31,1
332,Haiti,31,1
334,Heard & McDonald Isl. (Australia),58,1
344,Hong Kong (China),61,1
352,Iceland,27,1
356,India (mainland),51,0.617446736
356,India (mainland),57,0.382553264
357,Andaman & Nicobar Isl. (India),57,1
361,Indonesia (Eastern),71,0.834107202
361,Indonesia (Eastern),57,0.165892798
