"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","model"
"1","Acanthistius_brasilianus-41","Argentine seabass",NA,NA,NA,NA,NA,"COM-SIR"
"2","Acanthopagrus_schlegelii-61","Blackhead seabream",NA,NA,NA,NA,NA,"COM-SIR"
"3","Alectis_alexandrina-34","Alexandria pompano",NA,NA,NA,NA,NA,"COM-SIR"
"4","Alopias_superciliosus-51","Bigeye thresher",NA,NA,NA,NA,NA,"COM-SIR"
"5","Alosa_aestivalis-21","Blueback shad",NA,NA,NA,NA,NA,"COM-SIR"
"6","Alosa_aestivalis-31","Blueback shad",NA,NA,NA,NA,NA,"COM-SIR"
"7","Alosa_pseudoharengus-21","Alewife",NA,NA,NA,NA,NA,"COM-SIR"
"8","Alosa_pseudoharengus-31","Alewife",NA,NA,NA,NA,NA,"COM-SIR"
"9","Alosa_sapidissima-21","American shad",NA,NA,NA,NA,NA,"COM-SIR"
"10","Alosa_sapidissima-31","American shad",NA,NA,NA,NA,NA,"COM-SIR"
"11","Anarhichas_lupus-21","Atlantic wolffish",NA,NA,NA,NA,NA,"COM-SIR"
"12","Anarhichas_lupus-27","Atlantic wolffish",NA,NA,NA,NA,NA,"COM-SIR"
"13","Aphanopus_carbo-27","Black scabbardfish",NA,NA,NA,NA,NA,"COM-SIR"
"14","Aphanopus_carbo-34","Black scabbardfish",NA,NA,NA,NA,NA,"COM-SIR"
"15","Apsilus_fuscus-34","African forktail snapper",NA,NA,NA,NA,NA,"COM-SIR"
"16","Arripis_trutta-57","Australian salmon",NA,NA,NA,NA,NA,"COM-SIR"
"17","Arripis_trutta-71","Australian salmon",NA,NA,NA,NA,NA,"COM-SIR"
"18","Arripis_trutta-81","Australian salmon",NA,NA,NA,NA,NA,"COM-SIR"
"19","Atheresthes_stomias-61","Arrowtooth flounder",NA,NA,NA,NA,NA,"COM-SIR"
"20","Atheresthes_stomias-67","Arrowtooth flounder",NA,NA,NA,NA,NA,"COM-SIR"
"21","Atheresthes_stomias-77","Arrowtooth flounder",NA,NA,NA,NA,NA,"COM-SIR"
"22","Atherina_boyeri-37","Bigscale sand smelt",NA,NA,NA,NA,NA,"COM-SIR"
"23","Atrobucca_nibe-61","Blackmouth croaker",NA,NA,NA,NA,NA,"COM-SIR"
"24","Atrobucca_nibe-71","Blackmouth croaker",NA,NA,NA,NA,NA,"COM-SIR"
"25","Brachydeuterus_auritus-34","Bigeye grunt",NA,NA,NA,NA,NA,"COM-SIR"
"26","Brachydeuterus_auritus-47","Bigeye grunt",NA,NA,NA,NA,NA,"COM-SIR"
"27","Brama_brama-27","Atlantic pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"28","Brevoortia_pectinata-41","Argentine menhaden",NA,NA,NA,NA,NA,"COM-SIR"
"29","Brevoortia_tyrannus-21","Atlantic menhaden",NA,NA,NA,NA,NA,"COM-SIR"
"30","Brevoortia_tyrannus-31","Atlantic menhaden",NA,NA,NA,NA,NA,"COM-SIR"
"31","Brotula_barbata-34","Bearded brotula",NA,NA,NA,NA,NA,"COM-SIR"
"32","Caranx_crysos-31","Blue runner",NA,NA,NA,NA,NA,"COM-SIR"
"33","Caranx_crysos-34","Blue runner",NA,NA,NA,NA,NA,"COM-SIR"
"34","Caranx_crysos-41","Blue runner",NA,NA,NA,NA,NA,"COM-SIR"
"35","Caranx_melampygus-57","Bluefin trevally",NA,NA,NA,NA,NA,"COM-SIR"
"36","Caranx_ruber-31","Bar jack",NA,NA,NA,NA,NA,"COM-SIR"
"37","Caranx_sexfasciatus-57","Bigeye trevally",NA,NA,NA,NA,NA,"COM-SIR"
"38","Carcharhinus_limbatus-51","Blacktip shark",NA,NA,NA,NA,NA,"COM-SIR"
"39","Carcharhinus_limbatus-57","Blacktip shark",NA,NA,NA,NA,NA,"COM-SIR"
"40","Carcharhinus_melanopterus-51","Blacktip reef shark",NA,NA,NA,NA,NA,"COM-SIR"
"41","Carcharhinus_melanopterus-57","Blacktip reef shark",NA,NA,NA,NA,NA,"COM-SIR"
"42","Centropristis_striata-21","Black seabass",NA,NA,NA,NA,NA,"COM-SIR"
"43","Centropristis_striata-31","Black seabass",NA,NA,NA,NA,NA,"COM-SIR"
"44","Cetengraulis_edentulus-31","Atlantic anchoveta",NA,NA,NA,NA,NA,"COM-SIR"
"45","Cetengraulis_edentulus-41","Atlantic anchoveta",NA,NA,NA,NA,NA,"COM-SIR"
"46","Cetorhinus_maximus-27","Basking shark",NA,NA,NA,NA,NA,"COM-SIR"
"47","Chelidonichthys_kumu-61","Bluefin gurnard",NA,NA,NA,NA,NA,"COM-SIR"
"48","Chelidonichthys_kumu-71","Bluefin gurnard",NA,NA,NA,NA,NA,"COM-SIR"
"49","Chelidonichthys_kumu-81","Bluefin gurnard",NA,NA,NA,NA,NA,"COM-SIR"
