"","sciname","common","TaxonKey","Resilience","SpecCode"
"1","Lutjanus peru","Pacific red snapper",600170,"Medium",170
"2","Anchoa mitchilli","Bay anchovy",600545,"High",545
"3","Trachinus draco","Greater weever",601363,"Medium",1363
"4","Epigonus telescopus","Black cardinal fish",602508,"Very low",2508
"5","Rexea solandri","Silver gemfish",608490,"Low",8490
"6","Dasyatis longa","Longtail stingray",613178,"Very low",13178
"7","Porichthys margaritatus","Daisy midshipman",608220,"High",8220
"8","Pentheroscion mbizi","Mbizi croaker",605000,"Medium",5000
"9","Priacanthus arenatus","Atlantic bigeye",601149,"High",1149
"10","Polydactylus approximans","Blue bobo",603680,"High",3680
"11","Engyophrys sanctilaurentii","Speckled-tail flounder",613558,"High",13558
"12","Alepisaurus ferox","Long snouted lancetfish",600099,"Very low",99
"13","Gasterochisma melampus","Butterfly kingfish",600100,"Low",100
"14","Anguilla japonica","Japanese eel",600295,"Low",295
"15","Anguilla rostrata","American eel",600296,"Medium",296
"16","Alectis indica","Indian threadfish",600010,"Medium",10
"17","Lutjanus quinquelineatus","Fivelined snapper",600172,"Very low",172
"18","Lutjanus vivanus","Silk snapper",600185,"Low",185
"19","Macolor macularis","Midnight snapper",600186,"Medium",186
"20","Ocyurus chrysurus","Yellowtail snapper",600188,"Low",188
"21","Paracaesio kusakarii","Saddle-back snapper",600191,"Medium",191
"22","Paracaesio sordida","Dirty ordure snapper",600192,"Medium",192
"23","Paracaesio stonei","Cocoa snapper",600193,"Medium",193
"24","Paracaesio xanthura","Yellowtail blue snapper",600194,"Medium",194
"25","Pristipomoides argyrogrammicus","Ornate jobfish",600199,"Medium",199
"26","Pristipomoides auricilla","Goldflag jobfish",600200,"Medium",200
"27","Pristipomoides flavipinnis","Golden eye jobfish",600202,"Medium",202
"28","Petrus rupestris","Red steenbras",600447,"Low",447
"29","Stenotomus chrysops","Scup",600452,"Medium",452
"30","Doederleinia berycoides","Rosy seabass",604599,"Medium",4599
"31","Acipenser ruthenus","Sterlet sturgeon",604604,"Low",4604
"32","Merluccius merluccius","European hake",600030,"Low",30
"33","Lophius gastrophysus","Blackfin goosefish",601078,"Medium",1078
"34","Mugil incilis","Parassi mullet",601089,"High",1089
"35","Mugil liza","Lebranche mullet",601090,"Medium",1090
"36","Heteropriacanthus cruentatus","Glasseye",601150,"High",1150
"37","Sparus aurata","Gilthead seabream",601164,"Medium",1164
"38","Acanthurus xanthopterus","Yellowfin surgeonfish",601261,"Low",1261
"39","Ctenochaetus striatus","Striated surgeonfish",601262,"Low",1262
"40","Naso hexacanthus","Sleek unicornfish",601263,"Low",1263
"41","Naso lituratus","Orangespine unicornfish",601264,"Medium",1264
"42","Naso unicornis","Bluespine unicornfish",601265,"Low",1265
"43","Zebrasoma velifer","Sailfin tang",601266,"Medium",1266
"44","Platybelone argalus platyura","Keeled needlefish",601314,"Medium",1314
"45","Tylosurus acus melanotus","Keeljawed needle fish",601317,"Medium",1317
"46","Siganus guttatus","Goldlined spinefoot",604588,"High",4588
"47","Bothus pantherinus","Leopard flounder",601321,"Medium",1321
"48","Mullus surmuletus","Surmullet",601327,"Medium",1327
"49","Paralichthys dentatus","Summer flounder",601338,"Medium",1338
"50","Serranus cabrilla","Comber",601353,"Medium",1353
"51","Siganus argenteus","Streamlined spinefoot",604614,"High",4614
"52","Dentex congoensis","Congo dentex",604641,"Medium",4641
"53","Acipenser baerii","Siberian sturgeon",604683,"Very low",4683
"54","Molva dypterygia","Blue ling",601383,"Low",1383
"55","Lutjanus analis","Mutton snapper",601403,"Low",1403
"56","Lutjanus erythropterus","Crimson snapper",601406,"Medium",1406
"57","Lutjanus argentimaculatus","Mangrove red snapper",601407,"Low",1407
"58","Lutjanus argentiventris","Yellow snapper",601408,"Low",1408
"59","Cyprinus carpio","Common carp",601450,"Medium",1450
"60","Chirocentrus nudus","Whitefin wolf-herring",601452,"Medium",1452
"61","Gobius niger","Black goby",600072,"Medium",72
"62","Helicolenus dactylopterus","Blackbelly rosefish",600076,"Very low",76
"63","Istiophorus platypterus","Indo-Pacific sailfish",600077,"Low",77
"64","Thalassoma purpureum","Surge wrasse",605647,"Medium",5647
"65","Thalassoma quinquevittatum","Fivestripe wrasse",605648,"High",5648
"66","Neomyxus leuciscus","Acutejawed mullet",605652,"Medium",5652
"67","Crenimugil crenilabis","Fringelip mullet",605653,"High",5653
"68","Chromis margaritifer","Bicolor chromis",605675,"High",5675
"69","Chromis ternatensis","Ternate chromis",605677,"High",5677
"70","Chromis viridis","Bluegreen damselfish",605679,"High",5679
"71","Abudefduf septemfasciatus","Banded sergeant",605687,"Medium",5687
"72","Abudefduf sexfasciatus","Scissortail sergeant",605688,"Medium",5688
