"stock_id","year","bbmsy","bmsy_data_source"
"Katsuwonus_pelamis-71",2001,3.17,"RAM"
"Katsuwonus_pelamis-71",2002,3.07,"RAM"
"Katsuwonus_pelamis-71",2003,2.9,"RAM"
"Katsuwonus_pelamis-71",2004,2.29,"RAM"
"Katsuwonus_pelamis-71",2005,2.92,"RAM"
"Katsuwonus_pelamis-71",2006,3.27,"RAM"
"Katsuwonus_pelamis-71",2007,3.35,"RAM"
"Katsuwonus_pelamis-71",2008,3.08,"RAM"
"Katsuwonus_pelamis-71",2009,2.54,"RAM"
"Katsuwonus_pelamis-71",2010,2.34,"RAM"
"Sardinella_aurita-34",2001,5.49,"RAM"
"Sardinella_aurita-34",2002,4.87,"RAM"
"Sardinella_aurita-34",2003,4,"RAM"
"Sardinella_aurita-34",2004,3,"RAM"
"Sardinella_aurita-34",2005,4.15,"RAM"
"Sardinella_aurita-34",2006,6.71,"RAM"
"Sardinella_aurita-34",2007,8.95,"RAM"
"Sardinella_aurita-34",2008,10.7,"RAM"
"Sardinella_aurita-34",2009,8.22,"RAM"
"Sardinella_aurita-34",2010,5.79,"RAM"
"Clupea_harengus-27",2001,2.11666666666667,"RAM"
"Clupea_harengus-27",2002,2.47333333333333,"RAM"
"Clupea_harengus-27",2003,2.29,"RAM"
"Clupea_harengus-27",2004,2.33666666666667,"RAM"
"Clupea_harengus-27",2005,2.20666666666667,"RAM"
"Clupea_harengus-27",2006,2.18333333333333,"RAM"
"Clupea_harengus-27",2007,2.05666666666667,"RAM"
"Clupea_harengus-27",2008,1.97333333333333,"RAM"
"Clupea_harengus-27",2009,2.22333333333333,"RAM"
"Clupea_harengus-27",2010,2.18333333333333,"RAM"
"Trachurus_capensis-47",2001,1.62,"RAM"
"Trachurus_capensis-47",2002,1.62,"RAM"
"Trachurus_capensis-47",2003,1.66,"RAM"
"Trachurus_capensis-47",2004,1.71,"RAM"
"Trachurus_capensis-47",2005,1.79,"RAM"
"Trachurus_capensis-47",2006,1.86,"RAM"
"Trachurus_capensis-47",2007,1.98,"RAM"
"Trachurus_capensis-47",2008,2.13,"RAM"
"Trachurus_capensis-47",2009,2.3,"RAM"
"Trachurus_capensis-47",2010,2.4,"RAM"
"Scomberomorus_cavalla-31",2001,2.185,"RAM"
"Scomberomorus_cavalla-31",2002,2.22,"RAM"
"Scomberomorus_cavalla-31",2003,2.35,"RAM"
"Scomberomorus_cavalla-31",2004,2.51,"RAM"
"Scomberomorus_cavalla-31",2005,2.71,"RAM"
"Scomberomorus_cavalla-31",2006,2.99,"RAM"
"Scomberomorus_cavalla-31",2007,3.15,"RAM"
"Scomberomorus_cavalla-31",2008,3.2,"RAM"
"Scomberomorus_cavalla-31",2009,3.26,"RAM"
"Scomberomorus_cavalla-31",2010,3.24,"RAM"
