"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","model"
"1","Acanthurus_monroviae-34","Monrovia doctorfish",NA,NA,NA,NA,NA,"COM-SIR"
"2","Ammodytes_personatus-61","Pacific sandlance",NA,NA,NA,NA,NA,"COM-SIR"
"3","Aprion_virescens-51","Green jobfish",NA,NA,NA,NA,NA,"COM-SIR"
"4","Arctoscopus_japonicus-61","Japanese sandfish",NA,NA,NA,NA,NA,"COM-SIR"
"5","Arctoscopus_japonicus-71","Japanese sandfish",NA,NA,NA,NA,NA,"COM-SIR"
"6","Argyrops_spinifer-51","King soldierbream",NA,NA,NA,NA,NA,"COM-SIR"
"7","Argyrosomus_regius-34","Meagre",NA,NA,NA,NA,NA,"COM-SIR"
"8","Ariomma_indicum-61","Indian driftfish",NA,NA,NA,NA,NA,"COM-SIR"
"9","Atheresthes_evermanni-61","Kamchatka flounder",NA,NA,NA,NA,NA,"COM-SIR"
"10","Balistes_capriscus-34","Grey triggerfish",NA,NA,NA,NA,NA,"COM-SIR"
"11","Balistes_capriscus-41","Grey triggerfish",NA,NA,NA,NA,NA,"COM-SIR"
"12","Brevoortia_patronus-31","Gulf menhaden",NA,NA,NA,NA,NA,"COM-SIR"
"13","Brotula_clarkae-77","Pacific bearded brotula",NA,NA,NA,NA,NA,"COM-SIR"
"14","Carangoides_talamparoides-61","Imposter trevally",NA,NA,NA,NA,NA,"COM-SIR"
"15","Caranx_latus-41","Horseeye jack",NA,NA,NA,NA,NA,"COM-SIR"
"16","Cetengraulis_mysticetus-77","Pacific anchoveta",NA,NA,NA,NA,NA,"COM-SIR"
"17","Cetengraulis_mysticetus-87","Pacific anchoveta",NA,NA,NA,NA,NA,"COM-SIR"
"18","Champsocephalus_gunnari-48","Mackerel icefish",NA,NA,NA,NA,NA,"COM-SIR"
"19","Champsocephalus_gunnari-58","Mackerel icefish",NA,NA,NA,NA,NA,"COM-SIR"
"20","Chanos_chanos-51","Milkfish",NA,NA,NA,NA,NA,"COM-SIR"
"21","Chanos_chanos-57","Milkfish",NA,NA,NA,NA,NA,"COM-SIR"
"22","Chanos_chanos-77","Milkfish",NA,NA,NA,NA,NA,"COM-SIR"
"23","Clupea_pallasii_pallasii-61","Pacific herring",NA,NA,NA,NA,NA,"COM-SIR"
"24","Clupea_pallasii_pallasii-67","Pacific herring",NA,NA,NA,NA,NA,"COM-SIR"
"25","Clupea_pallasii_pallasii-71","Pacific herring",NA,NA,NA,NA,NA,"COM-SIR"
"26","Clupea_pallasii_pallasii-77","Pacific herring",NA,NA,NA,NA,NA,"COM-SIR"
"27","Cololabis_saira-61","Pacific saury",NA,NA,NA,NA,NA,"COM-SIR"
"28","Congresox_talabonoides-51","Indian pike conger",NA,NA,NA,NA,NA,"COM-SIR"
"29","Congresox_talabonoides-57","Indian pike conger",NA,NA,NA,NA,NA,"COM-SIR"
"30","Coregonus_muksun-18","Muksun",NA,NA,NA,NA,NA,"COM-SIR"
"31","Cyclopterus_lumpus-21","Lumpfish",NA,NA,NA,NA,NA,"COM-SIR"
"32","Cyclopterus_lumpus-27","Lumpfish",NA,NA,NA,NA,NA,"COM-SIR"
"33","Cynoscion_analis-87","Peruvian weakfish",NA,NA,NA,NA,NA,"COM-SIR"
"34","Cynoscion_jamaicensis-41","Jamaica weakfish",NA,NA,NA,NA,NA,"COM-SIR"
"35","Cynoscion_virescens-41","Green weakfish",NA,NA,NA,NA,NA,"COM-SIR"
"36","Decapterus_macarellus-34","Mackerel scad",NA,NA,NA,NA,NA,"COM-SIR"
"37","Decapterus_maruadsi-61","Japanese scad",NA,NA,NA,NA,NA,"COM-SIR"
"38","Decapterus_maruadsi-71","Japanese scad",NA,NA,NA,NA,NA,"COM-SIR"
"39","Decapterus_russelli-51","Indian scad",NA,NA,NA,NA,NA,"COM-SIR"
"40","Decapterus_russelli-57","Indian scad",NA,NA,NA,NA,NA,"COM-SIR"
"41","Decapterus_russelli-71","Indian scad",NA,NA,NA,NA,NA,"COM-SIR"
"42","Dentex_macrophthalmus-34","Largeeye dentex",NA,NA,NA,NA,NA,"COM-SIR"
"43","Dentex_macrophthalmus-37","Largeeye dentex",NA,NA,NA,NA,NA,"COM-SIR"
"44","Dentex_macrophthalmus-47","Largeeye dentex",NA,NA,NA,NA,NA,"COM-SIR"
"45","Diagramma_pictum-51","Painted sweetlips",NA,NA,NA,NA,NA,"COM-SIR"
"46","Diplectrum_pacificum-77","Inshore sand perch",NA,NA,NA,NA,NA,"COM-SIR"
"47","Dissostichus_eleginoides-41","Patagonian toothfish",NA,NA,NA,NA,NA,"COM-SIR"
"48","Dissostichus_eleginoides-48","Patagonian toothfish",NA,NA,NA,NA,NA,"COM-SIR"
"49","Dissostichus_eleginoides-58","Patagonian toothfish",NA,NA,NA,NA,NA,"COM-SIR"
"50","Dissostichus_eleginoides-87","Patagonian toothfish",NA,NA,NA,NA,NA,"COM-SIR"
"51","Elops_saurus-31","Ladyfish",NA,NA,NA,NA,NA,"COM-SIR"
"52","Engraulis_japonicus-61","Japanese anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"53","Engraulis_japonicus-71","Japanese anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"54","Eopsetta_jordani-77","Petrale sole",NA,NA,NA,NA,NA,"COM-SIR"
"55","Epinephelus_coioides-51","Orangespotted grouper",NA,NA,NA,NA,NA,"COM-SIR"
"56","Epinephelus_coioides-61","Orangespotted grouper",NA,NA,NA,NA,NA,"COM-SIR"
"57","Epinephelus_coioides-71","Orangespotted grouper",NA,NA,NA,NA,NA,"COM-SIR"
"58","Epinephelus_striatus-31","Nassau grouper",NA,NA,NA,NA,NA,"COM-SIR"
"59","Esox_lucius-27","Northern pike",NA,NA,NA,NA,NA,"COM-SIR"
"60","Ethmidium_maculatum-87","Pacific menhaden",NA,NA,NA,NA,NA,"COM-SIR"
"61","Euthynnus_affinis-51","Kawakawa",NA,NA,NA,NA,NA,"COM-SIR"
"62","Euthynnus_affinis-57","Kawakawa",NA,NA,NA,NA,NA,"COM-SIR"
"63","Euthynnus_affinis-71","Kawakawa",NA,NA,NA,NA,NA,"COM-SIR"
"64","Euthynnus_alletteratus-27","Little tunny",NA,NA,NA,NA,NA,"COM-SIR"
"65","Euthynnus_alletteratus-31","Little tunny",NA,NA,NA,NA,NA,"COM-SIR"
"66","Euthynnus_alletteratus-34","Little tunny",NA,NA,NA,NA,NA,"COM-SIR"
"67","Euthynnus_alletteratus-37","Little tunny",NA,NA,NA,NA,NA,"COM-SIR"
"68","Euthynnus_alletteratus-47","Little tunny",NA,NA,NA,NA,NA,"COM-SIR"
"69","Eutrigla_gurnardus-27","Grey gurnard",NA,NA,NA,NA,NA,"COM-SIR"
"70","Gadus_macrocephalus-61","Pacific cod",NA,NA,NA,NA,NA,"COM-SIR"
"71","Gadus_macrocephalus-67","Pacific cod",NA,NA,NA,NA,NA,"COM-SIR"
"72","Gadus_macrocephalus-71","Pacific cod",NA,NA,NA,NA,NA,"COM-SIR"
"73","Gadus_macrocephalus-77","Pacific cod",NA,NA,NA,NA,NA,"COM-SIR"
"74","Gadus_ogac-27","Greenland cod",NA,NA,NA,NA,NA,"COM-SIR"
"75","Galeoides_decadactylus-34","Lesser African threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"76","Galeoides_decadactylus-37","Lesser African threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"77","Galeoides_decadactylus-47","Lesser African threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"78","Genypterus_capensis-47","Kingklip",NA,NA,NA,NA,NA,"COM-SIR"
"79","Gerres_nigri-34","Guinean striped mojarra",NA,NA,NA,NA,NA,"COM-SIR"
"80","Gobionotothen_gibberifrons-48","Humped rockcod",NA,NA,NA,NA,NA,"COM-SIR"
"81","Hippoglossus_stenolepis-61","Pacific halibut",NA,NA,NA,NA,NA,"COM-SIR"
"82","Hippoglossus_stenolepis-67","Pacific halibut",NA,NA,NA,NA,NA,"COM-SIR"
"83","Hippoglossus_stenolepis-77","Pacific halibut",NA,NA,NA,NA,NA,"COM-SIR"
"84","Hoplostethus_atlanticus-57","Orange roughy",NA,NA,NA,NA,NA,"COM-SIR"
"85","Hoplostethus_atlanticus-81","Orange roughy",NA,NA,NA,NA,NA,"COM-SIR"
"86","Hypoptychus_dybowskii-61","Korean sandeel",NA,NA,NA,NA,NA,"COM-SIR"
"87","Hyporhamphus_sajori-61","Japanese halfbeak",NA,NA,NA,NA,NA,"COM-SIR"
"88","Istiophorus_platypterus-51","Indo-Pacific sailfish",NA,NA,NA,NA,NA,"COM-SIR"
