"rgn_id","score","old_score","rgn_name","new_minus_old"
10,46.9,94.7,"Nauru",-47.8
8,47.9,91.8,"Palau",-43.9
19,48.4,92.3,"Tuvalu",-43.9
9,45.3,82.7,"Micronesia",-37.4
17,49.9,85,"Papua New Guinea",-35.1
212,46.3,81.3,"Kiribati",-35
174,46.6,81.3,"Finland",-34.7
7,51.1,85.6,"Solomon Islands",-34.5
95,37.2,71.5,"Falkland Islands",-34.3
158,47.2,80.5,"Howland Island and Baker Island",-33.3
70,53.3,79.5,"Estonia",-26.2
11,44.1,67.4,"Marshall Islands",-23.3
101,28.6,47.6,"Namibia",-19
157,67.5,84.8,"Phoenix Group",-17.3
102,63.9,78.8,"South Africa",-14.9
222,41.3,56.1,"Sweden",-14.8
69,47.5,62.2,"Latvia",-14.7
78,48.6,63,"Lebanon",-14.4
189,48.4,61.1,"Lithuania",-12.7
91,40.5,52.3,"Crozet Islands",-11.8
223,32.8,44.1,"Norway",-11.3
161,62,72.3,"Wallis and Futuna",-10.3
178,37.7,46.9,"Poland",-9.2
113,34.2,42.1,"Cayman Islands",-7.9
180,44.6,52.3,"United Kingdom",-7.7
59,51.5,58.1,"Belgium",-6.6
77,50.6,57.2,"Syria",-6.6
110,51.2,57.7,"Bahamas",-6.5
248,39.6,45.8,"Saba",-6.2
99,29.9,36,"Benin",-6.1
200,23.1,29.1,"Angola",-6
15,36.1,42,"Philippines",-5.9
106,51.7,57.5,"Ghana",-5.8
177,45.6,51.2,"Netherlands",-5.6
220,39.3,44.9,"Sint Maarten",-5.6
176,34.2,39.7,"Germany",-5.5
13,24,28.8,"Northern Mariana Islands and Guam",-4.8
250,32.2,37,"Aruba",-4.8
6,54.6,59.3,"Vanuatu",-4.7
245,37.9,42.5,"Bonaire",-4.6
172,46.2,50.8,"Argentina",-4.59999999999999
2,62.4,66.9,"Christmas Island",-4.50000000000001
127,34.3,38.8,"Saint Vincent and the Grenadines",-4.5
98,30.5,34.9,"Togo",-4.4
216,52.6,57,"Indonesia",-4.4
45,40.1,44.4,"Eritrea",-4.3
156,57.5,61.8,"Tokelau",-4.3
55,39.8,44,"Azores",-4.2
81,40.4,44.6,"Cyprus",-4.2
247,40.3,44.5,"Brunei",-4.2
122,25.1,29.2,"Saint Lucia",-4.1
179,44.6,48.6,"France",-4
79,35.2,38.9,"Israel",-3.7
181,44.2,47.9,"Ireland",-3.7
65,28.2,31.8,"Gambia",-3.6
194,13.2,16.7,"Guinea",-3.5
85,66.1,69.5,"Ascension",-3.40000000000001
58,30.1,33.5,"Canary Islands",-3.4
80,47.4,50.8,"Greece",-3.4
125,38,41.4,"Grenada",-3.4
185,44.6,48,"Monaco",-3.4
199,28.1,31.5,"Democratic Republic of the Congo",-3.4
206,55.9,59.2,"Malaysia",-3.3
18,45.9,49.1,"Fiji",-3.2
96,28.4,31.4,"Sierra Leone",-3
214,40.1,43.1,"Egypt",-3
249,31.2,34.1,"Sint Eustatius",-2.9
14,33.9,36.7,"Taiwan",-2.8
193,20.3,23.1,"Guinea Bissau",-2.8
104,23.6,26.4,"Equatorial Guinea",-2.8
66,32.5,35.1,"Senegal",-2.6
60,41.4,43.9,"Gibraltar",-2.5
67,43.4,45.9,"Libya",-2.5
135,48,50.4,"Mexico",-2.4
1,56.5,58.8,"Cocos Islands",-2.3
112,33.5,35.8,"Cuba",-2.3
117,38.1,40.4,"British Virgin Islands",-2.3
198,41.2,43.5,"Gabon",-2.3
155,32.9,35.1,"Tonga",-2.2
202,63.3,65.5,"Tanzania",-2.2
207,62.8,65,"Vietnam",-2.2
203,52.3,54.3,"India",-2
231,64.2,66.2,"East Timor",-2
63,13.8,15.7,"Western Sahara",-1.9
