RAM_species,SAUP_species
Amblyraja radiata,NA
Ammodytes marinus,NA
Arius spp,NA
Carcharhinus acronotus,NA
Carcharhinus isodon,NA
Centroberyx gerrardi,NA
Cervimunida Johni,Cervimunida johni
Chaceon quinquedens,NA
Chionoecetes bairdi,NA
Chrysophrys auratus,Pagrus auratus
Clupea pallasii,Clupea pallasii pallasii
Clupeonella engrauliformis,NA
Cynoglossus spp,NA
Dentex spp,NA
Dentex tumifrons,NA
Dissostichus mawsoni,NA
Epigonus crassicaudus,NA
Epinephelus flavolimbatus,Hyporthodus flavolimbatus
Epinephelus niveatus,Hyporthodus niveatus
Etrumeus teres,Etrumeus sadina
Haliotis iris,NA
Hexagrammos decagrammus,NA
Lepidopsetta polyxystra,NA
Leucoraja garmani,NA
Leucoraja ocellata,NA
Loligo pealeii,Doryteuthis pealeii
Malacoraja senta,NA
Merluccius gayi,Merluccius gayi gayi
Merluccius paradoxus,Merluccius capensis
Neoplatycephalus richardsoni,NA
Panopea generosa,NA
Penaeus esculentus,NA
Penaeus spp,NA
Platycephalus conatus,NA
Pomadasys spp,NA
Psetta maxima,Scophthalmus maximus
Pseudocarcinus gigas,NA
Pseudotolithus spp,NA
Raja eglanteria,NA
Raja rhina,NA
Reinhardtius stomias,Atheresthes stomias
Sardinella spp,NA
Sardinops melanostictus,Sardinops sagax
Scomber australacius,Scomber australasicus
Scorpaena guttata,NA
Sebastes aleutianus,NA
Sebastes borealis,NA
Sebastes carnatus,NA
Sebastes chlorostictus,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes fasciatus,NA
Sebastes jordani,NA
Sebastes levis,NA
Sebastes melanostomus,NA
Sebastes mystinus,NA
Sebastes polyspinis,NA
Sebastes ruberrimus,NA
Sebastes rufus,NA
Sebastes spp,NA
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Sepia spp,NA
Sillago flindersi,NA
Solea vulgaris,Solea solea
Sprattus fuengensis,Sprattus fuegensis
Squalus suckleyi,NA
Tetrapturus albidus,Kajikia albida
