FAO_name,species,exclude,alias,notes,notes_2,Taxon_code
[Boleophthalmus pectinirostris],Great blue spotted mudskipper,1,NA,,Chinese medicine,F
[Chondracanthus chamissoi],[Chondracanthus chamissoi],1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
[Porphyra columbina],[Porphyra columbina],1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
[Solea spp],Soles nei,0,NA,,,F
[Spirulina maxima],[Spirulina maxima],1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Abalones nei,Abalones nei,0,NA,,,BI
Akiami paste shrimp,Akiami paste shrimp,0,NA,,,SH
Amberjacks nei,Amberjacks nei,0,NA,,,F
American bull frog,American bull frog,0,NA,,,OTHER
American cupped oyster,American cupped oyster,0,NA,,,BI
Anadara clams nei,Anadara clams nei,0,NA,,,BI
Aquatic invertebrates nei,Aquatic invertebrates nei,0,NA,,,INV
Aquatic plants nei,Aquatic plants nei,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Arctic char,Arctic char,0,NA,,,F
Areolate grouper,Areolate grouper,0,NA,,,F
Atipa,Atipa,1,NA,freshwater,,F
Atlantic bluefin tuna,Atlantic bluefin tuna,0,NA,,,F
Atlantic cod,Atlantic cod,0,NA,,,F
Atlantic ditch shrimp,Atlantic ditch shrimp,0,NA,,,SH
Atlantic halibut,Atlantic halibut,0,NA,,,F
Atlantic salmon,Atlantic salmon,0,NA,,,F
Atlantic spadefish,Atlantic spadefish,1,NA,mixed use: gamefish/aquarium/food,,F
Atlantic wolffish,Atlantic wolffish,0,NA,,,F
Australian mussel,Australian mussel,0,NA,,,BI
Babberlocks,Babberlocks,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Bagrid catfish,Bagrid catfish,1,NA,freshwater,,F
Ballan wrasse,Ballan wrasse,0,NA,,,F
Baltic prawn,Baltic prawn,0,NA,,,SH
Banana prawn,Banana prawn,0,NA,,,SH
Banded carpet shell,Banded carpet shell,0,NA,,,BI
Barramundi(=Giant seaperch),Barramundi,0,NA,,,F
Bastard halibut,Bastard halibut,0,NA,,,F
Bastard halibuts nei,Bastard halibuts nei,0,NA,,,F
Bear paw clam,Bear paw clam,0,NA,,,BI
Big-scale sand smelt,Big-scale sand smelt,0,Silversides(=Sand smelts) nei,,,F
Bigeye trevally,Bigeye trevally,0,NA,,,F
Bighead carp,Bighead carp,1,NA,freshwater,,F
Black ark,Black ark,0,blood cockle,,,BI
Black bullhead,Black bullhead,1,NA,freshwater,,F
Black catfishes nei,Black catfishes nei,1,NA,freshwater,,F
Black grouper,Black grouper,0,Groupers nei,,,F
Black seabass,Black seabass,0,NA,,,F
Blackchin tilapia,Blackchin tilapia,1,NA,freshwater,,F
Blackhead seabream,Blackhead seabream,0,NA,,,F
Blacklip abalone,Blacklip abalone,0,NA,,,BI
Blacklip pearl oyster,Blacklip pearl oyster,0,NA,,,BI
Blackspot(=red) seabream,Blackspot(=red) seabream,0,NA,,,F
Blood cockle,Blood cockle,0,NA,,,BI
Blue crab,Blue crab,0,NA,,,CRUST
Blue mussel,Blue mussel,0,NA,,,BI
Blue shrimp,Blue shrimp,0,NA,,,SH
Blue swimming crab,Blue swimming crab,0,NA,,,CRUST
Blue tilapia,Blue tilapia,1,NA,freshwater,,F
Bluefish,Bluefish,0,NA,,,F
Bluegill,Bluegill,1,NA,freshwater,,F
Bluespot mullet,Bluespot mullet,0,NA,,,F
Bright green nori,Bright green nori,1,NA,seaweed mixed: animal feed/fertilizer/food,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Brill,Brill,0,NA,,,F
Brine shrimp,Brine shrimp,0,NA,,,SH
Brown meagre,Brown meagre,0,NA,,,F
Brown seaweeds,Brown seaweeds,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Brown tiger prawn,Brown tiger prawn,0,NA,,,SH
Brown-marbled grouper,Brown-marbled grouper,0,NA,,,F
Butter clam,Butter clam,0,NA,,,BI
Callinectes swimcrabs nei,Callinectes swimcrabs nei,0,NA,,,CRUST
Caramote prawn,Caramote prawn,0,NA,,,SH
Carpet shells nei,Carpet shells nei,0,NA,,,BI
Caulerpa seaweeds,Caulerpa seaweeds,1,NA,seaweed,food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Chars nei,Chars nei,0,NA,,,F
Chilean flat oyster,Chilean flat oyster,0,NA,,,BI
Chilean mussel,Chilean mussel,0,NA,,,BI
Chinook(=Spring=King) salmon,Chinook(=Spring=King)salmon,0,NA,,,F
Cholga mussel,Cholga mussel,0,NA,,,BI
Choro mussel,Choro mussel,0,NA,,,BI
Chum(=Keta=Dog) salmon,Chum(=Keta=Dog)salmon,0,NA,,,F
"Clams, etc. nei","Clams, etc. nei",0,NA,,,BI
Cobia,Cobia,0,NA,,,F
Cockles nei,Cockles nei,0,NA,,,BI
Coho(=Silver) salmon,Coho(=Silver)salmon,0,NA,,,F
Common carp,Common carp,1,NA,freshwater,,F
Common cuttlefish,Common cuttlefish,0,NA,,,CEPH
Common dentex,Common dentex,0,NA,,,F
Common edible cockle,Common edible cockle,0,NA,,,BI
Common pandora,Common pandora,0,NA,,,F
Common prawn,Common prawn,0,NA,,,SH
Common snook,Common snook,0,NA,,,F
Common sole,Common sole,0,NA,,,F
Common two-banded seabream,Common two-banded seabream,0,NA,,,F
Constricted tagelus,Constricted tagelus,1,NA,freshwater,,BI
Cortez oyster,Cortez oyster,0,NA,,,BI
Crevalle jack,Crevalle jack,0,NA,,,F
Crimson seabream,Crimson seabream,0,NA,,,F
"Croakers, drums nei","Croakers, drums nei",0,NA,,,F
Crocus giant clam,Crocus giant clam,0,NA,,,BI
