Region_Code,Name,MPA (KM^2),Pcnt_3NM (=mpa_3nm/tot_3nm*100),Pcnt_EEZ (=mpa_eez/tot_eez*100)
1,Southern,3.191498,1.706620579,0.11391887
2,Haifa,8.040116,2.543798433,0.074549806
3,Haifa Bay,0.021246,0.040779354,0.040779354
4,Central,0.296447,0.130735084,0.005529397
5,Northern,0.394693,0.30670381,0.01025631
6,Tel Aviv,0.000015,1.14981E-05,4.63434E-07
