1,Qatar,$,"144,400"
2,Luxembourg,$,"92,400"
3,Liechtenstein,$,"89,400"
4,Macau,$,"88,700"
5,Bermuda,$,"85,700"
6,Isle of Man,$,"83,100"
7,Singapore,$,"81,300"
8,Monaco,$,"78,700"
9,Brunei,$,"77,700"
10,Kuwait,$,"71,000"
11,Sint Maarten,$,"66,800"
12,Norway,$,"65,900"
13,United Arab Emirates,$,"65,000"
14,Jersey,$,"57,000"
15,Falkland Islands (Islas Malvinas),$,"55,400"
16,Switzerland,$,"55,200"
17,Hong Kong,$,"55,200"
18,San Marino,$,"55,000"
19,United States,$,"54,800"
20,Saudi Arabia,$,"52,800"
21,Bahrain,$,"51,400"
22,Netherlands,$,"47,400"
23,Ireland,$,"46,800"
24,Australia,$,"46,600"
25,Austria,$,"45,400"
26,Sweden,$,"44,700"
27,Germany,$,"44,700"
28,Guernsey,$,"44,600"
29,Canada,$,"44,500"
30,Denmark,$,"44,300"
31,Oman,$,"44,100"
32,Cayman Islands,$,"43,800"
33,Taiwan,$,"43,600"
34,Gibraltar,$,"43,000"
35,Iceland,$,"42,600"
36,British Virgin Islands,$,"42,300"
37,Belgium,$,"41,700"
38,Finland,$,"40,500"
39,France,$,"40,400"
40,New Caledonia,$,"38,800"
41,Greenland,$,"38,400"
42,European Union,$,"38,300"
43,United Kingdom,$,"37,700"
44,Japan,$,"37,700"
45,Andorra,$,"37,200"
46,Virgin Islands,$,"36,100"
47,"Korea, South",$,"35,400"
48,New Zealand,$,"35,000"
49,Saint Pierre and Miquelon,$,"34,900"
50,Italy,$,"34,500"
51,Israel,$,"33,400"
52,Spain,$,"33,000"
53,Equatorial Guinea,$,"32,600"
54,Malta,$,"31,700"
55,Trinidad and Tobago,$,"31,300"
56,Guam,$,"30,500"
57,Faroe Islands,$,"30,500"
58,Slovenia,$,"29,400"
59,Turks and Caicos Islands,$,"29,100"
60,Czech Republic,$,"28,400"
61,Slovakia,$,"27,600"
62,Lithuania,$,"26,700"
63,Estonia,$,"26,600"
64,Portugal,$,"26,300"
65,Cyprus,$,"26,200"
66,French Polynesia,$,"26,100"
67,Greece,$,"25,800"
68,Aruba,$,"25,300"
69,"Bahamas, The",$,"25,100"
70,Russia,$,"24,800"
71,Malaysia,$,"24,500"
72,Seychelles,$,"24,500"
73,Poland,$,"24,400"
74,Hungary,$,"24,300"
75,Kazakhstan,$,"24,100"
