"cntry_key","sector","year","USD"
"AGO","aqf",1976,0
"AGO","aqf",1977,0
"AGO","aqf",1978,0
"AGO","aqf",1979,0
"AGO","aqf",1980,0
"AGO","aqf",1981,0
"AGO","aqf",1982,0
"AGO","aqf",1983,0
"AGO","aqf",1984,0
"AGO","aqf",1985,0
"AGO","aqf",1986,0
"AGO","aqf",1987,0
"AGO","aqf",1988,0
"AGO","aqf",1989,0
"AGO","aqf",1990,0
"AGO","aqf",1991,0
"AGO","aqf",1992,0
"AGO","aqf",1993,0
"AGO","aqf",1994,0
"AGO","aqf",1995,0
"AGO","aqf",1996,0
"AGO","aqf",1997,0
"AGO","aqf",1998,0
"AGO","aqf",1999,0
"AGO","aqf",2000,0
"AGO","aqf",2001,0
"AGO","aqf",2002,0
"AGO","aqf",2003,1
"AGO","aqf",2004,0
"AGO","aqf",2005,0
"AGO","aqf",2006,0
"AGO","aqf",2007,0
"AGO","aqf",2008,0
"AGO","aqf",2009,0
"AGO","cf",2002,644037706.7
"AGO","cf",2007,1097712983
"AGO","tour",1988,4.1e+08
"AGO","tour",1989,4.77e+08
"AGO","tour",1990,5.03e+08
"AGO","tour",1991,4.75e+08
"AGO","tour",1992,3.58e+08
"AGO","tour",1993,4.36e+08
"AGO","tour",1994,6.28e+08
"AGO","tour",1995,7.94e+08
"AGO","tour",1996,8.56e+08
"AGO","tour",1997,8.7e+08
"AGO","tour",1998,1.532e+09
"AGO","tour",1999,1.35e+09
"AGO","tour",2000,1.173e+09
"AGO","tour",2001,1.701e+09
"AGO","tour",2002,1.891e+09
"AGO","tour",2003,1.993e+09
"AGO","tour",2004,2.533e+09
"AGO","tour",2005,2.682e+09
"AGO","tour",2006,2.928e+09
"AGO","tour",2007,3.742e+09
"AGO","tour",2008,3.83e+09
"AGO","tour",2009,5.113e+09
"AGO","tour",2010,4.654e+09
"AGO","tour",2011,4.229e+09
"AGO","tour",2012,4.296e+09
"AGO","tour",2013,4.689e+09
"AIA","tour",1988,1.08e+08
"AIA","tour",1989,8e+07
"AIA","tour",1990,9e+07
"AIA","tour",1991,9e+07
"AIA","tour",1992,8e+07
"AIA","tour",1993,1.01e+08
"AIA","tour",1994,1.24e+08
"AIA","tour",1995,1.07e+08
"AIA","tour",1996,1.19e+08
"AIA","tour",1997,1.38e+08
"AIA","tour",1998,1.31e+08
"AIA","tour",1999,1.3e+08
"AIA","tour",2000,1.19e+08
"AIA","tour",2001,1.27e+08
"AIA","tour",2002,1.08e+08
"AIA","tour",2003,1.15e+08
"AIA","tour",2004,1.15e+08
"AIA","tour",2005,1.42e+08
"AIA","tour",2006,1.58e+08
"AIA","tour",2007,1.64e+08
"AIA","tour",2008,1.59e+08
"AIA","tour",2009,1.48e+08
"AIA","tour",2010,1.54e+08
"AIA","tour",2011,1.58e+08
"AIA","tour",2012,1.62e+08
"AIA","tour",2013,1.65e+08
"Alaska","aqf",1976,259
"Alaska","aqf",1977,688
"Alaska","aqf",1978,548
"Alaska","aqf",1979,214
"Alaska","aqf",1980,91
"Alaska","aqf",1981,93
"Alaska","aqf",1982,76
"Alaska","aqf",1983,81
"Alaska","aqf",1984,113
"Alaska","aqf",1985,109
"Alaska","aqf",1986,303
"Alaska","aqf",1987,387
"Alaska","aqf",1988,661
"Alaska","aqf",1989,789
"Alaska","aqf",1990,938
"Alaska","aqf",1991,927
"Alaska","aqf",1992,957
"Alaska","aqf",1993,1549
"Alaska","aqf",1994,2072
"Alaska","aqf",1995,2903
"Alaska","aqf",1996,1710
"Alaska","aqf",1997,1175
"Alaska","aqf",1998,1155
"Alaska","aqf",1999,1151
"Alaska","aqf",2000,1328
"Alaska","aqf",2001,1635
"Alaska","aqf",2002,1369
"Alaska","aqf",2003,1416
"Alaska","aqf",2004,1753
"Alaska","aqf",2005,2015
"Alaska","aqf",2006,2206
"Alaska","aqf",2007,2447
"Alaska","aqf",2008,2389
"Alaska","aqf",2009,2219
"Alaska","tour",1988,6.79455e+11
"Alaska","tour",1989,7.04435e+11
"Alaska","tour",1990,7.33096e+11
"Alaska","tour",1991,7.27808e+11
"Alaska","tour",1992,7.57655e+11
"Alaska","tour",1993,7.933e+11
"Alaska","tour",1994,8.22323e+11
"Alaska","tour",1995,8.58189e+11
"Alaska","tour",1996,9.35656e+11
"Alaska","tour",1997,9.91492e+11
"Alaska","tour",1998,1.04702e+12
"Alaska","tour",1999,1.09807e+12
"Alaska","tour",2000,1.19613e+12
"Alaska","tour",2001,1.14093e+12
"Alaska","tour",2002,1.11858e+12
"Alaska","tour",2003,1.15418e+12
"Alaska","tour",2004,1.24369e+12
"Alaska","tour",2005,1.2815e+12
"Alaska","tour",2006,1.33851e+12
"Alaska","tour",2007,1.38384e+12
"Alaska","tour",2008,1.38035e+12
"Alaska","tour",2009,1.23831e+12
"Alaska","tour",2010,1.24937e+12
"Alaska","tour",2011,1.33656e+12
"Alaska","tour",2012,1.38517e+12
"Alaska","tour",2013,1.41577e+12
"ALB","aqf",1976,0
"ALB","aqf",1977,0
"ALB","aqf",1978,0
"ALB","aqf",1979,0
"ALB","aqf",1980,0
"ALB","aqf",1981,0
"ALB","aqf",1982,0
"ALB","aqf",1983,0
"ALB","aqf",1984,0
"ALB","aqf",1985,0
"ALB","aqf",1986,0
"ALB","aqf",1987,0
"ALB","aqf",1988,0
"ALB","aqf",1989,0
"ALB","aqf",1990,0
"ALB","aqf",1991,0
"ALB","aqf",1992,0
"ALB","aqf",1993,0
"ALB","aqf",1994,0
"ALB","aqf",1995,0
"ALB","aqf",1996,0
"ALB","aqf",1997,0
"ALB","aqf",1998,0
"ALB","aqf",1999,0
"ALB","aqf",2000,1
"ALB","aqf",2001,0
"ALB","aqf",2002,0
"ALB","aqf",2003,0
"ALB","aqf",2004,4
"ALB","aqf",2005,1
"ALB","aqf",2006,6
"ALB","aqf",2007,0
"ALB","aqf",2008,16
