"sid","sciname","class","order","family","genus","species","authority","modified_year","category","criteria","habitat","popn_trend","shp_dbf","shp_grp","shp_cnt","src_distn","am_speciesid","TEXT","category_2012chg","popn_trend_2012chg"
245,"Acipenser oxyrinchus","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","oxyrinchus","Mitchill, 1815",2006,"NT",NA,"Marine","Increasing",NA,NA,NA,"AquaMaps","Fis-58742",NA,"NT","Increasing"
899,"Alopex lagopus","MAMMALIA","CARNIVORA","CANIDAE","Alopex","lagopus","(Linnaeus, 1758)",2008,"LC",NA,"Marine","Stable","range_mammals_mar_sid899_pts.dbf","mammals",231,"IUCN",NA,NA,"LC","Stable"
2055,"Arctocephalus australis","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","australis","(Zimmermann, 1783)",2008,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2055_pts.dbf","mammals",1160,"IUCN","ITS-180633",NA,"LC","Increasing"
2058,"Arctocephalus gazella","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","gazella","(Peters, 1875)",2008,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2058_pts.dbf","mammals",10926,"IUCN","ITS-180630",NA,"LC","Increasing"
2059,"Arctocephalus philippii","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","philippii","(Peters, 1872)",2008,"NT",NA,"Marine","Increasing","range_mammals_mar_sid2059_pts.dbf","mammals",535,"IUCN","ITS-180635",NA,"NT","Increasing"
2060,"Arctocephalus pusillus","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","pusillus","(Schreber, 1775)",2008,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2060_pts.dbf","mammals",884,"IUCN","ITS-180629",NA,"LC","Increasing"
2061,"Arctocephalus townsendi","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","townsendi","Merriam, 1897",2008,"NT",NA,"Marine","Increasing","range_mammals_mar_sid2061_pts.dbf","mammals",494,"IUCN","ITS-180636",NA,"NT","Increasing"
2062,"Arctocephalus tropicalis","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","tropicalis","(J.E. Gray, 1872)",2008,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2062_pts.dbf","mammals",6820,"IUCN","ITS-180632",NA,"LC","Increasing"
2467,"Balaena mysticetus","MAMMALIA","CETARTIODACTYLA","BALAENIDAE","Balaena","mysticetus","Linnaeus, 1758",2012,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2467_pts.dbf","mammals",10955,"IUCN","ITS-180533",NA,"LC","Increasing"
2474,"Balaenoptera acutorostrata","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","acutorostrata","Lacépède, 1804",2008,"LC",NA,"Marine","Stable","range_mammals_mar_sid2474_pts.dbf","mammals",164815,"IUCN","ITS-180524",NA,"LC","Stable"
2475,"Balaenoptera borealis","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","borealis","Lesson, 1828",2008,"EN","A1ad","Marine","Unknown","range_mammals_mar_sid2475_pts.dbf","mammals",143012,"IUCN","ITS-180526",NA,"EN","Unknown"
