"","sp_id","sp_type","rgn_id","rgn_name","layer","pressure_score","year","gap_filled"
"1",0,"eez",16,"Australia","catch_06_10_npp_lb",0.00522325259523609,2015,"no"
"2",1,"eez",1,"Cocos Islands","catch_06_10_npp_lb",0.00292292863643861,2015,"no"
"3",2,"eez",2,"Christmas Island","catch_06_10_npp_lb",3.15505192734613e-05,2015,"no"
"4",3,"eez",3,"Norfolk Island","catch_06_10_npp_lb",0.000114795299583035,2015,"no"
"5",4,"eez",4,"Macquarie Island","catch_06_10_npp_lb",0.000669286270754668,2015,"no"
"6",5,"eez",5,"New Caledonia","catch_06_10_npp_lb",0.0024485974798825,2015,"no"
"7",6,"eez",6,"Vanuatu","catch_06_10_npp_lb",0.00416716395194332,2015,"no"
"8",7,"eez",7,"Solomon Islands","catch_06_10_npp_lb",0.0278775998468874,2015,"no"
"9",8,"eez",8,"Palau","catch_06_10_npp_lb",0.0931799700581213,2015,"no"
"10",9,"eez",9,"Micronesia","catch_06_10_npp_lb",0.0194891491668356,2015,"no"
"11",10,"eez",10,"Nauru","catch_06_10_npp_lb",0.0410911769835994,2015,"no"
"12",11,"eez",11,"Marshall Islands","catch_06_10_npp_lb",0.0041040642107509,2015,"no"
"13",12,"eez",12,"Wake Island","catch_06_10_npp_lb",8.07029413478023e-06,2015,"no"
"14",13,"eez",13,"Northern Mariana Islands and Guam","catch_06_10_npp_lb",0.000107509087462269,2015,"no"
"15",14,"eez",14,"Taiwan","catch_06_10_npp_lb",0.0748063547356158,2015,"no"
"16",15,"eez",15,"Philippines","catch_06_10_npp_lb",0.116298417236677,2015,"no"
"17",17,"eez",17,"Papua New Guinea","catch_06_10_npp_lb",0.0387740699490977,2015,"no"
"18",18,"eez",18,"Fiji","catch_06_10_npp_lb",0.00599597984063271,2015,"no"
"19",19,"eez",19,"Tuvalu","catch_06_10_npp_lb",0.0126794111884169,2015,"no"
"20",20,"eez",20,"South Korea","catch_06_10_npp_lb",0.297178085756308,2015,"no"
"21",21,"eez",21,"North Korea","catch_06_10_npp_lb",0.130213434264135,2015,"no"
"22",24,"eez",24,"Cambodia","catch_06_10_npp_lb",0.750877717008932,2015,"no"
"23",25,"eez",25,"Thailand","catch_06_10_npp_lb",0.354158886452161,2015,"no"
