"rgn_id","gapfill"
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
24,1
25,0
26,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,1
84,0
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,0
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
161,0
162,1
163,1
164,0
166,1
167,0
168,0
169,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,0
212,0
214,0
215,1
216,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
227,0
228,0
231,1
232,1
237,0
244,0
245,0
247,0
248,0
249,0
250,0
