id,goal,component,type,value,count
1,artisanal-fishing,all,ecological,0.911106873984202,2
1,artisanal-fishing,all,social,0.816606397061,1
2,artisanal-fishing,all,ecological,0.720861077774675,2
2,artisanal-fishing,all,social,0.816606397061,1
3,artisanal-fishing,all,social,0.364278916434,1
3,artisanal-fishing,all,ecological,0.612805181064493,2
4,artisanal-fishing,all,social,0.555728870933,1
4,artisanal-fishing,all,ecological,0.632080654718221,2
5,artisanal-fishing,all,social,0.4079143094,1
5,artisanal-fishing,all,ecological,0.677666894674261,2
6,artisanal-fishing,all,ecological,0.671688261169898,2
6,artisanal-fishing,all,social,0.556491874033,1
7,artisanal-fishing,all,ecological,0.588877400847083,2
7,artisanal-fishing,all,social,0.528745135967,1
8,artisanal-fishing,all,ecological,0.59475839058575,2
8,artisanal-fishing,all,social,0.533441917167,1
9,artisanal-fishing,all,social,0.481153370267,1
9,artisanal-fishing,all,ecological,0.596601293263306,2
10,artisanal-fishing,all,social,0.6699275461,1
10,artisanal-fishing,all,ecological,0.701995269080453,2
11,artisanal-fishing,all,social,0.403314800133,1
11,artisanal-fishing,all,ecological,0.724595429703321,2
12,artisanal-fishing,all,ecological,0.863233915192901,2
12,artisanal-fishing,all,social,0.815557689467,1
13,artisanal-fishing,all,social,0.3590462575,1
13,artisanal-fishing,all,ecological,0.612058664904525,2
14,artisanal-fishing,all,ecological,0.588804218820269,2
14,artisanal-fishing,all,social,0.3552802112,1
15,artisanal-fishing,all,social,0.555096371733,1
15,artisanal-fishing,all,ecological,0.580632288292986,2
16,artisanal-fishing,all,social,0.646242982933,1
16,artisanal-fishing,all,ecological,0.731303252608057,2
17,artisanal-fishing,all,social,0.186555630833,1
17,artisanal-fishing,all,ecological,0.621652603321571,2
18,artisanal-fishing,all,ecological,0.722495257936102,2
18,artisanal-fishing,all,social,0.3384069241,1
19,artisanal-fishing,all,social,0.454842883533,1
19,artisanal-fishing,all,ecological,0.783493554279933,2
20,artisanal-fishing,all,social,0.282602116933,1
20,artisanal-fishing,all,ecological,0.674286470752495,2
21,artisanal-fishing,all,social,0.684932813433,1
21,artisanal-fishing,all,ecological,0.660963154492814,2
22,artisanal-fishing,all,ecological,0.730998142768061,2
22,artisanal-fishing,all,social,0.5221624675,1
23,artisanal-fishing,all,social,0.655179626033,1
23,artisanal-fishing,all,ecological,0.687707266890793,2
24,artisanal-fishing,all,social,0.369219420658,1
24,artisanal-fishing,all,ecological,0.883432085431614,2
25,artisanal-fishing,all,social,0.438580890033,1
25,artisanal-fishing,all,ecological,0.59503046702475,2
26,artisanal-fishing,all,ecological,0.708302917704411,2
26,artisanal-fishing,all,social,0.409511954033,1
27,artisanal-fishing,all,ecological,0.745096802710587,2
27,artisanal-fishing,all,social,0.458549364067,1
28,artisanal-fishing,all,ecological,0.675460618126399,2
28,artisanal-fishing,all,social,0.387463895567,1
29,artisanal-fishing,all,social,0.345726269633,1
29,artisanal-fishing,all,ecological,0.812795662992433,2
30,artisanal-fishing,all,social,0.0492303823333,1
30,artisanal-fishing,all,ecological,0.588615085123722,2
31,artisanal-fishing,all,ecological,0.65710623407354,2
31,artisanal-fishing,all,social,0.226209184467,1
32,artisanal-fishing,all,ecological,0.645952812227712,2
32,artisanal-fishing,all,social,0.3983088031,1
33,artisanal-fishing,all,social,0.250784448933,1
33,artisanal-fishing,all,ecological,0.600024181403972,2
34,artisanal-fishing,all,ecological,0.629232705061979,2
34,artisanal-fishing,all,social,0.573501596233,1
35,artisanal-fishing,all,social,0.192012810267,1
35,artisanal-fishing,all,ecological,0.607551992130292,2
36,artisanal-fishing,all,ecological,0.706814120832246,2
36,artisanal-fishing,all,social,0.441892775333,1
37,artisanal-fishing,all,ecological,0.61942450252525,2
37,artisanal-fishing,all,social,0.543077514533,1
38,artisanal-fishing,all,social,0.5430914941,1
38,artisanal-fishing,all,ecological,0.625102174509639,2
39,artisanal-fishing,all,social,0.268264391,1
39,artisanal-fishing,all,ecological,0.659104743853826,2
40,artisanal-fishing,all,social,0.6027361303,1
40,artisanal-fishing,all,ecological,0.65862839729304,2
41,artisanal-fishing,all,social,0.5957836065,1
41,artisanal-fishing,all,ecological,0.636709251523173,2
42,artisanal-fishing,all,social,0.757710279233,1
42,artisanal-fishing,all,ecological,0.673907057452831,2
43,artisanal-fishing,all,social,0.635297819766,1
43,artisanal-fishing,all,ecological,0.624644753348665,2
44,artisanal-fishing,all,social,0.490209304567,1
44,artisanal-fishing,all,ecological,0.639724225120102,2
45,artisanal-fishing,all,social,0.4424465205,1
45,artisanal-fishing,all,ecological,0.664428760587464,2
46,artisanal-fishing,all,social,0.306264365966,1
46,artisanal-fishing,all,ecological,0.582137302468711,2
47,artisanal-fishing,all,ecological,0.887407258764903,2
47,artisanal-fishing,all,social,0.325244284467,1
48,artisanal-fishing,all,ecological,0.650221100529109,2
48,artisanal-fishing,all,social,0.408933868567,1
49,artisanal-fishing,all,social,0.434624861433,1
49,artisanal-fishing,all,ecological,0.806165776822353,2
50,artisanal-fishing,all,social,0.325487029533,1
50,artisanal-fishing,all,ecological,0.578659900072153,2
51,artisanal-fishing,all,ecological,0.654016861780403,2
51,artisanal-fishing,all,social,0.7379977621,1
52,artisanal-fishing,all,social,0.632954492333,1
52,artisanal-fishing,all,ecological,0.801832416402198,2
53,artisanal-fishing,all,social,0.7149119914,1
53,artisanal-fishing,all,ecological,0.885554198773446,2
54,artisanal-fishing,all,social,0.5538542523,1
54,artisanal-fishing,all,ecological,0.612302696431298,2
