id_catch,id_fishprod,code,label
1,1,pel_lb,Pelagic Low-Bycatch Fishing
2,2,pel_hb,Pelagic High-Bycatch Fishing
3,3,dem_d,Demersal Destructive Fishing
4,4,dem_nd_lb,"Demersal Non-Destructive, Low-Bycatch Fishing"
5b,5,dem_nd_hb,"Demersal Non-Destructive, High-Bycatch Fishing"
