"","stockid","year","common","species","ram_catch","saup_catch","species_code"
"1","ALPLAICBSAI",2002,"Alaska plaice","Pleuronectes quadrituberculatus",12176,6257.18000000001,"ALPLAICBSAI:Alaska_plaice"
"2","ALPLAICBSAI",2003,"Alaska plaice","Pleuronectes quadrituberculatus",9978,4940.66,"ALPLAICBSAI:Alaska_plaice"
"3","ALPLAICBSAI",2004,"Alaska plaice","Pleuronectes quadrituberculatus",7888,3964.4,"ALPLAICBSAI:Alaska_plaice"
"4","ALPLAICBSAI",2005,"Alaska plaice","Pleuronectes quadrituberculatus",11194,5515.71,"ALPLAICBSAI:Alaska_plaice"
"5","ALPLAICBSAI",2006,"Alaska plaice","Pleuronectes quadrituberculatus",17318,7819.62,"ALPLAICBSAI:Alaska_plaice"
"6","ALPLAICBSAI",2007,"Alaska plaice","Pleuronectes quadrituberculatus",19522,8255.81,"ALPLAICBSAI:Alaska_plaice"
"7","ALPLAICBSAI",2008,"Alaska plaice","Pleuronectes quadrituberculatus",17376,4944.37,"ALPLAICBSAI:Alaska_plaice"
"8","ALPLAICBSAI",2009,"Alaska plaice","Pleuronectes quadrituberculatus",13944,2682.33,"ALPLAICBSAI:Alaska_plaice"
"9","ALPLAICBSAI",2010,"Alaska plaice","Pleuronectes quadrituberculatus",13901,3097.32,"ALPLAICBSAI:Alaska_plaice"
"10","ARFLOUNDGA",1958,"Arrowtooth flounder","Atheresthes stomias",0,1614.51348221096,"ARFLOUNDGA:Arrowtooth_flounder"
"11","ARFLOUNDGA",1959,"Arrowtooth flounder","Atheresthes stomias",0,1710.47720627343,"ARFLOUNDGA:Arrowtooth_flounder"
"12","ARFLOUNDGA",1960,"Arrowtooth flounder","Atheresthes stomias",0,1707.37264940974,"ARFLOUNDGA:Arrowtooth_flounder"
"13","ARFLOUNDGA",1961,"Arrowtooth flounder","Atheresthes stomias",0,1667.84085834956,"ARFLOUNDGA:Arrowtooth_flounder"
"14","ARFLOUNDGA",1962,"Arrowtooth flounder","Atheresthes stomias",0,1897.02709667981,"ARFLOUNDGA:Arrowtooth_flounder"
