"sciname","category","popn_trend"
"Balaenoptera acutorostrata","LC","Stable"
"Balaenoptera borealis","EN","Unknown"
"Balaenoptera musculus","EN","Increasing"
"Balaenoptera physalus","EN","Unknown"
"Eubalaena australis","LC","Increasing"
"Hydrurga leptonyx","LC","Unknown"
"Hyperoodon planifrons","LC","Unknown"
"Lagenorhynchus cruciger","LC","Unknown"
"Lobodon carcinophaga","LC","Unknown"
"Megaptera novaeangliae","LC","Increasing"
"Mirounga leonina","LC","Unknown"
"Ommatophoca rossii","LC","Unknown"
"Physeter macrocephalus","VU","Unknown"
"Stercorarius lonnbergi","LC","Stable"
"Stercorarius maccormicki","LC","Stable"
"Pygoscelis papua","NT","Decreasing"
"Pygoscelis antarcticus","LC","Increasing"
"Eudyptes chrysolophus","VU","Decreasing"
"Macronectes giganteus","LC","Increasing"
"Daption capense","LC","Stable"
"Diomedea exulans","VU","Decreasing"
"Thalassarche melanophrys","EN","Decreasing"
"Oceanites oceanicus","LC","Stable"
"Leptonychotes weddellii","LC","Unknown"
"Chionis albus","LC","Stable"
"Arctocephalus gazella","LC","Increasing"
"Aptenodytes patagonicus","LC","Increasing"
"Aptenodytes forsteri","NT","Stable"
"Pygoscelis adeliae","NT","Increasing"
"Lamna nasus","VU","Decreasing"
"Tursiops truncatus","LC","Unknown"
"Ziphius cavirostris","LC","Unknown"
"Prionace glauca","NT","Unknown"
"Isurus oxyrinchus","VU","Decreasing"
"Cetorhinus maximus","VU","Decreasing"
