"","country","category","year","tons","rgn_id"
"1","Albania","corals",1976,0,82
"2","Albania","corals",1977,0,82
"3","Albania","corals",1978,0,82
"4","Albania","corals",1979,0,82
"5","Albania","corals",1980,0,82
"6","Albania","corals",1981,0,82
"7","Albania","corals",1982,0,82
"8","Albania","corals",1983,0,82
"9","Albania","corals",1984,0,82
"10","Albania","corals",1985,0,82
"11","Albania","corals",1986,0,82
"12","Albania","corals",1987,0,82
"13","Albania","corals",1988,0,82
"14","Albania","corals",1989,0,82
"15","Albania","corals",1990,0,82
"16","Albania","corals",1991,0,82
"17","Albania","corals",1992,0,82
"18","Albania","corals",1993,0,82
"19","Albania","corals",1994,0,82
"20","Albania","corals",1995,0,82
"21","Albania","corals",1996,315,82
"22","Albania","corals",1997,87,82
"23","Albania","corals",1998,221,82
"24","Albania","corals",1999,100,82
"25","Albania","corals",2000,27,82
"26","Albania","corals",2001,45,82
"27","Albania","corals",2002,78,82
"28","Albania","corals",2003,44,82
"29","Albania","corals",2004,77,82
"30","Albania","corals",2005,19,82
"31","Albania","corals",2006,14,82
"32","Albania","corals",2007,0,82
"33","Albania","corals",2008,50,82
"34","Albania","corals",2009,16,82
"35","Albania","corals",2010,0,82
"36","Albania","corals",2011,104,82
"37","Albania","ornamentals",1976,0,82
"38","Albania","ornamentals",1977,0,82
"39","Albania","ornamentals",1978,0,82
"40","Albania","ornamentals",1979,0,82
"41","Albania","ornamentals",1980,0,82
"42","Albania","ornamentals",1981,0,82
"43","Albania","ornamentals",1982,0,82
"44","Albania","ornamentals",1983,0,82
"45","Albania","ornamentals",1984,0,82
"46","Albania","ornamentals",1985,0,82
"47","Albania","ornamentals",1986,0,82
"48","Albania","ornamentals",1987,0,82
"49","Albania","ornamentals",1988,0,82
"50","Albania","ornamentals",1989,0,82
"51","Albania","ornamentals",1990,0,82
"52","Albania","ornamentals",1991,0,82
"53","Albania","ornamentals",1992,0,82
"54","Albania","ornamentals",1993,0,82
"55","Albania","ornamentals",1994,0,82
"56","Albania","ornamentals",1995,0,82
"57","Albania","ornamentals",1996,0,82
"58","Albania","ornamentals",1997,0,82
"59","Albania","ornamentals",1998,0,82
"60","Albania","ornamentals",1999,0,82
"61","Albania","ornamentals",2000,0.1,82
"62","Albania","ornamentals",2001,0.1,82
"63","Albania","ornamentals",2002,0,82
"64","Albania","ornamentals",2003,0,82
"65","Albania","ornamentals",2004,2,82
"66","Albania","ornamentals",2005,1,82
"67","Albania","ornamentals",2006,1,82
"68","Albania","ornamentals",2007,0,82
"69","Albania","ornamentals",2008,3,82
"70","Albania","ornamentals",2009,1,82
"71","Albania","ornamentals",2010,0,82
"72","Albania","ornamentals",2011,0,82
"73","Albania","seaweeds",1976,0,82
"74","Albania","seaweeds",1977,0,82
"75","Albania","seaweeds",1978,0,82
"76","Albania","seaweeds",1979,0,82
"77","Albania","seaweeds",1980,0,82
"78","Albania","seaweeds",1981,0,82
"79","Albania","seaweeds",1982,0,82
"80","Albania","seaweeds",1983,0,82
"81","Albania","seaweeds",1984,0,82
"82","Albania","seaweeds",1985,0,82
"83","Albania","seaweeds",1986,0,82
"84","Albania","seaweeds",1987,0,82
"85","Albania","seaweeds",1988,0,82
"86","Albania","seaweeds",1989,0,82
"87","Albania","seaweeds",1990,0,82
"88","Albania","seaweeds",1991,0,82
"89","Albania","seaweeds",1992,0,82
"90","Albania","seaweeds",1993,0,82
"91","Albania","seaweeds",1994,0,82
"92","Albania","seaweeds",1995,0,82
"93","Albania","seaweeds",1996,0,82
