FLAG_STATE,CALL_SIGN,SeasonAbbr,CREW N,481,482,483,484,485,486,5841,5842,5843a,5843b,5844a,5844b,5851,5852,586,587,881,882,883
UKR,UYDV,2013,110,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,RIBIT1,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT2,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT3,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT5,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT6,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT7,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT88,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RUS,UBH18,2013,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NOR,LNSK,2013,59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAZH,2013,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLF2,2013,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CBTZ,2013,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBP9,2013,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6LZT,2013,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,VHGI,2013,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GBR,ZDLR1,2013,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAWR,2013,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6KSN,2013,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CHL,CB 9738,2013,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBT2,2013,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBZ9,2013,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBZ8,2013,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UKR,URBX,2013,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ESP,ECJF,2013,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
GBR,ZDLS2,2013,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBZ7,2013,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,ZR7955,2013,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
KOR,DTBX8,2013,103,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6KCB,2013,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ZAF,ZR6358,2013,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
KOR,6KCB6,2013,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CHN,BAOC,2013,90,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIUO,2013,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JAAL,2013,33,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
AUS,VJN4147,2013,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RUS,UIBS,2013,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RUS,UDFE,2013,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUS,VHLU,2013,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,BAWV,2013,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,FNTD,2013,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RUS,UBJN2,2013,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUS,VJT 6415,2013,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GBR,ZHHL,2013,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GBR,ZHHJ,2013,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZM2534,2013,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RUS,UBWES,2013,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZMGO,2013,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMA6800,2013,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NZL,ZMTW,2013,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
