"am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend"
"ITS-552925",170038,"Thymops birsteini",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-567398",192532,"Conus stearnsii",NA,NA,"CONUS","VU","Unknown"
"ITS-656358",192778,"Conus vexillum",NA,NA,"CONUS","LC","Unknown"
"SLB-184905",170037,"Eduarctus martensii",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553024",170056,"Scyllarus pygmaeus",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184955",170055,"Petrarctus rugosus",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184912",185076,"Galearctus aurora",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184897",185093,"Crenarctus bicuspidatus",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184895",185080,"Chelarctus cultrifer",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-660110",185038,"Pentacheles laevis",NA,NA,"LOBSTERS","LC","Stable"
"SLB-184838",185023,"Stereomastis surda",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-660118",170008,"Scyllarides squammosus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-660225",170025,"Jasus edwardsii",NA,NA,"LOBSTERS","LC","Stable"
"ITS-75285",192370,"Conus daucus",NA,NA,"CONUS","LC","Unknown"
"ITS-75291",192338,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown"
"ITS-75291",192637,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown"
"ITS-75305",192553,"Conus mazei",NA,NA,"CONUS","LC","Unknown"
"ITS-75309",192444,"Conus villepinii",NA,NA,"CONUS","LC","Unknown"
"ITS-75310",192340,"Conus amphiurgus",NA,NA,"CONUS","LC","Unknown"
"ITS-75314",192683,"Conus stimpsoni",NA,NA,"CONUS","LC","Unknown"
"ITS-75327",192449,"Conus brunneus",NA,NA,"CONUS","LC","Unknown"
"ITS-75329",192871,"Conus cardinalis",NA,NA,"CONUS","NT","Unknown"
"ITS-75344",192578,"Conus ermineus",NA,NA,"CONUS","LC","Unknown"
"ITS-75346",192566,"Conus fergusoni",NA,NA,"CONUS","LC","Unknown"
"ITS-75349",192345,"Conus gladiator",NA,NA,"CONUS","LC","Unknown"
"ITS-75352",192590,"Conus granulatus",NA,NA,"CONUS","LC","Unknown"
"ITS-75352",192624,"Conus granulatus",NA,NA,"CONUS","LC","Unknown"
"ITS-75356",192633,"Conus mus",NA,NA,"CONUS","LC","Unknown"
"ITS-75369",192696,"Conus purpurascens",NA,NA,"CONUS","LC",NA
"ITS-75376",192869,"Conus regius",NA,NA,"CONUS","LC","Unknown"
"ITS-75376",192452,"Conus regius",NA,NA,"CONUS","LC",NA
"ITS-75400",192704,"Conus acutangulus",NA,NA,"CONUS","LC","Unknown"
"ITS-75402",192629,"Conus attenuatus",NA,NA,"CONUS","LC","Unknown"
"ITS-75403",192693,"Conus cancellatus",NA,NA,"CONUS","LC","Unknown"
"ITS-75406",192599,"Conus mindanus",NA,NA,"CONUS","LC","Unknown"
"ITS-199949",169951,"Panulirus penicillatus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-199950",169954,"Scyllarides haanii",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184862",185035,"Bathyarctus rubens",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184916",185062,"Galearctus timidus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553055",169979,"Thenus orientalis",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553058",170049,"Palinurellus wieneckii",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552914",169962,"Acanthacaris tenuimana",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552916",169985,"Nephropsis acanthura",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552917",170044,"Nephropsis atlantica",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552919",170086,"Nephropsis ensirostris",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552922",169974,"Nephropsis stewarti",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552923",170032,"Nephropsis suhmi",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552924",170092,"Nephropsis sulcata",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552934",170050,"Metanephrops boschmai",NA,NA,"LOBSTERS","LC","Decreasing"
"ITS-552935",169972,"Metanephrops challengeri",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552945",170064,"Metanephrops velutinus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552953",170072,"Jasus lalandii",NA,NA,"LOBSTERS","LC","Stable"
"NZ-7290",170017,"Sagmariasus verreauxi",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552961",170070,"Linuparus sordidus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552962",170054,"Linuparus trigonus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552965",169999,"Palinurus gilchristi",NA,NA,"LOBSTERS","LC","Increasing"
"ITS-552966",170035,"Palinurus mauritanicus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552973",170062,"Panulirus homarus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552976",170066,"Panulirus longipes",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552977",169987,"Panulirus ornatus",NA,NA,"LOBSTERS","LC","Stable"
"ITS-552979",169990,"Panulirus polyphagus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552984",170042,"Projasus parkeri",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552985",170080,"Puerulus angulatus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552987",170011,"Puerulus sewelli",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-552997",170034,"Arctides antipodarum",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553004",170002,"Scyllarides elisabethae",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553008",169969,"Evibacus princeps",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553010",170026,"Ibacus brevipes",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553013",170023,"Ibacus novemdentatus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-553014",169984,"Ibacus peronii",NA,NA,"LOBSTERS","LC","Stable"
"SLB-184956",170004,"Remiarctus bertholdii",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97309",169958,"Nephropsis aculeata",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97310",170082,"Nephropsis agassizii",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97311",169986,"Nephropsis rosea",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97312",169973,"Nephropsis neglecta",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97314",170009,"Homarus americanus",NA,NA,"LOBSTERS","LC","Stable"
"ITS-97315",169955,"Homarus gammarus",NA,NA,"LOBSTERS","LC","Stable"
"ITS-97317",169967,"Nephrops norvegicus",NA,NA,"LOBSTERS","LC","Stable"
"ITS-97319",170000,"Acanthacaris caeca",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97323",170021,"Metanephrops binghami",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97651",169988,"Panulirus guttatus",NA,NA,"LOBSTERS","LC","Unknown"
"SLB-184857",185077,"Bathyarctus faxoni",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97673",170088,"Scyllarides nodifer",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97676",170075,"Scyllarides aequinoctialis",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97682",170071,"Parribacus antarcticus",NA,NA,"LOBSTERS","LC","Unknown"
"ITS-97688",185026,"Polycheles typhlops",NA,NA,"LOBSTERS","LC","Stable"
