"ASD","yr","ScientificName","ct"
"4132",1989,"Illex argentinus",1036000
"4132",1989,"Micromesistius australis",2000
"48",1978,"Dissostichus eleginoides",1407000
"48",1978,"Notothenia gibberifrons",8294000
"48",1978,"Notothenia rossii",5468000
"48",1978,"Osteichthyes",15052000
"48",1979,"Dissostichus eleginoides",7000
"48",1979,"Notothenia gibberifrons",1600000
"48",1979,"Notothenia rossii",4469000
"48",1979,"Osteichthyes",3538000
"48",1986,"Champsocephalus gunnari",32000
"481",1978,"Chaenocephalus aceratus",5000
"481",1978,"Champsocephalus gunnari",5573000
"481",1978,"Notothenia gibberifrons",68000
"481",1978,"Pseudochaenichthys georgianus",13000
"481",1979,"Chaenocephalus aceratus",1388000
"481",1979,"Champsocephalus gunnari",30357000
"481",1979,"Channichthyidae",26000
"481",1979,"Dissostichus eleginoides",1e+05
"481",1979,"Loliginidae, Ommastrephidae",2000
"481",1979,"Notothenia gibberifrons",3212000
"481",1979,"Osteichthyes",79000
"481",1979,"Pseudochaenichthys georgianus",384000
"481",1979,"Rajiformes",1000
"481",1980,"Champsocephalus gunnari",1087000
"481",1980,"Dissostichus eleginoides",2000
"481",1980,"Myctophidae",48000
"481",1980,"Osteichthyes",551000
"481",1980,"Pseudochaenichthys georgianus",72000
"481",1981,"Chaenocephalus aceratus",38
"481",1981,"Champsocephalus gunnari",1700039
"481",1981,"Channichthyidae",16
"481",1981,"Dissostichus mawsoni",1
"481",1981,"Loliginidae, Ommastrephidae",1
"481",1981,"Myctophidae",1
"481",1981,"Osteichthyes",4230035
"481",1981,"Pleuragramma antarcticum",5
"481",1981,"Pseudochaenichthys georgianus",56
"481",1981,"Rajiformes",154
"481",1981,"Trematomus spp",3
"481",1982,"Chaenocephalus aceratus",221
"481",1982,"Champsocephalus gunnari",23
"481",1982,"Channichthyidae",44
"481",1982,"Dissostichus mawsoni",9
"481",1982,"Myctophidae",38
"481",1982,"Pleuragramma antarcticum",4
"481",1982,"Pseudochaenichthys georgianus",2
"481",1982,"Rajiformes",13
"481",1982,"Trematomus spp",102
"481",1983,"Champsocephalus gunnari",2604000
"481",1983,"Osteichthyes",16000
"481",1985,"Champsocephalus gunnari",17300
"481",1985,"Channichthyidae",100
"481",1985,"Channichthys rhinoceratus",19500
"481",1985,"Notothenia rossii",4800
"481",1985,"Pseudochaenichthys georgianus",600
"481",1986,"Champsocephalus gunnari",60000
"481",1987,"Chaenocephalus aceratus",1774
"481",1987,"Champsocephalus gunnari",15440
"481",1987,"Dissostichus mawsoni",33
"481",1987,"Notothenia kempi",11
"481",1987,"Notothenia neglecta",1286
"481",1987,"Osteichthyes",1094
"481",1987,"Pleuragramma antarcticum",4000
"481",1987,"Pseudochaenichthys georgianus",27
"481",1987,"Rajiformes",293
"481",1988,"Chaenocephalus aceratus",2316
"481",1988,"Champsocephalus gunnari",499
"481",1988,"Dissostichus mawsoni",21
"481",1988,"Notothenia kempi",52
"481",1988,"Notothenia neglecta",1309
"481",1988,"Osteichthyes",197
"481",1988,"Pleuragramma antarcticum",6
"481",1988,"Rajiformes",32
"481",1989,"Chaenocephalus aceratus",1000
"481",1989,"Champsocephalus gunnari",141000
"481",1989,"Myctophidae",17000
"481",1991,"Myctophidae",50000
"481",1998,"Dissostichus eleginoides",33
"481",1998,"Dissostichus mawsoni",1156
"481",1998,"Osteichthyes",512
"481",1998,"Rajiformes",28
"481",2001,"Chaenocephalus aceratus",738
"481",2001,"Champsocephalus gunnari",788
"481",2001,"Channichthyidae",48
"481",2001,"Dissostichus mawsoni",40
"481",2001,"Notothenia neglecta",2296
"481",2001,"Osteichthyes",142
"481",2001,"Pleuragramma antarcticum",1
"481",2001,"Pseudochaenichthys georgianus",142
"481",2001,"Rajiformes",80
"481",2001,"Trematomus spp",120
"481",2005,"Chaenocephalus aceratus",1
"481",2005,"Champsocephalus gunnari",5
"481",2005,"Pleuragramma antarcticum",4
"481",2005,"Pseudochaenichthys georgianus",3
"481",2006,"Aethotaxis mitopteryx",0.21
"481",2006,"Artedidraco skottsbergi",0.028
"481",2006,"Bathylagus antarcticus",0.029
"481",2006,"Bathyraja eatonii",15.925
"481",2006,"Bathyraja maccaini",89.299
"481",2006,"Chaenocephalus aceratus",2618.844
"481",2006,"Champsocephalus gunnari",15964.613
"481",2006,"Dissostichus mawsoni",19.914
"481",2006,"Gymnoscopelus braueri",0.107
"481",2006,"Gymnoscopelus nicholsi",9.523
"481",2006,"Gymnoscopelus opisthopterus",0.038
"481",2006,"Magnisudis prionosa",1.21
"481",2006,"Notolepis spp",970
"481",2006,"Notothenia gibberifrons",718.803
"481",2006,"Ophthalmolycus amberensis",1.951
"481",2006,"Pachycara brachycephalum",3.813
"481",2006,"Pagetopsis macropterus",5.944
"481",2006,"Pagothenia hansoni",5.587
"481",2006,"Parachaenichthys charcoti",10.103
"481",2006,"Platax spp",2.239
"481",2006,"Pleuragramma antarcticum",14200.298
"481",2006,"Pogonophryne marmorata",0.587
"481",2006,"Pseudochaenichthys georgianus",3400
"481",2006,"Racovitzia glacialis",0.198
